"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.3567030	0.0518640	0.6915640	0.6535905	0.1067201	0.6709484	0.0526698	0.7082631	0.6632248	0.6739873
0.8286136	0.0844374	0.7327658	0.5864727	0.0845839	0.6612212	0.0361826	0.6574234	0.8013937	0.7941476
0.6188496	0.0292493	0.3206453	0.7061204	0.1153243	0.6522130	0.0332570	0.5913654	0.7142817	0.6408475
0.5592356	0.2578750	0.7935866	0.3466443	0.1832542	0.5505087	0.1285457	0.6065838	0.7359606	0.6602065
0.7210524	0.0688843	0.6340991	0.6372167	0.0592828	0.7044860	0.0304340	0.6854122	0.6532208	0.7634172
0.6702935	0.1683838	0.6375147	0.6307557	0.2183160	0.2772244	0.0363643	0.6162352	0.8160717	0.7014148
0.7524907	0.1735107	0.7471937	0.8140356	0.1115474	0.7077994	0.0572783	0.5705396	0.8417916	0.6794591
0.6852368	0.1735472	0.7041949	0.6180789	0.1655941	0.5593032	0.0751363	0.2877024	0.7426215	0.6833144
0.6504600	0.2477610	0.6511802	0.6588313	0.2061696	0.6017150	0.0807533	0.7390404	0.3004400	0.6997182
0.7160265	0.0971924	0.7293665	0.6966888	0.0848846	0.6760114	0.1027391	0.5512804	0.6038788	0.3677290
0.0000000	0.0022112	0.5716734	0.8036666	0.4102836	0.7358766	0.0143307	0.6750239	0.6743827	0.7518141
0.5488782	0.0000000	0.7468077	0.5718352	0.4007016	0.5679520	0.0106014	0.7334961	0.6165292	0.7050542
0.7770788	0.0175161	0.0000000	0.6748553	0.0342996	0.7066170	0.0114391	0.6975970	0.5745078	0.6743795
0.7655374	0.5868428	0.4744050	0.0000000	0.2885828	0.4011923	0.2830928	0.3916746	0.6257364	0.7388889
0.6836773	0.0004530	0.3703445	0.7174788	0.0000000	0.6160300	0.0178038	0.6618351	0.7318936	0.7123570
0.6605669	0.2567712	0.6800004	0.7345898	0.1421274	0.0000000	0.0096418	0.7319605	0.6811080	0.6746225
0.6866649	0.1333765	0.6383021	0.6424912	0.1067178	0.6058719	0.0000000	0.5796717	0.5444482	0.6848748
0.6749395	0.1543942	0.7775016	0.7301457	0.0411572	0.6315547	0.1228170	0.0000000	0.6723595	0.6679227
0.6574681	0.3984585	0.7932769	0.6381450	0.3141330	0.4210069	0.2820300	0.6258942	0.0000000	0.7237802
0.7964460	0.0632800	0.4841988	0.7905824	0.0582988	0.7447709	0.0595510	0.6128357	0.6653215	0.0000000
0.6592590	0.4454889	0.7103159	0.5500598	0.3062532	0.4586573	0.3317526	0.3075551	0.5751007	0.7833376
0.5714152	0.3574887	0.6381973	0.6608160	0.2412652	0.4871350	0.1773050	0.4188356	0.7982204	0.5736541
0.3712188	0.2761955	0.5225473	0.5969313	0.2492549	0.4129448	0.2060399	0.5135813	0.5472611	0.3810056
0.6701215	0.5445062	0.6009387	0.7642822	0.3547997	0.5790239	0.4000886	0.2215312	0.4717823	0.7089481
0.5558667	0.5498735	0.7059569	0.2935240	0.4471942	0.3855159	0.3461994	0.2327287	0.5860152	0.7428548
0.7721401	0.4343386	0.7695754	0.4531024	0.3479526	0.4477634	0.2890872	0.2843496	0.2296562	0.5245470
0.6572696	0.0975032	0.6275173	0.6842175	0.1837366	0.6872754	0.0217571	0.6287175	0.5885137	0.5857722
0.7384421	0.1209490	0.5959753	0.6309689	0.0525983	0.5887133	0.2022094	0.7027898	0.8131159	0.7412245
0.5572924	0.4749984	0.5801788	0.7037300	0.3067097	0.4353309	0.3168288	0.4413691	0.2723136	0.2402677
0.5177695	0.0906980	0.7015127	0.6565627	0.1296958	0.7913042	0.0116184	0.4501229	0.5835957	0.5898666
0.6782513	0.1823886	0.6336653	0.7248784	0.1577666	0.6277586	0.0429036	0.6211490	0.7766467	0.6493522
