"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.3567030	0.0518640	0.6915640	0.6535905	0.1067201	0.6709484	0.0526698	0.7082631	0.6632248	0.6739873
0.8286136	0.0844374	0.7327658	0.5864727	0.0845839	0.6612212	0.0361826	0.6574234	0.8013937	0.7941476
0.6188496	0.0292493	0.3206453	0.7061204	0.1153243	0.6522130	0.0332570	0.5913654	0.7142817	0.6408475
0.5592356	0.2578750	0.7935866	0.3466443	0.1832542	0.5505087	0.1285457	0.6065838	0.7359606	0.6602065
0.7210524	0.0688843	0.6340991	0.6372167	0.0592828	0.7044860	0.0304340	0.6854122	0.6532208	0.7634172
0.6702935	0.1683838	0.6375147	0.6307557	0.2183160	0.2772244	0.0363643	0.6162352	0.8160717	0.7014148
0.7524907	0.1735107	0.7471937	0.8140356	0.1115474	0.7077994	0.0572783	0.5705396	0.8417916	0.6794591
0.6852368	0.1735472	0.7041949	0.6180789	0.1655941	0.5593032	0.0751363	0.2877024	0.7426215	0.6833144
0.6504600	0.2477610	0.6511802	0.6588313	0.2061696	0.6017150	0.0807533	0.7390404	0.3004400	0.6997182
0.7160265	0.0971924	0.7293665	0.6966888	0.0848846	0.6760114	0.1027391	0.5512804	0.6038788	0.3677290
0.0000000	0.0022112	0.5716734	0.8036666	0.4102836	0.7358766	0.0143307	0.6750239	0.6743827	0.7518141
0.5488782	0.0000000	0.7468077	0.5718352	0.4007016	0.5679520	0.0106014	0.7334961	0.6165292	0.7050542
0.7770788	0.0175161	0.0000000	0.6748553	0.0342996	0.7066170	0.0114391	0.6975970	0.5745078	0.6743795
0.7655374	0.5868428	0.4744050	0.0000000	0.2885828	0.4011923	0.2830928	0.3916746	0.6257364	0.7388889
0.6836773	0.0004530	0.3703445	0.7174788	0.0000000	0.6160300	0.0178038	0.6618351	0.7318936	0.7123570
0.6605669	0.2567712	0.6800004	0.7345898	0.1421274	0.0000000	0.0096418	0.7319605	0.6811080	0.6746225
0.6866649	0.1333765	0.6383021	0.6424912	0.1067178	0.6058719	0.0000000	0.5796717	0.5444482	0.6848748
0.6749395	0.1543942	0.7775016	0.7301457	0.0411572	0.6315547	0.1228170	0.0000000	0.6723595	0.6679227
0.6574681	0.3984585	0.7932769	0.6381450	0.3141330	0.4210069	0.2820300	0.6258942	0.0000000	0.7237802
0.7964460	0.0632800	0.4841988	0.7905824	0.0582988	0.7447709	0.0595510	0.6128357	0.6653215	0.0000000
0.6592590	0.4454889	0.7103159	0.5500598	0.3062532	0.4586573	0.3317526	0.3075551	0.5751007	0.7833376
0.5714152	0.3574887	0.6381973	0.6608160	0.2412652	0.4871350	0.1773050	0.4188356	0.7982204	0.5736541
0.3712188	0.2761955	0.5225473	0.5969313	0.2492549	0.4129448	0.2060399	0.5135813	0.5472611	0.3810056
0.6701215	0.5445062	0.6009387	0.7642822	0.3547997	0.5790239	0.4000886	0.2215312	0.4717823	0.7089481
0.5558667	0.5498735	0.7059569	0.2935240	0.4471942	0.3855159	0.3461994	0.2327287	0.5860152	0.7428548
0.7721401	0.4343386	0.7695754	0.4531024	0.3479526	0.4477634	0.2890872	0.2843496	0.2296562	0.5245470
0.6572696	0.0975032	0.6275173	0.6842175	0.1837366	0.6872754	0.0217571	0.6287175	0.5885137	0.5857722
0.7384421	0.1209490	0.5959753	0.6309689	0.0525983	0.5887133	0.2022094	0.7027898	0.8131159	0.7412245
0.5572924	0.4749984	0.5801788	0.7037300	0.3067097	0.4353309	0.3168288	0.4413691	0.2723136	0.2402677
0.5177695	0.0906980	0.7015127	0.6565627	0.1296958	0.7913042	0.0116184	0.4501229	0.5835957	0.5898666
0.6782513	0.1823886	0.6336653	0.7248784	0.1577666	0.6277586	0.0429036	0.6211490	0.7766467	0.6493522
0.1944844	0.3673244	0.3439374	0.2747248	0.7987403	0.7444074	0.3401270	0.7592441	0.6299905	0.7012409
0.4067994	0.1435724	0.6925429	0.1560836	0.6009635	0.7077610	0.3707337	0.7188832	0.6450214	0.8184742
0.4527854	0.1960420	0.4207319	0.2171866	0.7510002	0.7751234	0.2841134	0.7853284	0.6281867	0.6847279
0.5144612	0.1502894	0.6476440	0.1351524	0.7904894	0.7989405	0.2770852	0.6241267	0.7177454	0.6925043
0.3852419	0.2062475	0.7625497	0.1384979	0.3871321	0.6125078	0.2742027	0.6575826	0.6373972	0.8356199
0.3227155	0.2791640	0.6464613	0.2433190	0.6062200	0.3429256	0.5270903	0.7032360	0.6374568	0.6885045
0.6014480	0.1464686	0.5789811	0.1985984	0.6900933	0.7321180	0.1631012	0.5996060	0.6891494	0.7618903
0.5763641	0.1571288	0.6857554	0.1876804	0.7327728	0.6550893	0.2095870	0.3822635	0.5959924	0.6923094
0.5619803	0.1751310	0.8226231	0.2088632	0.6742534	0.6128153	0.4373580	0.6981908	0.3654554	0.7075470
0.5394318	0.1980162	0.5951648	0.2039392	0.6902093	0.7641028	0.2833996	0.8437247	0.4969241	0.3460565
0.4413909	0.2219489	0.7194011	0.1560559	0.7564185	0.6905808	0.2857672	0.8605171	0.8159183	0.7140300
0.0000000	0.5703673	0.2341650	0.3905655	0.7314676	0.6889945	0.3708682	0.7451565	0.5438791	0.6978963
0.4383911	0.0000000	0.8039343	0.1589782	0.6123121	0.7340374	0.3448314	0.7074323	0.7321662	0.7134279
0.4983886	0.2315713	0.0000000	0.6900630	0.7341915	0.6280990	0.3174139	0.7214084	0.7663892	0.7310157
0.0950699	0.4671629	0.2786550	0.0000000	0.8830528	0.8269424	0.4012907	0.6202118	0.5999343	0.7694250
0.5764580	0.1241165	0.6843278	0.1819023	0.0000000	0.6604640	0.3938929	0.6185536	0.6198141	0.7186432
0.1955094	0.2802954	0.7153625	0.1743353	0.6381701	0.0000000	0.7543317	0.6156724	0.7441342	0.7762052
0.6703582	0.1636292	0.5509479	0.1890483	0.6666926	0.7385922	0.0000000	0.7207063	0.6733333	0.6851983
0.4604686	0.2102592	0.3336255	0.2403793	0.7285668	0.1003052	0.4566515	0.0000000	0.6121352	0.7589095
0.3838917	0.2252648	0.6406942	0.2196600	0.6333673	0.8323450	0.3729162	0.6853334	0.0000000	0.5559449
0.3958518	0.1763871	0.7975718	0.1722240	0.7496904	0.6943181	0.3954267	0.7049329	0.2836445	0.0000000
0.0835400	0.5827425	0.3246533	0.1856660	0.5673235	0.6038537	0.5533106	0.5072525	0.7754879	0.6974851
0.3988891	0.2326912	0.2610969	0.2894787	0.5452676	0.5195082	0.3289654	0.2420306	0.2960289	0.6494291
0.1242543	0.3775489	0.5757647	0.1365732	0.3762989	0.6380957	0.6547235	0.6136544	0.8041881	0.6798382
0.1678920	0.3056648	0.5975258	0.2227362	0.5711344	0.6018989	0.5624748	0.6221895	0.8842039	0.6243579
0.7765035	0.0320467	0.6017423	0.1786495	0.6321441	0.7362578	0.3358444	0.7367653	0.6408556	0.5104542
0.4064345	0.0690305	0.3918848	0.2236135	0.5845758	0.5489100	0.3611978	0.5979808	0.4205554	0.6997106
0.0480080	0.6261133	0.4641131	0.0274592	0.8501755	0.6930394	0.0320300	0.5118197	0.5395253	0.5872011
0.1809406	0.4079819	0.6597544	0.1208072	0.6914344	0.6757973	0.4932811	0.6955515	0.3800294	0.4767033
