"Time"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"

0.0	0.6628624	0.1478915	0.6120202	0.7147111	0.1671802	0.6485969	0.0416626	0.7279593	0.6066708	0.5978405
50.0	0.6761528	0.2662993	0.5866584	0.6211295	0.1768103	0.2114769	0.0958277	0.7278701	0.6160722	0.3535091
100.0	0.6499086	0.2271098	0.5552051	0.7286318	0.2840686	0.1475425	0.1594239	0.6161076	0.6102391	0.2466829
150.0	0.7365612	0.3119084	0.6120332	0.6364122	0.2322310	0.1166463	0.1082193	0.6997583	0.6554521	0.2296790
200.0	0.6696940	0.3593797	0.5522155	0.6019488	0.1690419	0.0843374	0.0391498	0.6284378	0.6062847	0.2421017
250.0	0.7654911	0.3479949	0.5895787	0.8417649	0.2196595	0.0368025	0.0301653	0.5903340	0.5750188	0.2616876
300.0	0.6712747	0.3011645	0.5642045	0.6611943	0.1954992	0.0546106	0.0192187	0.4981507	0.6052007	0.2322245
350.0	0.6531442	0.3964450	0.5156315	0.6545393	0.2205110	0.0566831	0.0101171	0.5552391	0.8884042	0.2833719
400.0	0.7095126	0.4857937	0.7351976	0.6958615	0.2654324	0.0984270	0.0140218	0.5763904	0.5945329	0.3155282
450.0	0.6441797	0.3658216	0.6183345	0.7551539	0.1891262	0.0743242	0.0121461	0.5708667	0.5913268	0.2743649
500.0	0.7321491	0.3767989	0.5532833	0.7483919	0.1736113	0.0686113	0.0208781	0.4771095	0.6506196	0.3444976
550.0	0.7682529	0.2598827	0.5805132	0.6934321	0.0678906	0.4206651	0.0563795	0.5144260	0.6624994	0.6781785
600.0	0.7134988	0.0946157	0.6226203	0.7315978	0.0501932	0.5567374	0.1187652	0.6729508	0.6116129	0.6945663
650.0	0.5404778	0.0657443	0.7015927	0.6595861	0.0636663	0.4946151	0.1144735	0.6813605	0.7677323	0.6961881
700.0	0.7234629	0.0697712	0.6251591	0.7474227	0.1991477	0.5932849	0.0660764	0.6835417	0.6244221	0.6351478
750.0	0.7445293	0.1790571	0.6707629	0.7098827	0.2485658	0.5811978	0.0687870	0.7071485	0.8015488	0.7253711
800.0	0.6565145	0.2642967	0.5605107	0.8039835	0.1119151	0.6016800	0.1092483	0.6558531	0.5745055	0.7504814
850.0	0.6644325	0.1535350	0.6600691	0.7343127	0.0558661	0.7040056	0.1106014	0.6533417	0.5740649	0.6199275
900.0	0.5946674	0.0480274	0.7683222	0.7035052	0.0613795	0.7472157	0.0781214	0.6549139	0.6810769	0.6627533
950.0	0.7603009	0.0464092	0.6377278	0.6771701	0.1621434	0.5346956	0.0546495	0.7131433	0.5368018	0.7112645
1000.0	0.5852974	0.1088761	0.5751327	0.7424166	0.1134790	0.6228807	0.0561078	0.7519312	0.5973722	0.6969849

0.0	0.7874432	0.0820352	0.6099512	0.6879506	0.0455927	0.6342082	0.0578235	0.7010196	0.6879156	0.5864137
50.0	0.6929656	0.0841560	0.6604199	0.5248880	0.2447977	0.6665718	0.0650053	0.7005807	0.0151053	0.6727081
100.0	0.6798093	0.2286693	0.5756171	0.3764306	0.3713523	0.6195602	0.0584418	0.6226918	0.0062487	0.7000763
150.0	0.7330359	0.4153395	0.5172707	0.4191522	0.3863953	0.5473848	0.1239152	0.7777653	0.0008066	0.6665998
200.0	0.7348793	0.5017915	0.5892892	0.4546635	0.3170400	0.5674707	0.1818365	0.4842959	0.0000000	0.6931781
250.0	0.6196027	0.5900460	0.6949584	0.3510255	0.3213021	0.5333560	0.2606760	0.2869854	0.0051770	0.8153977
300.0	0.7167615	0.4391994	0.6196109	0.3780655	0.2418147	0.5062334	0.4284564	0.2637825	0.0005555	0.5800091
350.0	0.6083598	0.4407526	0.5308587	0.3936752	0.2537865	0.3821138	0.3432323	0.4220824	0.0000212	0.6414390
400.0	0.7858433	0.4614927	0.5947482	0.3353616	0.2884531	0.4530584	0.4684463	0.3962989	0.0021832	0.6371663
450.0	0.5744288	0.4714514	0.5318275	0.3772873	0.2628228	0.4523314	0.3080840	0.4495986	0.0029114	0.7522390
500.0	0.6068232	0.5616410	0.6285244	0.2619891	0.4684946	0.4262453	0.2986146	0.4115718	0.0042759	0.6196421
550.0	0.7102967	0.4415279	0.7995643	0.5314590	0.2603094	0.4476837	0.2975342	0.3119128	0.5880958	0.7004939
600.0	0.5283820	0.3374482	0.7805383	0.7460683	0.1203430	0.4871750	0.3063266	0.4758299	0.6357866	0.7261673
650.0	0.5800506	0.1637052	0.5722260	0.7105922	0.0676821	0.4126415	0.2763829	0.4608701	0.6903903	0.6506876
700.0	0.5571226	0.0429085	0.6447360	0.6804196	0.0887503	0.3283072	0.2367593	0.5158606	0.6908316	0.6324248
