"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.0672441	0.5234509	0.3796008	0.3743347	0.5340702	0.1760039	0.5324281	0.7461736	0.7443520
0.5371342	0.0000000	0.6041306	0.3662869	0.5134756	0.7491318	0.2371294	0.5021154	0.6946620	0.5746395
0.3030791	0.5957133	0.0000000	0.5591821	0.7112709	0.1694385	0.2782813	0.6393065	0.6994002	0.7325441
0.3791408	0.2826431	0.5758331	0.0000000	0.5695400	0.2245648	0.1817855	0.6317483	0.8195280	0.8473479
0.0808363	0.2597320	0.5631017	0.5372124	0.0000000	0.2421848	0.5272529	0.8031774	0.6506177	0.7973308
0.1084436	0.3354126	0.0194469	0.5740375	0.7538427	0.0000000	0.4900152	0.6282166	0.6686536	0.6226983
0.7368873	0.3257564	0.5681465	0.2037300	0.6968045	0.2455552	0.0000000	0.0355044	0.7460181	0.7132808
0.3094753	0.2791252	0.4531125	0.3544043	0.6770062	0.2964527	0.2016112	0.0000000	0.7422204	0.5974238
0.6961588	0.2221545	0.5583642	0.1701072	0.3949678	0.2003994	0.0253866	0.0297787	0.0000000	0.7168931
0.6846087	0.2332944	0.4825860	0.2781783	0.5200047	0.1984493	0.0419664	0.0583528	0.7162235	0.0000000
0.2258271	0.2140933	0.5668271	0.5450350	0.4891477	0.2779975	0.2020670	0.7624988	0.7103709	0.6512929
0.5044119	0.1065336	0.5425551	0.4554390	0.5260045	0.4887480	0.1462164	0.5939240	0.7369939	0.7436540
0.2385175	0.7352831	0.3041861	0.6242173	0.7285542	0.1764516	0.2926732	0.8356995	0.7902192	0.8019504
0.3787645	0.2858232	0.5384476	0.2410981	0.5964797	0.2176701	0.1563637	0.7853398	0.7124074	0.7676077
0.3315723	0.2811098	0.5560866	0.5407685	0.2712307	0.2799905	0.3271996	0.7477916	0.7099083	0.7644717
0.2696861	0.3997316	0.2588057	0.5574341	0.6764915	0.1022564	0.2589761	0.6657323	0.6027505	0.6805017
0.5415193	0.3144694	0.5173664	0.3738416	0.6544603	0.2600652	0.0492177	0.2387397	0.7437460	0.7377307
0.5076450	0.2555235	0.4666515	0.3332370	0.6484479	0.2847249	0.1807900	0.2658955	0.7357164	0.7623120
0.4529466	0.3094732	0.4839629	0.3746659	0.6160668	0.3205519	0.2049945	0.4494854	0.3502031	0.6071224
0.6190575	0.3154014	0.5532267	0.3043975	0.5954589	0.2312082	0.1101628	0.2085356	0.7503344	0.3100536
0.1914691	0.4486830	0.5955990	0.1557116	0.4097733	0.0815400	0.4499840	0.7935248	0.6575019	0.8260131
0.3925039	0.4205456	0.5050750	0.6545131	0.4944839	0.1597037	0.0928894	0.4741097	0.4035293	0.7720545
0.1000132	0.4159981	0.5126030	0.2629251	0.6506672	0.3398962	0.3766381	0.7554178	0.7039334	0.6141427
0.1371933	0.2493187	0.5360755	0.3028737	0.4742249	0.1059384	0.5554227	0.6886038	0.6097170	0.7708533
0.2344545	0.6167792	0.2184650	0.4832169	0.6241298	0.0470548	0.3275963	0.5890145	0.4634008	0.6274100
0.2508697	0.5256189	0.0798309	0.5711497	0.5639512	0.0168703	0.2699030	0.6804311	0.4360088	0.8082174
0.0822754	0.3197486	0.4763048	0.5241862	0.2103707	0.1546356	0.2788497	0.8477007	0.6787843	0.4853552
0.4461857	0.1068842	0.7110338	0.3522429	0.3987449	0.3816735	0.0313118	0.0719810	0.7782165	0.4999305
0.1536266	0.5905481	0.2963639	0.3467192	0.5648707	0.0443221	0.5673320	0.6630227	0.6892786	0.5412471
0.0989234	0.3788197	0.1825897	0.6487370	0.6992348	0.0547689	0.3407378	0.6271351	0.6778308	0.6831505
0.4443913	0.2461846	0.4426404	0.4895549	0.5497893	0.3290649	0.2575172	0.6472821	0.6516454	0.7659972
