,G10,G100,G11,G12,G13,G14,G15,G16,G17,G18,G19,G2,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G3,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G4,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G5,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G6,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G7,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G8,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G9,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G1
G1,0.0049595787651080464,0.01828766461439134,0.0030921891803546053,0.004913591476877413,0.004605405423426333,0.008535845073818419,0.012386132351728937,0.023593216027887734,0.0045571374606090675,0.006455194776790411,0.0028374824801794523,0.011606037239784659,0.01251554235720509,0.0037128518866408732,0.017497264455805198,0.004179596375201368,0.02389429726124659,0.010875852215734144,0.009295231657591536,0.007239579754835175,0.017251011393096618,0.0067335925875401355,0.005486314684545853,0.010609426831309027,0.0031139611113957227,0.023827836781317353,0.006038440665471644,0.006708583504826779,0.0069645238545974295,0.00911108129136273,0.011030199690894464,0.014691770323509958,0.0038440277507631377,0.015874403465691238,0.02352538667359504,0.011918232002366845,0.00975217532265725,0.012442415376512065,0.0032660388892862945,0.020248527263693066,0.009675097317157209,0.014704560613719522,0.0016897077703524135,0.015241979594656254,0.011585633052705564,0.012283839789090362,0.0025150833829936906,0.0024899362880859565,0.004411305615933682,0.0021686920536226387,0.01067765346388424,0.00530609995418729,0.015937867710023666,0.009692618571654996,0.04256541565836374,0.0020850231637389856,0.008421250665069442,0.012705875478718369,0.006255627102987545,0.007978440244276483,0.008755304250095103,0.006095293712571287,0.0058135401275482765,0.015391916720741222,0.007306541785427508,0.005398723025148998,0.013038277514761122,0.01908863675007528,0.005335430048093799,0.0028657622465379216,0.010147828458876879,0.01243355312914182,0.019829401703115746,0.009677443526751922,0.0029381934398481006,0.014699373085718314,0.009058928503465923,0.0017130540589530131,0.008165017249780731,0.024398541724759016,0.015295432276769345,0.0057873227436241615,0.004434882304310922,0.004772078730109922,0.01999591467279187,0.02295318234220767,0.00983209353111202,0.006817443309861231,0.012933483440618813,0.005595496606049276,0.012667933057299054,0.004616764729453525,0.008036245710421913,0.004555983623973052,0.02469326932091271,0.0033905836111049613,0.0021098289147268748,0.00858398045738489,0.004907971764984918,
G10,,0.01563134266667245,0.005897511756292732,0.010591371429068968,0.0020350281780692923,0.002378468788166267,0.00609963833961214,0.005295251697749151,0.0043335078577850855,0.002720323387613951,0.005312771494579236,0.010751252725199821,0.0029550343542756306,0.006880939127521247,0.0124515204771274,0.010502597288934053,0.016624175154023712,0.00717376927362635,0.020844962309087604,0.10486436657130616,0.004852052948508277,0.0031951975459015803,0.004062813716590811,0.003474628013609858,0.00437976276399995,0.032250624345777565,0.0028888204840982878,0.005241612281583507,0.009840626213596668,0.008731403537501153,0.006597797532948312,0.006563489376161042,0.009617393666955359,0.004238808148069887,0.00425036106277888,0.009126493370346113,0.027479228320672157,0.005790427241335359,0.003303843830630693,0.01965458165134438,0.01214959577768436,0.003141832075914803,0.005812370409834783,0.0027234435671210358,0.0057021986884081,0.009692572371765127,0.0027808727975812153,0.008238807356293253,0.00688695943500062,0.0032703527991952462,0.005530598023283558,0.006662624128755553,0.020182325103490047,0.008292124890633714,0.0023491690702252387,0.01740296221898896,0.010385927555533974,0.018489650411872813,0.005423742633815011,0.039572547692888066,0.00406967811225479,0.0038805492370232895,0.005695576171234517,0.002707655268431613,0.012669377217855072,0.009991302135352893,0.003352625701965074,0.019119667369464893,0.0065556509173721675,0.010095300899015539,0.004027729661072789,0.0066270328219420575,0.005377852157488074,0.0032008210955521664,0.004308859229346008,0.0021781464944877265,0.004843657133278024,0.0076444335726175445,0.009754465951276305,0.0006325257612805229,0.006303448915938466,0.014010189158214878,0.004256342989853422,0.01407051292832948,0.008991779249705562,0.0016380824119347668,0.008327751005202414,0.009882161605103431,0.012387390895131268,0.10914074478366582,0.004821999027747721,0.009091148552861162,0.002245851448925308,0.0014903859701357175,0.014727561257803369,0.009585201217743347,0.0029880420435642397,0.005857922849779466,0.005605675490475561,0.004270425352166769
G100,0.017993945837143806,,0.01764040596084569,0.006689903218927782,0.015180716926105125,0.0028390305722980243,0.006891419524079463,0.017239740640010298,0.003589544921098221,0.0017134829118550354,0.006500247760760022,0.005413632918557443,0.008455481819481548,0.010910675317965418,0.0050012139707533146,0.011946770708319185,0.006106740144862666,0.018386365263048866,0.005627140536778336,0.016296749658154627,0.003519347168852565,0.008655220242071078,0.014496628332561282,0.011000789663702763,0.005303871426311109,0.0068046929389972465,0.008735827972521888,0.007204041106248873,0.0025041293057175124,0.011582688611339275,0.008365553254370422,0.05551388309387789,0.038131014029482775,0.005336613594263907,0.03129449979621726,0.006413211850419303,0.0023581726168193217,0.006201183229993568,0.00577470766761418,0.008396371837258361,0.008455556157425685,0.0064119809225194856,0.010703988892797866,0.006989325064164864,0.004621051127441199,0.004286389913669096,0.0023309401925566014,0.005936299781088201,0.007021844294604589,0.008637145004243795,0.015559653908385061,0.023755166155450813,0.014544437866219175,0.008025129758366629,0.02433393371766612,0.005511020443359153,0.004437482250401586,0.02658687923218306,0.009857744816742182,0.010581166498062924,0.009990328872876354,0.004837853769136403,0.006467380948875254,0.003196993718919209,0.018641157655911008,0.007381998639724081,0.0031682212133592913,0.01813063392936312,0.00368910807486901,0.006922604777882258,0.016899603833433308,0.003278417302185718,0.005219668657669586,0.011955969714810414,0.006970794900993544,0.004681622040269034,0.004487067753281017,0.005262146741774554,0.0028922596084460994,0.015741315708170455,0.00621271241108844,0.014648727151695717,0.005063828207509608,0.005363617679992803,0.004299186611309237,0.010593486719430773,0.008215492808477838,0.003479639217867128,0.004120077343089816,0.007129176782588193,0.007046154844486852,0.009459681717273774,0.023084707643333237,0.00322154525135854,0.023409721729345093,0.011015755471026938,0.005211821543353709,0.013538909649016552,0.027109036945772408,0.007358780063000048
G11,0.003214956648575705,0.015607488875885176,,0.013817198422131461,0.003508817348499599,0.023278021083286627,0.006050021359310704,0.009900210479349145,0.037464973733974054,0.004902412583389765,0.008329124599010005,0.0018627949324221457,0.0061208947935586545,0.00337007228567238,0.009493827596284001,0.016799566506242945,0.008789846549781656,0.006224325980146876,0.006370395659582741,0.031074436228018275,0.003836247448183786,0.008725933017626662,0.004050813704324898,0.011166853199043916,0.00439417936041447,0.00481351283094811,0.0031643895703827502,0.010844763384151378,0.0037104268764635686,0.006788463751720033,0.01620651506185122,0.007440796973367478,0.021433152642627473,0.007654081717766688,0.022266781423011875,0.005447745609650919,0.01200476958503526,0.010217130690692569,0.008667083418606353,0.005696188948715759,0.005108668683437422,0.007418372952939763,0.002861959526316866,0.008111154103492295,0.00572664527174274,0.005608777749135164,0.005091577903599689,0.007803473242040618,0.00191738766758109,0.01881526438092833,0.002053983992207315,0.002646657558934128,0.003310132785783106,0.009274632485621177,0.004698650607002176,0.005222956370080276,0.046945948024088954,0.004633369885175973,0.004713164014581027,0.012235951166949012,0.0052863094440520255,0.007693061653529338,0.009076366867661011,0.011050592935870827,0.003106836259985368,0.004239026707538191,0.01724967713248522,0.006442278533892629,0.01641946183137134,0.006495138387564621,0.0028054188526307052,0.012906968368630424,0.007564345657935312,0.012801933739026602,0.012139440858992422,0.006988147884663758,0.00775304621095549,0.04710177334173549,0.006742546361907906,0.024433811251190082,0.009687512859920077,0.003661381484428741,0.003207951890238129,0.006916851569044249,0.003648320892993053,0.003928259392960328,0.012681501415743573,0.0024521447867948045,0.012045433672473418,0.014561427065233617,0.0026246113664396414,0.004932679090672005,0.003916752315613612,0.005635695307401449,0.007227979266813157,0.006561459709928536,0.002912996143308709,0.09071504002442839,0.008400692541270313,0.007077183671331035
G12,0.0034378277173767093,0.004230567797875739,0.002194327679881961,,0.005710684539454332,0.0032151128373915467,0.001835174570505524,0.0021506551348964686,0.0024214233109777815,0.0017873791366552554,0.0032807294758362767,0.0013265996669203468,0.001343060985907879,0.008615940689280708,0.0021175450375779488,0.0014290708364555955,0.002252775395500208,0.002125064421612648,0.0010690808326975828,0.01372648165665115,0.001990837340156818,0.004023950108987807,0.0037968391967601123,0.002925303015667251,0.0030824026394966723,0.0015778370854176828,0.0020489026528983205,0.002112431174754162,0.0020445625195823756,0.004446689760932621,0.0030093812589472124,0.0041499002943634076,0.0031436331330701056,0.003279424847852686,0.0013651903973100619,0.007550013893109445,0.0009609999911492351,0.004284708854910622,0.0025264726499422113,0.006226130455026415,0.002181655921362478,0.0034968851172948513,0.008429922677641593,0.002956233565170962,0.003922270755753525,0.011076790194392587,0.0008535267011504913,0.006972179528702274,0.0015522288039038982,0.006922775540007758,0.0021372933544608046,0.0010330148337056,0.0018933840863019171,0.003943414037368865,0.002571235146438533,0.0010803464019017587,0.006029449099198732,0.0010013280016339,0.001167936431399896,0.0024546072712448557,0.002313832604691895,0.00204802807452209,0.0017956787462079671,0.0017687056808001172,0.005980922812990182,0.0025971617477647205,0.014658165875418105,0.002541888514912042,0.0052144306739205495,0.00638085666232739,0.0037604775680664657,0.004028121721892358,0.001405475742966056,0.0015873301167926986,0.0023343161553849015,0.0034723196735579696,0.008301917575613245,0.6718729488136493,0.0038849347422136456,0.003577518687797343,0.0008522165109351905,0.0020749432192115006,0.003033353338911358,0.004088504678453106,0.003831492839400582,0.0021493327943075072,0.0016879259301671745,0.0027984007732052936,0.00599588735394857,0.0019658662667018712,0.004361623749494679,0.0010724513152225881,0.0026321196899561712,0.0029466846520395966,0.0020601252483870443,0.0006328138609076376,0.0024100157387179346,0.0010561036974643934,0.0029476353088356776,0.0013858803794170533
G13,0.0019276883393166309,0.016949806280199185,0.009373005869029389,0.0073313640990084515,,0.005842005852213189,0.01824604841296312,0.009972205584628002,0.011817075003234968,0.006581783385263568,0.01178073598093278,0.038712499094465926,0.007092163148860658,0.010688417245653307,0.027264403399289282,0.006048169832285394,0.007523688177797487,0.014569805786062763,0.007342791303820373,0.006818986700867292,0.009786552882095949,0.00555903774419186,0.01278260243509899,0.0044709880669606536,0.0026307254820924476,0.001740817806716736,0.007437951771463515,0.026755414289049293,0.01347663931324544,0.012895569474535313,0.006254849429222953,0.011013851542661032,0.009300428818737503,0.006390132948013213,0.0110456687746191,0.005002436172873686,0.005891296559683154,0.018972180289648068,0.04174451249966085,0.0083204034424236,0.007491511767104131,0.06618031229399278,0.006703858233669453,0.0043580635724034845,0.015301262842998235,0.0024749415519177615,0.005337009147156588,0.02440499619077379,0.005930858203316526,0.012104497577173206,0.0036666698775502347,0.004512993841786012,0.003191232744746302,0.0064959852054621734,0.009851503240963571,0.008875794251107683,0.0015220343663078816,0.008689261837197024,0.007146489036898442,0.01044038346998513,0.008817810268455966,0.014314951117567974,0.0042643825037817565,0.00806841434422989,0.016357967685607024,0.0023770185581508977,0.008631206068797194,0.018731413292817946,0.006161567054935139,0.007772677231905048,0.011844515600670909,0.002434940281307342,0.006565891772804509,0.008257625231453214,0.010466279107729855,0.0059093468186984036,0.003478475212299596,0.0024557668547181676,0.007197412550004906,0.009067672551293243,0.006044975412613615,0.003182015656765498,0.0016689791017154949,0.028162775419302045,0.005427661487293797,0.02437716451731022,0.004005929937156154,0.00725695564652156,0.007115304786426901,0.0025238074620405264,0.00395716614962223,0.005175933176202336,0.008146871264592456,0.002800065748562574,0.010398452122314581,0.006921887775869372,0.014250397971429418,0.01146278009794321,0.016847471420654635,0.005063708247038854
G14,0.005008673329939025,0.002091485455938004,0.015764457942312005,0.0027407476048158736,0.0050776570944875785,,0.01434422155116248,0.002613820177176876,0.00245015774619909,0.005904396290602606,0.018635096109839343,0.001719438672398584,0.00824222239597354,0.013125648752696997,0.02265068417133532,0.0021526844872083962,0.012941367234979803,0.005169586047407474,0.003957471945221464,0.00867272480672212,0.001973157213218911,0.0013615022850216386,0.002152229008939154,0.003254109864023518,0.0029189559256780602,0.0021771054519822883,0.0036183937120048766,0.0013128060021015287,0.003129407899642216,0.014456487393380483,0.017423837202222812,0.0010245457814918111,0.00909812841034599,0.009384982856124591,0.015505441408459185,0.004691801710992494,0.00356407983203046,0.010377896576116222,0.01471074164357116,0.010367544519342882,0.003990193882702834,0.003178117561446554,0.0033553442735281057,0.00381353588508659,0.007082499175852356,0.006792642754532391,0.005730402239593621,0.09380079105558035,0.004470596261170214,0.07957368931706064,0.001321496340027316,0.03831809226040013,0.05096440324678395,0.001511310072944085,0.0018437235938238259,0.001235033526424658,0.003850630608589238,0.004776439866452255,0.009277243639270209,0.001957862403968445,0.003982420411064255,0.001687260168473994,0.004896578661365163,0.009757976594004908,0.005403783738096497,0.0024473689084429616,0.0018805475914953182,0.003986271298441536,0.005217640891157866,0.0015563916718124666,0.006036083636361403,0.012744952745480235,0.002085102523273758,0.05040214079019289,0.0049365666417006395,0.02544978792497729,0.0051284324289420915,0.048117266203007464,0.007532721957926326,0.006453744194424801,0.0021761053657163108,0.057176652849563955,0.0023985639167910925,0.004143371478980656,0.006141367340911944,0.003390893819264395,0.0018902952719234895,0.004823734775497551,0.007883293509113532,0.0036523582021672457,0.016579781781560766,0.0029025381760851266,0.0016204741352299893,0.003562127500066048,0.00936189457469395,0.031380861418983844,0.013485990151986132,0.002347402362282348,0.0014474705487930947,0.0013220393614020876
G15,0.0030650765299124333,0.002955468619151625,0.0037993208511769914,0.004578065136246424,0.0025018232178819705,0.0698989873433273,,0.005115470590717747,0.005865782370660105,0.005702605493873311,0.005460660856592494,0.1521493042279936,0.0031447678136870176,0.0035676145932315023,0.21462217106073908,0.002420939573323402,0.011826780292793668,0.003670116301508551,0.005123023540617033,0.0068599604859546056,0.0008838004566356476,0.0013756917166887256,0.00308741306727795,0.0018997414332419507,0.0021357039682333334,0.009258646259129368,0.00286424877814335,0.008120305607665872,0.015770212830953322,0.01312717839592358,0.0013622851402055255,0.03775394315436854,0.005767424095701657,0.003724548532311566,0.008886445931021744,0.004196339236964609,0.00925852142639148,0.010888527946615505,0.002059493138795162,0.0038671111710731976,0.002762858585735293,0.007812132382017006,0.0018427844782402945,0.006225711426537397,0.007727865055235234,0.005468860998969523,0.005930099696612547,0.001388454677542042,0.0028827815914913694,0.025572205433534743,0.0013985189196401673,0.011239340862204435,0.001862111363098566,0.005550220587793201,0.0022001745912460105,0.0015719971206340393,0.0018189361866043233,0.0019033376143524558,0.003135397005540582,0.0019131671987655105,0.003724733053800884,0.006470858322696992,0.0047208565981372965,0.0031496957706995364,0.006389367272556864,0.0019062744247622554,0.006014785122054538,0.0021479396897944878,0.017516185385470888,0.003712560761939378,0.0017346599088618074,0.0058503426126248394,0.0049586727808223615,0.007550414129551209,0.001725139291639921,0.00187878302692908,0.0042142822682310335,0.004100634238696733,0.005514109326758917,0.0049104826859457,0.004973182478980836,0.04429718806920567,0.009771598601572937,0.002584222660497521,0.007318517906803449,0.001050155411688968,0.0036145072295108525,0.003846501506016523,0.011642772810453072,0.007248793675512031,0.006377991020623206,0.006589378440528184,0.004424089387614262,0.0015245303500646527,0.007847399584401022,0.002331451734475419,0.0023269455751231067,0.003670709931837773,0.007845760361729286,0.003701049628860856
G16,0.0024006097980976853,0.003634580631262547,0.0023369943342159095,0.005760079087981685,0.006217416312573008,0.0035691768759330555,0.013324750119783572,,0.009931016729584784,0.006262645715607827,0.0034232033046679732,0.0023964415743587923,0.0037790282714655343,0.012855920616667144,0.006214944881370707,0.010107020441138065,0.002482626308802305,0.006188236828080757,0.009001125272776987,0.0023115218628589856,0.007196288285986223,0.005181274578637589,0.006453288526769952,0.011770942991957047,0.006080324128523707,0.006055237393752952,0.0029824129150335527,0.00576520351466484,0.0045280602724560425,0.0018383987972149709,0.002845682687709636,0.011630053273081826,0.004325006703405564,0.0043433373304421884,0.005576457525936714,0.0052025322441804885,0.005256592845656258,0.03114614694158483,0.0044434927368125175,0.009630241134895504,0.003349169555124941,0.004420935229432333,0.020449412476617135,0.004221599041799787,0.0037759560299133648,0.023083164089964206,0.012733084156377828,0.004226772222423002,0.019597609100142323,0.004805119479863367,0.0024690648071414665,0.0046066498748858105,0.003682502189498887,0.005341549127451861,0.002210285700590011,0.13001924391878492,0.004607248603992315,0.007240931332507296,0.03048426589556004,0.0030082965212611815,0.012869769808292679,0.0027785461378302184,0.006448889554621179,0.017502167140723186,0.005367645118461262,0.002086478898623373,0.004861898189831864,0.006006901536607356,0.009804814197054808,0.01471518685093797,0.02759901761014429,0.005487985392994724,0.008460568240332571,0.022100745960499178,0.016857299228848578,0.005369546074629292,0.0028629043599042374,0.006684012943467468,0.003972743754553839,0.008700174616748222,0.0068876311652696625,0.004532721525955593,0.019455150810666767,0.003892149412002212,0.006827945235646802,0.00961820760627894,0.06549899017341,0.005297042629849115,0.009022761499180349,0.051306096533328197,0.010813295225845787,0.009743779624234053,0.010255711513569198,0.00211368288604964,0.003377237731408198,0.01459018990263704,0.007815581340993064,0.0025562926618366557,0.006339344820539075,0.01073771893693169
G17,0.013018227516002819,0.0018705558828859912,0.012539768517273411,0.0019469973342056345,0.0060554377825612175,0.007111547096740228,0.022901462916181347,0.005933471123270676,,0.013632525038843045,0.003588701712625693,0.01013297316806794,0.00786156494235226,0.007152942133700827,0.02656599436989667,0.001957406651715505,0.002879644558607142,0.02227670524463316,0.012050708052175254,0.06326603564127362,0.0011022027138395958,0.00546276390821886,0.008678045056817334,0.024891298220617086,0.0027768936397861376,0.0014704619497728601,0.002575351461966839,0.027361252091396157,0.004059765737850317,0.008582250531778735,0.004022039070854746,0.01248942545523506,0.004192399261538202,0.010471768343294729,0.005564835600238082,0.00529072383073006,0.004182413813922891,0.02084605221596936,0.0009815085010253324,0.006934636838119976,0.012506344707335004,0.0016101998320926087,0.009029464945794305,0.0038148973311175173,0.0070682963556401,0.0046568551104849785,0.007086751724340765,0.034939803075378945,0.0031999359886272193,0.01148058734179509,0.002293608836192691,0.016809874554764247,0.005352593024110036,0.002561112054276002,0.0016696834660283172,0.0022829757735394517,0.00746078727833585,0.005340867469274833,0.007081316127995283,0.023692968720614337,0.005286247525636698,0.0019353858923853706,0.002401877173586662,0.004389854641276652,0.003112044821777827,0.015154431995948923,0.007095068965238407,0.01249474194429527,0.002578338699991527,0.0021926049590036837,0.011263002100827885,0.04745612746531586,0.02254999003737378,0.0021556052851404548,0.0015673059421617685,0.009568965275031838,0.006647578476911608,0.00927643599285685,0.004787406225386274,0.014645358176303804,0.0038662589943616404,0.009813319558346694,0.002199344839540247,0.003289395161957261,0.0036340810714793254,0.02840295546661995,0.04473669519618101,0.004480502480093477,0.007048197626867869,0.022489370051575627,0.005841189685938584,0.003500092765855153,0.0030142585342185905,0.004331842032721539,0.015912449932946146,0.002760124624164657,0.005559690859979332,0.008762340381625494,0.04082996198180197,0.018351875513551875
