,G10,G100,G11,G12,G13,G14,G15,G16,G17,G18,G19,G2,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G3,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G4,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G5,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G6,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G7,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G8,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G9,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G1
G1,0.018209109102572996,0.04434231776573395,0.0015788216417936996,0.0026379242208439133,0.01187627661392988,0.004141170350865871,0.00016285677536576287,0.04094205557870353,0.0023452990178782934,0.00250100705151041,6.84917101357287e-05,0.023012759406426525,0.020874617450841407,0.005561007604593517,0.00451507977591881,0.012359236626494192,0.006968622137866688,0.0011587380393599724,0.0010095153875980852,0.0028370065818291096,0.00048234857675896395,0.004806117854472011,6.034542881042614e-05,0.011982216457112243,0.0014927513276347193,0.010726819134820332,0.006265616158130328,0.030033445236784268,0.011473092029896792,0.00016789157284686528,0.04922320463103856,0.014134116009333808,0.02462239685681287,0.0003853033831589626,0.0014719953443406999,0.0013593701236263127,0.0008475149158642006,0.002254388242986363,0.037913955737284386,0.004508774773508236,0.01306522825694987,0.0014810955554344822,0.01594313265288567,0.0005354661537435829,0.001919383421840463,0.025332299734669553,0.004204605749699304,3.092045555087742e-05,0.00025138928078314974,0.027065594826256718,0.011426240123455571,0.010958169574522364,0.01320126927184309,0.001265707906515802,0.00574378254227998,0.0024296138419384787,5.267050075863118e-05,0.0034791267312759585,0.002146872609806019,0.009335212111060004,2.6371686869083315e-06,0.004146149965355904,0.012071685351657391,0.0034335856459200152,0.006761951268826525,3.0305362146539748e-05,0.010323998124376782,0.00011727018407486362,0.0197578783963397,0.02147049239306548,0.0006746309550796386,0.000546434736972925,0.0031965853868227427,0.029539173479576974,0.00010904997103461805,0.00011138301003556366,0.010795706985870424,0.055019865640223195,0.006329354678371313,0.000906845362660607,0.011112118964408649,0.02311914403642039,0.015687558702784286,0.0002972310428563803,9.231847317518163e-05,0.00691178681652824,1.1124771836707222e-05,0.00026185503188892923,0.00046149941634443043,0.14230482245289477,0.0018413138636367624,4.438660376013779e-07,0.009519297887731924,0.007009781465983252,0.004499581495974752,0.00038661081114520874,0.005625146943838635,0.01406900881958555,0.00026301313307696957,
G10,,0.001990407485470708,0.008645219612841863,0.07834916876604045,0.005087301163044141,0.00848357400055057,0.013894830941501063,0.033981929249260724,0.010231477065437552,0.00023872558258058093,0.008639301753661427,0.0017761679401230867,4.89521945694107e-05,0.023390766058381834,0.00031297044490917274,0.00025704363895034916,0.03493582174440576,0.004491738289303432,0.003226876716491565,0.0030901789748746826,7.959207297339178e-05,0.011586797334719156,0.0005018830006490004,0.01168853698768345,0.0009585542156926452,0.00025108192461823777,0.016517090159055583,0.0008464004638600518,0.001105571090622261,0.042441124405726706,0.039228957778142275,0.00020921901495580948,0.003934921326866819,0.015421522713440763,8.898587586108742e-06,0.018875286698615438,0.0034360500114768715,0.00958014061482906,0.009671320770712923,0.013132564173109904,0.04137504794918547,0.02510361116525591,0.006728681497324292,0.00017534927292156983,0.0009644262475592151,0.005223856705517738,0.05855950060751162,0.003232101529745989,0.002544402047883199,0.0012051479593358345,0.007903772398437597,8.278589201826527e-05,0.015461824194110055,0.032312469392076784,0.030478285108337246,0.001566279961984357,0.026788009116345667,0.03048372047635214,0.0006281957032927325,0.0006198973751742437,0.00025019639887646316,0.0,0.0013798995019752764,0.009613295159675518,0.04249405004567618,0.004528901489534323,0.0019102749873753549,2.482547703315528e-05,3.445369290803278e-05,0.0009625755111062241,0.020898023730882724,0.0006467566017745415,0.00400963694088477,0.0026255529142493426,0.0005476563028037787,0.007746373292621944,0.0005762595407501649,4.228411335760775e-06,0.002438017451676017,0.004946158023834449,0.003739545150620755,0.002520566539555054,0.007164359189603099,0.00037095271564097,0.006982027168939478,0.004799976094838777,0.0011611254561549023,0.0017345655796074655,1.4366878721318558e-07,0.008041126107676513,0.00763323798258701,0.008164187645983792,0.008841492061364595,0.031926680056820776,0.0008827981631206861,0.0056413461768663265,0.0001387626812559774,0.0002656769360310825,0.0,0.062368965581466845
G100,1.8405500491620666e-06,,0.0001530316541752557,0.0020970354264279963,0.0,0.0005861990240349648,0.002320957885546458,1.216170187776861e-05,0.0009018772349454265,0.00047396297776787554,0.0005049905693079197,0.0005157646501165833,0.00011089569469474434,5.5778804736494077e-05,0.00035340554483689906,0.0009005737507567234,1.968446180029058e-05,4.168382734884493e-05,0.037779440809358085,5.662373195629586e-05,2.2465230107156744e-05,0.00012995530557031657,8.567625776486432e-07,3.778256122488519e-06,0.00016139265790546885,0.001232657310045929,0.001941147650667846,0.023852797929238702,0.0003509929185974228,0.0004735486023417101,0.00205809442832337,0.03477061915607751,0.00015010120305628373,0.0007865786290171527,4.067179726781698e-05,8.775958516750566e-05,0.0001966787922033951,3.500306120151197e-05,0.0002432416100979523,0.0024506296559071382,6.542392225564523e-05,0.6305665453314075,7.151987509269297e-05,6.299729303349827e-05,9.574329173650952e-08,0.001382081676167633,0.00013111389739021634,0.000430123744989894,0.030351191087928435,0.0002893865249196654,0.0022509748579139246,0.0002850070811463368,1.6268432094660057e-06,4.895790539388496e-05,0.00033480762191400137,0.0030064234861970946,0.00019719214140763843,0.0008291239545325143,2.8769449750889954e-05,4.747562007186393e-06,0.03386087466186627,0.00027248773340451525,9.164436361001923e-05,5.141586381364407e-05,0.0027892320465018293,0.003798612351234191,0.003380310303751309,1.2849788842710208e-05,0.0032940013795992847,0.0005896440830699741,0.03990788149884905,0.0010973320899429547,0.00044270954196511987,0.0004432657044449875,0.0009682099164168126,6.710904245829102e-09,0.009640466435961713,0.000583623673149085,3.35523208363638e-05,0.0005920076047834647,0.0002515703282341536,0.00043997014747937694,0.04582257117456016,0.0004381410234761833,0.00011073436940796246,0.00022607407082543256,0.00046916117534212385,0.00010955638831847969,0.0011680235934284355,0.02182636201187106,1.2907479396318897e-05,0.0002377789179867321,0.03540397624399272,2.0938232017551214e-06,2.550007490949373e-07,0.00010582502685025257,0.004902880951937788,4.50320507037922e-05,0.00018789663375464255,0.00017607267435401527
G11,0.01714375566059134,4.933081431169571e-05,,0.001171992080049979,0.020081325310424888,0.008986857991393118,0.0014071720934471647,0.005890852721655354,0.0025032833397915003,0.002135124875909267,0.010934119569905011,7.949366298778835e-07,6.477231375001124e-05,0.0,0.0004982814561642103,0.045598119042594386,0.008022138521821627,0.0008771072854286998,0.0045605549169061375,0.0003878949075157105,0.010036089664246168,0.0009770507770692557,0.0185530726492174,0.0004364532593357925,0.0013886510531492472,0.0,5.029670240536716e-05,0.0005589644963033074,0.017835224362368247,0.0012119328588708553,0.008187447063771842,0.0003610294201695662,0.0035569476727889543,0.00282193764656041,0.009667745817237634,0.001091412095962707,0.0011227673217448486,0.0031378400927251746,0.004667252549360065,0.023458103015369224,0.06529567646689562,0.025978125324876096,0.04851813996187529,0.0007779448355684855,0.01427985457013698,4.6438436373800035e-05,0.03059082037539451,0.00380824597617752,0.006018859635022903,0.002529337034593462,0.002933651460753326,0.016792571736897795,0.0003609252840113445,0.0058559148489884544,0.006900511929444459,0.0,0.007610729418683508,0.004634553039511384,0.0041880017772395394,0.0004927037766849284,0.013817691575522791,0.0018823088434900739,0.011143321956902753,0.0056810042259368065,0.0034983496364975643,0.032871614868441125,0.0009749798738777165,0.0008163579156592831,0.030657970721338683,0.04174906309703012,0.022513934766875007,0.0003274887709551861,0.0015147869494380373,0.0025263188423406435,3.624956216998811e-05,0.0004317195907338039,0.06726136979326208,0.004083110434957841,0.0037256170156024586,0.015185510115351403,0.010056060455447838,0.003481219224934842,0.0013768567152519064,0.008084344958743637,0.028491598378313415,0.0005972824872878665,0.0019968045108747913,0.011535870805232277,0.01933961288403115,0.009552448671762649,0.015649257664869402,5.786631097911618e-08,0.031394606424440454,0.014848342900371358,0.011212736138472644,0.018103148331528148,0.0007496524227497412,1.0380981818876802e-05,0.056146634624095165,0.009627612751004041
G12,0.005050349595999141,0.0008244771382490073,0.00020913197079880486,,0.00016251135873222974,0.0030722495582826263,0.0008561687059285335,0.008558890840703715,0.0009241770573923061,0.001635061211567611,0.0007345498298910014,0.01888139713771183,0.0036348493564182568,0.0006346480645694916,9.918036793880042e-05,5.683177853524581e-05,0.0016068251108044577,0.0008724622114300284,0.0005096090960642359,0.005988417604892228,0.029169737260945523,0.026533838951865164,0.006396979598981522,1.056950924551468e-07,0.004833679787016418,7.121015596912674e-05,0.0005597288240827269,0.5131412685746534,0.03147135815422254,2.787261594663584e-06,0.0023014108470045115,0.0033760228708441,0.013390394825068964,0.00406925616516042,0.001506680589280016,0.006820142122358317,0.0016379125834067591,1.1048268966640531e-05,6.437828791934687e-06,0.0019378134589056121,0.003730546372547845,0.003266240854879559,0.0009583986069891791,0.00034549255992548383,0.002073554075890878,0.00014520240365795283,0.0077338526920222184,0.00010938535618876109,0.01765120113396386,0.0016165596168294274,0.010693293349273504,3.168144404397566e-05,3.690768912410556e-05,0.004283277898855097,0.005337204434513772,0.017560662472909983,0.000805478419665958,0.0005085183505081953,0.00972623531418309,0.0028540037631977085,0.012062237927711552,0.008674859057563466,0.002952198859806298,0.004905833355162143,0.0034709238809422062,0.004045727392084331,0.0010841788384079456,0.001368392913815286,8.834099862216434e-05,0.0012049855546653263,0.011291005840904986,0.0037335581194593956,0.025251447266124716,0.0001672167369566378,0.007158337989533876,6.729950246136212e-06,0.007091274919256899,0.014417252101745036,0.0009628039286575819,0.0035246998338317333,0.0021797886634511384,5.154636557170895e-05,0.002668139864160645,3.2866888486030837e-06,0.004623990891780612,0.0015460106958496876,0.0030527646158202033,0.019227668270337128,0.00786636932511411,0.007320015069313036,1.2301749138054062e-06,0.009568305392561528,0.0012078080870770492,0.0026068139521642133,0.00019214012629442553,0.02057981715392453,0.008459078032105502,0.001347758930195569,0.0006805229792246468,0.002337640626503433
G13,0.000487250698565402,0.007886354840049887,0.004219298005101938,0.0007412789883541581,,0.7264495538483112,0.014848072958184935,0.00040799228099493823,0.00027729798623206853,0.00017848851078924692,0.0003461225992843638,0.0011608175383418687,6.977961375626814e-06,0.0031532017167194585,0.0031371209780707804,0.0009357240459104297,0.003173948070712263,0.00033754176946846547,0.0056476064401665155,0.0014411375205961308,1.1609480232589235e-05,0.003902812292718206,0.004932903234308572,0.000181031052221647,0.0008613719699192035,0.01482656833374855,0.0015332131413012277,0.015000809316939883,9.828168078857116e-05,0.0025755880799589403,4.2513160201389404e-05,0.00011227487750697311,0.00707041652629041,0.00233118454838943,0.0010047691218730748,0.028108120112233164,4.859836283556287e-06,0.00017685150510111795,0.006694874490805263,0.00021513824199694977,0.00012205678251515268,0.007438235615071975,0.0007894129540580665,8.222244033897582e-07,0.0004380726137489155,0.0013017536031619062,0.0014196881120750332,0.00033967432141232496,1.4588371435387328e-05,0.002953742482032399,0.007567406276764549,3.2664598267420214e-05,1.0148566478123566e-05,0.0002027244319191323,0.0011099764910930824,0.0015393209328445363,0.0008811338380078007,0.003829818472826053,0.0018398694274037706,0.000527678877338699,0.0046227722720145956,0.0026022194962967275,0.0009763901421216439,1.189684613302355e-05,0.0019731165772150223,0.036596244355408175,8.267608167458663e-06,1.0583566789829746e-05,0.004301974617991173,5.3126657722277384e-05,1.044564624841231e-05,0.00965377460391644,0.001259632903659285,0.0036469627806666387,0.0035985384537409295,0.0005213793673238985,0.0003166090488246233,0.0011277021906052657,0.004183158438185985,0.0031940270897916775,0.001655384565296756,0.0012941319978477437,0.005429032656876446,0.0022474142473463267,0.00028053683175517663,0.00025321429843561566,0.003685730690315939,3.709689974489108e-05,0.0,3.6858025477658846e-06,0.00188619693957046,0.004856438857791911,6.16230035153447e-05,1.4652119666812182e-05,3.324384814513565e-07,0.0008478652633767082,4.7780660861432105e-06,0.00016092019187130934,0.001717145660355304,1.5230053388457199e-05
G14,0.00034826167657495165,0.0033679659761490888,5.2791957855589926e-05,0.00011056816266802143,0.6986000483430788,,0.000487037591268888,0.0009301635891755585,2.076184686850164e-06,1.7326654652753678e-08,1.6600157312692665e-05,0.0001623115477636178,0.0,0.00278587197805996,0.0025423001041308835,0.00471519706101971,0.0024583094714065207,0.002148669935085121,0.009046458239861895,0.0001427893312268884,0.00665346557784078,5.6690413422261914e-05,0.0,0.006704024797474278,0.0053993454310571004,0.0002811623768627467,0.007365292540660516,0.0006709473327488704,0.010084470625022228,6.432009770419878e-06,3.935887178971561e-06,0.00011110073245648342,0.0012449566435492284,2.9552025008042625e-05,6.875115202200034e-07,0.01616490839061106,8.334188939570104e-06,0.00035865493267470296,0.0006189392957378873,0.009336295638033404,0.0030745063443474983,0.00021427272785033084,0.012804346798852256,0.004493982475625515,0.0036461348962440023,6.437192260753182e-05,9.147295558478733e-05,0.0004915852279598786,0.0004427408631998615,0.0004297707138416063,3.2336628254257995e-07,1.6584054202419486e-08,0.0,0.003345658310216125,0.0,0.0003963353189617265,0.006127571520889746,0.0012528645702025308,0.0002807640294581312,1.1673471272582417e-05,0.003775755424273229,0.0004177199217323202,0.00019173073963657183,0.00471855164525691,0.002915443456273338,7.186314395754384e-05,0.002041559431128324,0.0012832526320943037,0.00044220043465918144,0.0024404768414167327,0.0003098974536977068,0.0033109304814858366,6.269592392136759e-05,0.0008040907695171577,0.011001132670400452,2.007088406304716e-05,1.1218649746570698e-05,0.0011428782043167145,0.00015329955180710893,0.00022221980336689371,0.07419524798045075,2.0086063435936646e-05,0.003485495874655776,7.731971474890576e-05,0.002389399975792995,0.0005840393098693161,6.623687028294497e-05,9.118426119826171e-05,8.81566766592227e-05,2.4584926836739186e-05,0.015808327091649164,0.010192661556063574,0.00014140345401039825,4.753520288567257e-06,0.002208549096436246,0.0012200086309233824,4.362498109527725e-06,0.00043277855098618136,0.0038515378101204767,0.019591850992730975
G15,0.012492993065899986,0.004925911077834211,0.01046864486218778,0.009026386283579687,0.002525787684573313,7.649940809630973e-06,,0.0011617778487366776,0.0012383272825488795,4.333399617226786e-07,0.004925414627653135,0.01718913512745987,0.029834271857182303,0.06511260118662568,0.002186091173234332,0.004856059618232744,0.0005559701044756725,0.0014436355583428808,0.00058703856385515,0.026694057001226835,0.0021171386033839914,1.5470513463924075e-05,0.0020909895656422576,0.0008508955446655481,0.1425604533412449,4.4757489439856325e-05,0.00544460194064698,0.003072296397988125,0.0029701549256577454,2.547220809086943e-07,5.607072051268713e-06,0.0012356020769597959,0.00020813282826628055,0.008089599393187924,0.015498625562623936,0.00031936411320734377,0.05082161936476589,0.001869493794459519,0.010082265916846172,0.0007473046726497502,0.01118434116091673,0.01370397177584592,0.01975787004509605,0.00021027365495308945,0.0028670916394865197,0.022795248903545083,0.006000188223418222,0.03829253640115035,0.0008800213915040726,0.008471358982898365,0.00219988515823993,0.003734293248527727,0.01608265686628905,0.009479385124316725,0.0035466592761268056,5.2765455813168826e-05,0.0035517977905754512,6.790800663434143e-05,0.003037738945455587,0.0009884637154535553,4.911132758055264e-07,0.006305278914641023,0.02350980659468517,0.0015475041466167085,0.0015383150315959227,0.005690210625355939,0.0016591728230549141,2.601526321261483e-05,0.08891053263801252,0.016955628070698458,0.00666559760464841,0.020448794415943414,0.002913623590027831,0.0012735659237518163,0.0004094021652108973,0.006397491350083856,0.0036365451325216873,0.0035906555379993494,0.014903472467362754,0.0005183378785340909,0.02261783264320887,0.00510761507135168,0.009029072598596475,0.011854069069524666,8.679468016248136e-06,0.003770062754502217,0.013191593360339997,9.858286965941901e-05,0.00017463706401591475,0.004229471091983213,0.00013815294458383967,0.0012425641508118305,0.011999424480351198,0.0,0.012242121340577103,0.001702103705285019,0.01605818981267053,0.04675663732253548,0.021569672081427658,0.0011278070734260512
G16,0.009350416020443668,0.0,2.6085831717461743e-05,0.00016737078897273574,0.0005303007934752971,0.0018917922720162114,0.025427961009877934,,0.0027232747605434376,0.026712026794608136,0.005268077151979493,0.009572014330498623,0.00010395949933489968,0.00041757524483208044,0.02165716128798446,0.0,0.01297429536516523,0.009964150616127336,6.489573852458995e-06,0.002084611391628998,0.00021013285001556786,0.03483558935226244,0.0007484875763810869,0.00016198151827334973,0.008265444821085457,0.006969797551041961,0.0009459424712127703,0.004632369800034554,0.009372421238919935,0.0009993947588584457,0.019027782016813995,0.005857693892325632,0.00047346887010851725,0.012272395584621967,0.0029375606836419196,0.005502873259752618,0.013593738612904586,0.011752441848934397,0.0023020592064606736,0.10281738580351629,0.0012183558578206706,0.01176383964968006,0.004100861702305353,0.019424992333406638,0.0038121536019207966,0.0029389389932157465,0.004112631601847955,0.01961189032611625,0.0026123089921260027,0.004002859947546684,0.00019991767555321526,0.023004228373227104,0.016940126504278074,0.004357505521604763,0.0047943405270506785,0.0011552248402475812,0.0,0.020171342220588796,0.0008988254784258449,0.003007944626394771,0.05547024280075424,1.8344136467163833e-06,0.008158948762571908,0.0004607102287867486,0.003488667046279646,4.925232405505418e-05,0.005509014035435469,0.005706435993675646,0.0043657168972925965,0.0008979360713515598,3.5261993633570924e-05,0.014549055106162351,0.0007617091268191737,0.006404276528281059,0.0023593966602540213,0.01545335535648346,0.00012792909011792307,0.016583824234757925,0.0002797151774788389,0.00029972201019017264,0.0016545641947917286,9.162107707730677e-06,0.04709937916440774,0.010600659091287198,0.0008111679071901872,0.01187266054825112,0.00033572873840029174,0.0005671747707776747,0.019673088019594807,0.013250996254039861,0.00924512958151016,0.11178098273555259,0.0008151172133684665,0.0027168620980824306,0.0006309155552763358,0.0,0.01802331251665968,0.08297129623881351,0.005458341466638762,0.0008356447160401323
G17,0.008166059026659681,0.0015138908633702164,0.00026052236054560066,0.0,0.0024540720138514337,0.0009613734395182314,2.055397517575554e-05,0.01617066344916066,,0.0008909984616709421,0.001965858166151699,0.021667514412049158,0.0114260528232324,0.03439465726934482,0.041491806985519734,1.6945036904362583e-05,0.0160572100979006,0.014002330111335984,0.0030450367276979163,0.009081583851728704,0.0021735154684651473,0.0001785646002409844,0.0018215119484168104,0.0028237254552670185,0.014055169378633945,0.0012774655005993365,0.0021434960619010892,0.003982318659297602,0.14830844207167757,0.0074536803983465474,0.003682606025733769,0.00807002815499641,0.034188717482905306,0.0,0.02373386296377578,0.04051407588780326,0.01911488402483778,0.015584710901827248,0.03076590866627464,0.0038826091544427004,0.005125478393321401,0.002274719140131479,0.006460578118755315,0.005564766880327931,0.00011538087029402928,0.009066731870736134,0.001270948323852639,0.002373949003244023,0.000511623038309174,0.0007137521330786902,0.013519686720396879,2.2542788611282167e-06,0.005903431551106475,0.010139051396460477,0.03828975220460969,0.02598462913919398,1.584640429637422e-05,0.0006445752604343644,0.0001283159392685808,0.0016708156003858586,0.0016633381061584558,0.016649064512414297,0.0002802670962737855,0.004116013492893663,0.0029333633624758493,0.0008389928797251693,0.00018266165093725078,0.01993841021608478,1.9995448978660224e-05,0.01404893519974338,0.020970720077207492,0.007299570533094597,4.993633719798924e-06,0.00033577670653188517,0.0008598767255655198,0.0005038858732715767,0.00038347547066908957,0.008869577025603032,0.03498324452658617,0.009127623169059738,0.0006806676882311238,0.0010040746706476732,0.00034512937390835524,0.0010917921434271075,0.0012881679461052527,0.02485881476797544,0.012335641793024845,9.524564490567877e-05,0.0014524540813272134,0.011025083807862147,0.00023400232187830247,0.00014677958726962796,0.0015317541018391241,0.0005282987499546216,0.0633778306071114,0.0006571875968440595,0.050970342633440364,8.287583580253312e-05,0.006266890394598715,0.0008984724025267335
