,G10,G100,G11,G12,G13,G14,G15,G16,G17,G18,G19,G2,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G3,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G4,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G5,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G6,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G7,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G8,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G9,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G1
G1,0.0026198611111005574,0.015776102755229147,0.0004307125155538786,0.0013665561345517175,0.005367524886653817,0.00232961364755391,0.023033693240766158,0.005811548910788023,0.0025265963066977604,0.004009777184484593,0.0009400583149079276,0.006019852655566521,0.007522866370411349,0.003119800683156857,0.14220913886621714,0.0003711337364255384,0.0031260132822716856,0.012072104256983568,0.0018389240049442568,0.0002606073050896445,0.013845867555263602,0.0,0.01513139515882478,0.0,0.005848496978168841,0.002833949116575066,0.049937775857558736,0.01221351426070568,0.004012737469205681,0.010685552819383201,0.0029548837291814394,0.1295246206283292,0.0015185391014480392,0.004757968659830253,0.012925541180699579,0.00010262521312553353,0.017345413924717074,0.0,0.0,0.001603892885304395,0.0013582768478682557,0.013975016297748739,0.027264760107120256,0.0006863434246872334,0.0006032885667117091,0.009859467092266727,0.009234816092818067,0.003930253523261937,0.0019432879599473314,0.0033377114898329933,0.0,0.0037856130683282655,0.004687389844732278,0.0029233833609985486,0.0011901524967377149,0.0021432987802535892,0.003868931377588353,0.004946695562564419,0.01643103732901205,0.0037727667310343345,0.0,0.002003898521254401,0.011859597753137236,0.07847514199338795,0.0,0.005950581833977966,0.009346981355741283,3.00440207903267e-09,0.008074172939037833,0.0011794226262792074,0.01272995674579961,0.004312318579435449,0.002376679844039095,0.008571949047620958,0.0036430704849388065,0.004863620129955702,0.006821068499238177,0.011083142639958164,0.004706160447610689,0.0005582086533474207,0.0002482213690928427,0.0027241328638041035,0.0018870278115909085,0.0024035094483367825,0.00019082945887096146,0.001922777324945768,0.013056446999358498,0.05740092536783639,0.0016696867985037853,0.01043230831382965,0.0021795395371722957,0.031795183294841045,0.0,0.0,0.04507731486809577,0.004467611650331895,0.0030207545120744823,0.0,0.0030300046209648045,
G10,,0.23856637596254995,0.1433441902501257,0.009065610311810888,0.003526201821980617,0.00766026410237367,0.011920131279494484,0.0007235640021856796,0.0,0.01966933427636628,0.001559137643016767,0.00012395945720487247,0.00504561748853679,0.0004492798506206805,0.0,0.0008167655918004804,0.0038664861724701525,0.026029455521806636,0.003934145101507142,0.004488149944264089,0.001381936449732391,0.0005232849669138964,0.013709441210200051,4.668070715334446e-05,0.002388336988236051,1.9449790662487698e-05,6.24431358267225e-05,0.0013397173556204966,0.0024730194552967694,0.004204595247800883,0.00479120014248038,0.013587073183247731,0.0,0.0004846608537191889,0.0018239476625236492,0.0022359517676347374,0.003626124216757106,0.009512435875560341,0.019741620536815822,0.014620765646705284,0.028010959752800102,0.0052148650930455035,0.003396922344297638,0.004139128759766864,0.017868207359606533,0.05776045920945541,0.004079465331994831,0.006647865684902427,0.0025753559810482436,0.005641632545444067,0.011116481631614323,0.003071185173054184,0.01362711924240386,0.0,0.0,0.0014037994491462049,0.005283502967954254,0.001842089160673246,0.0012319865500113449,0.002176812270238467,0.001977126621801538,0.020587428391546238,2.636154430974111e-05,0.0054011827390681305,0.017607774160449514,0.00043576836901272734,0.020054235138183822,0.00038330208675543646,2.1068034561374564e-05,0.0002970297319798748,0.0038472877467779017,0.0,0.0016359757381578302,0.0,0.003703851191607151,0.001183554646789285,0.016064521045420103,5.3595836852967285e-05,0.023917311810221713,0.00013323562458476728,0.007883629561779135,0.0037482088903236887,0.01801193668288169,1.2558256564190653e-05,0.015762186487035812,0.006519417125128562,0.0046929731708330044,0.0036549749020699314,0.0001397187679617865,0.0011447170792488338,0.019539297618393573,0.0,0.013832712858186401,0.0013186766135079733,0.0017635773539380116,0.00029680695071821145,0.0010449366757606087,0.011927932919629201,0.015396314519258452,0.00352962063024106
G100,0.20617396260551724,,0.47237918939504864,0.0,0.00019045140115104943,0.0018929148430321741,0.003627447331176459,0.002702680106294621,0.006510904334481949,0.002653232965129615,0.0001405479059985588,0.0,0.0,0.0006196161450984607,0.0010489271065012092,0.0,0.0005498966856443786,0.00397840147923082,0.0025507231594997983,0.0016559162312811241,0.000625125844637011,0.0028285224892344108,0.02933178455570532,0.005673714828282577,0.006889673810597197,0.0016567431777932302,0.0031797602899047567,0.005826262787210367,0.002755992815847765,6.122176649291318e-05,0.031840573484489126,0.0011131717932191666,0.0,0.0014728609517209268,0.008887615629182187,0.0045561047924481,0.005504550776493324,0.0008142592175704859,0.0006143917534645692,0.0006946341059748672,0.0033513976118473474,0.010766007648432269,0.0,0.010435250891892163,0.008069748195265321,0.00014301375518473546,0.00044156002211031073,0.001463801265859231,0.00012065389377317683,0.00040756841945719193,0.004168253091093884,7.386538458220911e-05,0.0028674220427649753,0.0,0.0,0.00021546615869592005,0.0015016713052677568,0.0017866964027641022,0.00013726908803765182,0.015212709786204846,0.007926398990325986,0.0,0.0022128592275455763,0.0,0.00025260456268408674,0.003045903229587289,0.004228165572907553,0.012561112319182095,0.0,0.0001246324125405971,0.0019965763874674816,0.0018518638429668723,0.0012836812281168382,0.003994119521659943,0.00023439298179027648,0.0,0.0,6.442652817612432e-05,0.004100872520051847,1.8734198954041542e-05,0.0005524576917397083,0.001155224360084935,7.347553761805118e-05,0.0004201071171546546,0.0035941972853811175,0.0,0.0005684463029372508,0.006990062949877788,0.0007556088842688462,0.0023234150890151157,0.0018330898532338865,0.0031082947733567135,0.005255351707448819,0.0,0.004626749777270967,0.0007575865733386543,0.0,0.000498238563854971,0.008067549162328247,0.033359669318546184
G11,0.13813463379869004,0.6196507624563724,,0.002016252909973564,0.003786947563083623,0.0005967270651207585,0.002178144629789487,0.0030894735584956964,0.0018559256139463944,0.0003371789606351048,0.0,3.304278280816009e-06,0.0035944398701359325,0.0016174363358851197,8.924495071379967e-06,0.0053439787903380095,0.012518426073720789,0.004757071792128086,0.0006438299201732255,0.0007125444738586753,0.0051356302916576325,0.002574596583356662,0.0020592637320396884,0.002193857852286809,0.0,2.065623890968437e-06,0.002962552496176206,0.0,0.0056153118250341656,0.007016963915704651,0.001328391072791215,0.006563709362521719,0.0,0.003923056544189081,0.004183187319313971,0.00099690473335069,0.00205804668937225,0.000984746370721873,0.0,0.0008000695042370335,0.013408543660507314,0.0012501690533110012,0.000994593428802602,0.003108082829090307,0.010571895574976758,0.0054005192097059665,0.0020636025547050847,0.0004359040035113269,1.660421890636084e-06,1.5736793531358963e-05,0.00229857789202854,0.0039191723252674305,0.0,0.0,0.002367455806200748,0.0071263550678030835,1.5091128813491388e-06,0.0,0.0,0.0006558437731525753,0.0016481407392855778,0.002642073780720994,0.005512109094084784,0.0011389825637507284,0.0020256104662471322,0.0,2.0021966488511076e-07,0.0,0.0008850367589806715,0.0009898852498332021,0.0001484125150602491,0.0,0.00040343566053326594,0.0008894096047586359,0.00025114620298161367,0.0006861484997556542,1.2968024265558841e-06,0.018343761829318992,0.005149760457496099,0.0007910064003063152,0.0012712965285430298,0.0,0.0036503384485084777,0.0014960391186952169,0.005310275164868361,0.0014942049470158321,0.0005566552228402921,0.020339772411057718,0.0,0.004011461633290161,0.004133572485788307,5.945580584502196e-07,0.0040749752389655,0.0019231139070846558,0.001859509344560882,0.0027301431388803026,3.4339579001267185e-06,0.0,0.0,0.0027742190390275755
G12,0.0021101948384739974,0.0,0.012349430643094414,,0.004881181839357774,0.01044503280754303,0.005541290738616749,0.007426776963207823,0.0,0.06276725623674934,0.0011139221402559005,0.003656629065038666,0.01853917592955105,0.0020595686546738983,0.02147750006295959,0.002154216796040232,0.013927096497258104,0.00023348513427935857,0.0007701351911805637,0.0,0.0030761682133613783,0.004841231710815422,0.00023270064043269997,0.014450344318640819,0.05195540131766174,0.016851163376672373,0.0018412475576907038,0.01888565136773546,0.006321632715331151,0.006192908418313045,0.009459780812856769,0.00551145495467974,0.0028721710289233843,0.0053009867601689215,0.00992617533227659,0.004281938896651766,0.004539993097289887,0.003228564666813272,0.012250274032230815,0.0068045548726393,0.00021837040130794362,0.003301848335537159,0.003639536696519638,0.018897747799113646,0.00024422110605077307,0.0010580391502632903,0.048370801726527884,0.0032299641916389474,0.0039234353266440845,0.004586131242237015,0.01990087239003634,0.006002462754807852,0.001788366123529127,0.0,0.02556568210316473,0.011445316768067097,4.4430568952386526e-05,0.014996000337078142,0.0026716729803107323,0.0006074896319917758,0.0037714879559244572,0.0,0.008325552390934066,0.002909053268117631,0.0031950216743627264,0.00815026031727741,0.005589802845507535,0.005517453285749424,0.0012415933543499552,0.01667023397584712,0.00213663870659731,0.01065193210177699,0.006533292603376079,0.032133189907698825,0.0024998039222129146,0.006653691853480279,0.006600650660127463,0.21389070292577622,0.005624989369603972,0.004531536972184166,0.014552402192921513,1.3046780554935042e-05,0.00966558149806515,0.00029625726212948025,0.003435086571751193,1.4905291737762686e-06,0.018036097378677365,0.00020037150261398024,0.00802936910951985,0.004733195284595071,0.0028473044094208125,0.009962897491430815,0.0001147516331889009,0.009113991276048861,0.006208865165929565,0.0,0.0059221660260626845,0.02776498970073699,0.000506241882067532,0.003199378950962676
G13,0.0191827807331095,0.0013702768050556286,0.00033621088903012966,0.002177605417088888,,0.005623710546669585,0.002763690536871145,0.00788333519075953,0.010076544154595312,0.009115326190538555,0.0,0.030331988042171087,0.02028206925150828,0.011447243474979387,0.0003982663223579045,0.00035979589595825246,0.010773257573115926,6.961357755115446e-05,0.005611908427396968,0.002929945412833612,0.0062134821972270595,0.001062444914920905,0.0,0.009681866293598237,0.0,0.014662027413928021,0.0025553068037880255,0.0,0.011011850177983899,0.01040997809423019,0.0002882607703835477,0.003137345381615133,0.0,0.003387573576532094,0.24063149749236426,0.0,0.005106975711685281,0.025894518101298586,0.012338000150430994,0.0022986348630492544,0.008342586919233385,0.0,0.010958074211282235,0.00518086036937067,0.0,0.0007664931751808115,0.0015452702012654154,0.0006973023279707516,0.002825773020434005,0.008138683220991118,0.0015150542539485031,0.019127716929674986,0.01296738504931132,0.0005643798450807216,0.0027036885238190395,0.005333860984753388,0.0037887723899473536,0.0005103642140578065,1.21886792545462e-05,0.020242840814055748,0.004675328477952535,0.010064229476366572,0.022310349876056443,0.0019364275627468761,0.0032278890238642013,0.0193718356445087,0.00519863197221882,0.0023376655869268223,0.0010599333079498203,0.0,0.00873524610047725,0.002193740235975256,0.003932769724231323,0.005046752247324871,0.014481979164713492,0.0,0.0017531991291331148,0.0009905628003993555,0.0015016078053781113,0.07928068096933573,0.001861398702651505,0.015002239890094117,0.00034649296175615015,0.006567931383395434,0.0,0.005568162531463934,0.014909519211948313,0.009205368134450677,0.029417746824664685,0.07879967643354739,0.00905328822408018,6.139297718155389e-06,0.0005314638409720717,0.0024279316047404495,0.018084564872113514,0.005361528841690247,0.006278323222621171,0.009177021331642056,0.0,0.004667748070632672
G14,0.018918268099420783,0.0,0.020132932741014152,0.0,0.009387968905147957,,0.03758623260377058,4.927113554642925e-05,0.01239856271799165,0.003660550459982101,0.004606209699331388,0.006506242808039111,0.020928292851323076,0.006941281459177421,0.0,0.007991076002116428,0.01290997359070731,0.02464314921973056,0.023951555369024408,0.0008640089127572375,0.006210100172693031,0.051050178503101326,0.009848505537193998,0.0,0.020154970571894807,0.00029190552312549265,0.011233180292207184,0.015323037752024041,0.031936862694740636,0.004254453635057683,0.003711130962409607,0.007697876617304537,0.0,0.003087916267006164,0.010475370867226023,0.0067224076599903876,0.0068176420555704385,0.012188464502253122,0.004265218794063733,0.001747974093709653,0.010794741886734627,0.02242427721180652,0.0,0.003441823233689533,0.002782290970668472,0.027094655098459697,0.00900613383249426,0.004716425835636372,0.0016889111682093338,8.20571161309469e-05,0.007046423255913778,0.0,0.006221624446842551,0.003446968315552766,0.008784762311747513,0.011370371820054025,0.00516557490629898,0.019965514733492135,0.008633278987278734,0.0023680553286193487,0.002910579887613655,0.011785448520385041,0.015451312698735998,0.011014501750152861,0.0,0.001954607358697762,0.05464176675442417,0.003903782110011675,0.007456928009246894,0.00010397292305428272,0.003202649474472529,0.00014952359315084765,0.022890179843318075,0.0033037892635806505,0.0004121308083501347,0.059613366603770965,0.013639760767021447,0.0001333760520675437,0.004248709029977315,0.00574717845056802,0.010230225134560532,0.015367285103690127,0.032515983917042905,4.631508991709825e-05,0.004205516222869081,0.012289444999775564,0.009650641696719222,0.0013130838586770143,0.02243336434186689,0.00826470363034652,0.00559511645200326,0.0007284835461489068,0.011501065246157577,0.015034945858861668,0.003818266345693837,0.03959558703260439,0.004988070586389379,0.003153210294451216,0.0031784632073427986,0.0
G15,0.004352306306298962,0.00033328627108655985,0.0009512559221183308,0.0016358694024918466,0.0,0.022581603325817046,,0.037880532769887135,0.0014093629260617927,0.000429146031056533,0.006808766338421961,0.0019477420647577633,0.04503530774516605,0.032249124243305255,0.012969213636315256,0.0003453481898370721,0.0,0.0012655916315945214,0.00016970153639679395,0.0012971464194695352,0.0038499585584020933,0.002380597936362696,0.00013108673704949187,0.004337347212540383,0.0011709432291743288,0.0008374116200362832,0.007167974533203259,7.656326819645905e-05,0.0025996568462757167,0.3715221522417205,0.0012683213225279687,0.021423279189034222,0.011734714106788594,0.0057004210131181175,0.002177707276266411,0.0006589305645817348,0.0002252131950952829,0.031884704941357526,0.0017908291893239832,0.007621770789018436,0.0036672803494103394,0.02080403369285031,2.5808426684549154e-05,0.0030331874778796813,0.0005306556589995965,0.006029878171091725,0.00048487741723449043,0.004653389369105568,0.0002083622338937017,0.0013733027830728462,0.0005338481532956049,0.002010086149613436,0.0012655225300510114,0.002467685023513137,0.0,0.0,0.0016039942639611742,0.011173443398206003,0.0009171106816507806,0.0,0.0003526889487203108,0.004598909685094529,0.0,0.003353643111610193,0.0008937340984452331,0.0009794939204030933,0.0001797722301768807,6.339984981601959e-05,0.0002079615517481234,0.005991890390269501,0.0024300303764497816,0.02926796933873867,0.02315143795358867,0.0,0.01526605768539995,0.001500311299219648,0.001679866805810815,0.0,0.022875288912061875,0.003385057776346061,0.0006708449254184727,0.025276540595893706,0.0012812342720703446,0.006172003605802422,0.0,0.001625165769168901,0.0014804912436827532,0.0008601032476486005,0.00015958293329547258,0.1069311957509322,0.0,0.00048587567366049206,0.007221699685568331,0.0037703655835546503,0.005325935242079343,0.0035309748135831736,0.0009183425101644861,0.005534211540004576,0.0015745643629029855,0.0
G16,0.01846613387283715,0.0008265277262472309,0.006505148434365502,0.00293714970082462,0.0020885287495609247,0.0008997192883261993,0.0,,0.00013930092277268598,0.002709615254168608,0.0014102328611749514,0.0,0.0033254234079819664,0.0027872020944626776,0.0,0.0048252772875602475,3.827358976727211e-05,0.0003180829030709267,0.00023718431806070298,0.0008003191599643101,0.0041177668541729,0.001645077943993822,0.0016460819052196533,8.770532902848583e-05,0.00011935191783836025,0.0001257822560727986,0.0,0.001455160054699149,0.0019313794594488353,0.0006306244765475117,0.0008451338163481522,0.5077761363690415,0.14590376725914558,0.006356492911856837,0.003973078754264968,0.000995725075773178,0.00041051250135283184,0.00024222663435329204,0.0007569965373684229,0.0,0.003117161221635146,0.004395009991506151,0.007671488570556512,0.0007461244753128685,1.3072505526740318e-05,0.0012934930026096705,0.00146639328911125,0.0,0.002719328656961034,0.0012900636063404307,0.005227160694046658,0.0013261285069254185,0.0002435334954631522,0.0011792259825864203,7.026211561926985e-05,0.01541151814212591,0.0001572085848230596,0.0023802519215757943,0.002843398124409726,0.0003233081389181537,5.222811905186778e-05,0.005080493268966334,0.004040345954121462,0.0,0.0011637629367441751,0.1575024283251614,4.5328024569673624e-05,0.004903139923909001,0.0009392144303477926,0.00012689885516142834,0.004026881453675425,0.00043390796908335494,0.0,0.005190139998436926,0.0009816050684967746,0.00013410645676742658,0.0010550587457616334,0.0035612386831607302,5.4070589373982705e-05,0.0,0.0007533854306007516,0.002658249038180479,0.004604707734212319,0.0038404785738631953,0.004876070416444361,0.0,0.0006324884430303179,0.0031382668514027792,0.002093534256948234,0.0,0.001235965191027648,0.0006649162028509231,0.000245086203551127,0.0019781916217219164,0.0007665919083215915,0.00016768247598875812,0.00015332852567995304,0.0032853322710245953,0.00013679796502514868,0.00027082743361084484
G17,0.003202846304559508,0.004353991700705505,0.0,0.010563686038846127,0.0,0.017296517398013606,0.0014883247294698058,0.006599057353463224,,0.022111843126269758,0.0019208015996126733,0.0,0.0027039539766417118,0.008665519788792398,0.004649264837249424,0.013584181864755554,0.03993218667524318,0.0019241725938328005,0.0028701552962512294,0.010853520715117854,0.005741055847181779,0.008624006241241527,2.490420088939213e-08,0.0009044325369244197,0.0002721676087446163,0.1021143045242316,0.001276927587989854,0.0486942287821045,0.0029874078218050525,0.0042412502350855615,0.00016700713435166464,0.04498188149764239,0.006997567880712137,0.0014426257686481275,0.00021861864292476251,0.0,0.009075628520526902,0.0029726323173549242,0.0,0.00866706628016153,0.010457236967561945,0.0071049571568195516,0.01030733194454515,0.012890502312078013,0.006065570475815528,0.019080552332451577,0.009496427417782519,0.02013860979636661,0.02318718057335687,0.0027693619218699646,0.000848087302916616,0.0,0.001090113193829279,0.00313858939217629,0.0010420319441476278,0.003940534217818776,0.003785753344886207,0.0,0.007054293937366544,0.12284700965383694,0.0027742987977656904,0.0018075964746190258,0.01265931505923772,0.0011624600134021324,0.008489439639688654,0.00024358987926483255,0.001900270213657948,0.008557977984117894,4.837613645375165e-08,0.00276915367191515,0.020328597932031265,0.0,0.0036354795978045767,0.0005140092711101784,0.0007915743244913283,0.032277758441618704,0.0012828744030350195,6.722432124947862e-05,0.0041201966153004525,0.0005682304668769738,0.011407602212051341,0.007025768580750355,0.006653313571288787,4.0071440532733573e-08,0.003058495890518215,0.0,0.07499486721630581,0.03974767506957783,0.0019538494602796045,0.012765774073030336,0.007228318752169027,0.009643919609989414,0.0005829671203529449,0.0025869308488474943,0.005415778749680735,0.006004032429687609,0.0,0.028762443147529952,0.00844096777988464,0.0024341579170090184
