,G10,G100,G11,G12,G13,G14,G15,G16,G17,G18,G19,G2,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G3,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G4,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G5,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G6,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G7,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G8,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G9,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G1
G1,0.05311342883809844,0.06794100597493227,0.029374342456079696,0.045179736550237194,0.038128351567697734,0.021138557582454528,0.016215933378099276,0.01949554394891168,0.03539308970234298,0.004406770468012935,0.01590545758983929,0.01611053079051611,0.053534633117046954,6.158261281874087e-05,0.027980240298597164,0.00207984607323368,0.01940647482747555,0.008265066195206307,0.0026011458439643967,0.02601560413501114,0.007175480296037451,0.014371316766008392,0.0025767954177423023,0.0050442551003390505,0.005826661790497279,0.0016496395649745587,0.02221063772473222,0.047651962074881433,0.03784387654628965,0.0059241524733314,0.032043173578449255,0.006749818048884106,0.04399778898337756,0.003496755691315698,0.01483604662964869,0.015353610630717985,0.009054970878021837,0.010723657068139762,0.04121436506515488,0.005012473910329088,0.0009236164985771277,0.029049254822678835,0.01889258242726169,0.019058054356130394,0.013157131654736488,0.004468611824014461,0.003407297078412585,0.013446449771843373,0.009909682214530209,0.04936785769132346,0.041718015194578295,0.01704050046693211,0.01438626146149443,0.008761355933382457,0.02644519129985571,0.02163791911354646,0.0019326224841380063,0.007919974511076655,0.009880750996680551,0.02698514974576726,0.030769636943645606,0.02940603659247868,0.025266967673044025,0.0018527141054611946,0.023189156339510547,0.009076637234011257,0.04034714634911524,0.016952355771049366,0.055965448291079065,0.017372682695821436,0.007562366091708548,0.009603123535117214,0.030809883214949853,0.014868073667173173,0.02175138731145504,0.01230382264050536,0.02180577054329144,0.03123087024269458,0.005156447329515026,0.009433203974716345,0.025201081809631883,0.0685977390764382,0.018455512929165717,0.034132940168594944,0.018563488557636957,0.011655756646474074,0.02300553861361348,0.027915091874783735,0.0020393638848053876,0.07026587032664333,0.016662270489139014,0.01797990742190304,0.006527226841615802,0.0242390404398616,0.00801958202495772,0.02779011389016587,0.02636556853347979,0.039482392023268136,0.015003744139718356,
G10,,0.01126632049839537,0.0048139797878128335,0.03203594409840654,0.006022570231847944,0.0013246285100153741,0.03352410028471777,0.0061948487099686795,0.0196593150526668,0.0007400387781140604,0.003121709421767257,0.0029875127814839725,0.0071022706129564624,0.00932939341454177,0.0019605997612775856,0.001193628877551166,0.02830095197807451,0.014736511650466962,0.002935117218831445,0.0036336359956654638,0.014718434756737607,0.012259498136141092,0.01058074745390129,0.014905337072816726,0.0019953123330050553,0.000664589032471003,0.00298564484342248,0.016881549208092164,0.0033989754595185654,0.023926973956811117,0.030535414116097025,0.009252517997167762,0.015693729865893558,0.011749415819221974,0.0011015155001487449,0.017810418524759054,0.0038476393190369383,0.0038274755664926973,0.004371247337843018,0.0037125134147363717,0.03270066894698067,0.016082178219232437,0.02037972601587684,0.014468150008055132,0.003716014762385966,0.0007627918384307301,0.002647647354956182,0.0053043690113277085,0.014664603802447903,0.005299360249070648,0.0016246204253208695,0.0004573734020630509,0.004516447672796758,0.031044297588424783,0.011822780152085207,0.010523948967405636,0.01729309595214672,0.01848348557362103,0.010794386383974166,0.00972414319557611,0.0030300226265456394,0.021616464823225306,0.00424384260253485,0.00782183702692772,0.014487551531846006,0.007722789264909357,0.0160341764094243,0.010599602684490061,0.005543614156141192,0.00844418657638149,0.00539072218138179,0.007444791908979197,0.006937862093430282,0.006577840086835121,0.008026790290709684,0.011200777244449149,0.0017549749512720575,0.030571216629922526,0.005146717356827718,0.030193290897346924,0.008498284442573044,0.013504814934589542,0.00686936810602438,9.34928204099069e-05,0.005780583425373571,0.013399497040290335,0.006150583575803778,0.010165482737893534,0.0027094879460820157,0.004218642982439835,0.0065239537531531985,0.0016773273465795424,0.005632197938412621,0.007151635284494211,0.002710852421934934,0.0011958901014188957,0.010661802389422787,0.00477219086487585,0.0017968123002399354,0.02573498517361134
G100,0.05887915020579948,,0.03493502747400848,0.06136957302282076,0.05261267391827563,0.04032213889444945,0.022448554326499105,0.005897695904646243,0.04811998282552088,0.026273213510211287,0.020381284245667323,0.03459279467638941,0.027594529293301584,0.009791759743088813,0.03300398911576395,0.02488251822776077,0.025589894518844067,0.027323349109728844,0.039637440148409586,0.006619130557295781,0.028780870849500484,0.059056815351549254,0.08354270997689582,0.01637319524883774,0.0748049121516737,0.04914922249092841,0.06279297608370085,0.08067344847110838,0.018213640051933502,0.0609698575404924,0.0982785694967493,0.015970432354945725,0.005910474713547359,0.012042454796129514,0.010932808051805736,0.0036264516633718775,0.024515755515895514,0.04760386666817158,0.019715224813617403,0.06480817184510203,0.023404213640629203,0.09037849216132242,0.024372064852952388,0.017261201480347044,0.0014395459942919304,0.034618311471563495,0.034378546537288945,0.0032160024551694567,0.050085463802273335,0.018621269304761594,0.010348447246899982,0.03200702995351839,0.018668426293547938,0.033982645462437955,0.0068002640168039405,0.2639843128993042,0.018959174115308265,0.005517217849712363,0.04490360362498125,0.023683732654261914,0.022375152143808905,0.03209178644388823,0.01733094864864152,0.0706957450017233,0.07429860346343085,0.0060550573610524926,0.052895792502706436,0.0008863959310743755,0.009554569497956687,0.04107134171733424,0.021090483934676805,0.00873067401394971,0.027594403535870067,0.019607509405206523,0.04360289194762029,0.010339428544028256,0.08353133302709144,0.123222186037069,0.045167209045968104,0.008237948391354855,0.021102760060159008,0.10159109710439608,0.0600854467596324,0.03611898709266191,0.016992733427034994,0.0007326988914607969,0.004016700466445382,0.017099528809146437,0.056436058491788565,0.10587290647265869,0.04925271667439857,0.009647128550335608,0.004145501664677019,0.04975724801170324,0.005581361157339732,0.05986407690301818,0.06717537365113771,0.013263780376483004,0.03959543018251699,0.12281093747608382
G11,0.00021701937146827554,0.00037391322301658477,,0.00020139437208799047,5.7052515037807875e-06,0.000367409730576156,0.00012709907196872033,0.00017726122215036194,0.0003895701647911078,0.0005227394600251999,0.0007012267703386131,0.00022242935487183787,0.0002268119354999165,0.00028649606544599564,0.00011719099475361202,0.00012866227189796878,0.0004967439141303788,5.88418831757779e-05,0.00033620534418151197,5.819097200049784e-05,0.00044840966271106076,0.000591063020289239,0.00010053118909086997,0.0002262349951901574,0.0002343765122112229,0.0004922388481128899,0.0004889747459622698,0.0001284850712424001,0.0006438972276532138,0.0003226589954607136,0.0005893873633708928,0.0002168554448551405,0.0006594712321601194,8.342990011529781e-05,0.00043025029801085007,0.00016666556136459717,0.0001410365012685457,0.0001390140026437404,0.0003541448555426901,0.00035728332077319144,0.0007926565999035747,0.00040559314563718676,0.0003530947600520666,0.00029817204637970734,0.0003723800119586004,0.00016834875922159813,0.00036185514269595283,5.731290482377059e-05,0.0005224710880887911,0.00010044654960967942,0.000279470835067681,0.0002453355090359247,0.000880832306802216,0.0001144358531249865,0.00012391066054334878,1.6749142517438167e-05,0.0003452574281710684,0.00021410626317847322,0.0003046000150723938,8.242495301978682e-05,0.00020719137368021895,0.00035923517124511657,0.00014401927701701448,8.990426174998421e-05,0.00021156093493764525,7.850294121844657e-05,0.00040032268481964646,0.00033732503153720446,0.0008936521931578224,0.0008613306161788666,0.0008509990795972905,0.0001988328188594159,0.00033038643341567575,0.00010899392932931613,0.000551196692892312,0.0002992495388304409,0.001126994852380665,0.00037592897172614224,0.0006188505230706845,0.00043909420308495744,0.0004206959430807489,4.130234441776959e-05,0.00019372059446332764,0.0001954191084375471,0.0005862909000854685,0.0001887669791978475,0.00042606381744253273,0.0006818720432889309,0.000568595956988904,0.00023062517058763344,0.0004720288594830359,0.0005262704587261078,0.0012449726385609658,0.0007577665940036116,0.000519692862858337,0.0005462443164008005,9.092085696085466e-05,0.0003439894992000507,0.0008482728172899013,0.0006017628001549196
G12,0.096362174917161,0.05686224554301823,0.004246350259883754,,0.05249137465854253,0.03376065530027239,0.02550864434383765,0.00923528538905089,0.02199171486243968,0.03641547054084797,6.587721002151493e-06,0.013375049026427126,0.027708346307986374,0.012575698073363667,0.0161471768798488,0.04941048208342877,0.07182366037295485,0.009814882102503438,0.012378413793166206,0.017928756297762437,0.009476538033002076,0.027862926225079115,0.06679242042205653,0.0033393680813504456,0.11336860304039281,0.004251707311906331,0.04616395961107187,0.253492684660412,0.02482292528698264,0.022808345896987717,0.0072027178208535735,0.0048750700579136145,0.04224356276832042,0.0012089435643752137,0.02419689489771243,0.019121058815214018,0.01433160511552349,0.027882037042191696,0.03270960598104432,0.0005825398619678363,0.04293763793159441,0.008775589800605374,0.002235316320001563,0.009992733118923321,0.011090335711760253,0.0073841430674745955,0.03678113916632676,0.014986536716138947,0.008915381944254995,0.06876788410515114,0.008546405498559697,0.021701372664574347,0.018125335121750345,0.05154444269931929,0.015445671429040134,0.008373573272783997,0.0005279935095288212,0.002433514974398834,0.0783661158404013,0.032172292056682227,0.07001161035442915,0.01774172410627301,0.04877105929120929,0.005123726754374411,0.022584588410500126,0.052760336610227034,0.07246556470713843,0.028499144791387328,0.012655261877808046,0.014357091278911528,0.021059016607891085,0.03279792405128888,0.01843967205323123,0.02621995018791912,0.038308922548483455,0.021539416148174687,0.019584370579027843,0.10448492833014766,0.021072214473419382,0.038611909288191366,0.01890052458039776,0.025275487395667526,0.005773211904620382,0.01983841984310046,0.03801087230763885,0.01194040597343855,0.012792858327328942,0.0031612618529412153,0.06265714391897516,0.06750822290303632,0.02960444711755276,0.017550837938408604,0.02751259792206301,0.033525452479541945,0.005065418715422587,0.0625971430165484,0.008444546276242117,0.014627360564082308,0.010978592913927696,0.05014520833837226
G13,0.028166879863362533,0.038360759587635164,0.018447126980986245,0.05240449344537532,,0.3616688688161141,0.011016401192781501,0.029442490602260573,0.04584269995959935,0.033371917499078384,0.012236622928873534,0.08064054789132336,0.005723447981664376,0.03213496621014862,0.0405500512994319,0.011321352256463373,0.019126553151661722,0.04794706686322287,0.03521207345042186,0.005991013638292828,0.007746944831874209,0.03546971953297075,0.005747253900076774,0.016423967453459712,0.02876606253752579,0.034644011041801676,0.013398332839167477,0.08747000311332255,0.014938033587835539,0.08100129791383717,0.02005426843430833,0.005399432847558377,0.03418479328102681,0.008156996827868399,0.02285543412443265,0.055135448161127684,0.04647089136365136,0.0041169515583177885,0.024127389408145187,0.053288557891631394,0.04328148883644699,0.002764995210571568,0.06492116492564103,0.01668017564229087,0.023897976114971985,0.04498826003460993,0.011220880638133722,0.014481848340998124,0.03933686641899671,0.009235522006061408,0.006624439896128325,0.00705915526664478,0.006601758434520559,0.01372313527400825,0.06693987578193816,0.03397887834153091,0.004812392407494277,0.0679803929698038,0.05186567949991225,0.07751364507940695,0.01762365270602614,0.019057348448196655,0.027287927389423042,0.023241409772368812,0.010694745703172033,0.07709905035931341,0.006090007470987563,0.015725819530598005,0.0559458568658996,0.020037170901957474,0.01956653296355808,0.08449684290785586,0.018310361847303735,0.04114371687569001,0.007964542904596611,0.02197515184330686,0.046817068484524146,0.03814671202442162,0.06956067019399796,0.0444288769153843,0.033432213346256186,0.022460087124620248,0.02777940944450581,0.02077330013563399,0.004527296175704316,0.006194296025724284,0.05980492536421846,0.01685968141818034,0.029268158468444556,0.05161003873870505,0.07402941831991518,0.03928327930930524,0.016543846466566328,0.03360643298222301,0.017107996215067776,0.016898739333696382,0.027344380688191144,0.038972735956325555,0.04328274481300809,0.06526928687152611
G14,0.018269009739295274,0.04658722624634021,0.07118897583473852,0.03192122363820272,0.4104444556649163,,0.03378705108160696,0.01767336556333684,0.007274752698739843,0.004432812743834946,0.02107107391783556,0.045621412866927925,0.031501456983377946,0.01477234402307178,0.07204269627288416,0.026592355310914806,0.07696032717891015,0.021005836314964776,0.03188901344412047,0.012828466677433096,0.020362116339418024,0.03628303335293964,0.041815673736404976,0.042589441162381086,0.014263963666090174,0.017580160506347593,0.06350094435550419,0.020158305804309315,0.0851584755827757,0.06471239719581354,0.004350626085467192,0.04968215711392278,0.034087908925891065,0.006438662373278881,0.03465347166738304,0.05467378082789751,0.04537320293726389,0.0024838596369534524,0.008624027456567776,0.06962581594305592,0.07854509960554154,0.07701908388403683,0.004944712562532122,0.0073201861323033135,0.03869058973432686,0.03531875755380364,0.013324668438322716,0.049758594444712964,0.035934158590238977,0.02622695039619795,0.05281677789767172,0.004142439353178512,0.005963215182271733,0.02853908226598769,0.007275747822421113,0.06821488651042007,0.017563947502521333,0.07699025762640921,0.05573583286661207,0.022614264678340726,0.0013615472853819588,0.025106008986009697,0.03471690502198624,0.08685058364704351,0.0687993142522485,0.010708126520205752,0.0017782562453080158,0.015555026637932165,0.04765896712598724,0.02069745022553167,0.04897870773017442,0.04395953336108444,0.012345558586768834,0.05911266824724256,0.06314943220264756,0.09791505580093926,0.004054096444723352,0.029137783369759473,0.031959002502820466,0.09783050689474883,0.131862371213614,0.011288432842555526,0.07332739948425676,0.05721007679278975,0.06909394017140373,0.022876724227426197,0.06623781617789827,0.014751783838830556,0.01871647014514054,0.036751074528367976,0.015875342304459788,0.013582783037763089,0.021820579244122645,0.006530773409800274,0.02685439525521378,0.012167848351726462,0.06977418604701952,0.0067135768943713675,0.13012688200398384,0.014167716162802622
G15,0.016746482390670316,0.0032114824071121715,0.0018875551192916028,0.0016879854375276314,0.0021738024209707763,0.00041631634128313437,,0.003143241621810855,0.0054259607283388845,0.006199748779489922,0.0002962809671899538,0.011556442583295846,0.01594918305128803,0.001008131113451276,0.010766250010414412,0.007104272845120584,0.002206644877735495,0.0040167509509362615,0.0007618844919677648,0.005066305321966948,0.004586614078421785,0.0010527686724545557,0.003910807108364204,0.0023639385432741625,0.02036966855920276,0.003893350543519245,0.007297696244140692,0.001973877410956685,0.006723152119437076,0.00889016452361497,0.0027875962700646215,0.00041145122138374506,0.007521480783546434,0.0038079471723561913,0.0023393037461340613,0.006149986897915026,0.005417855225918058,0.010803425029965535,0.004128568774850734,0.003484827731529599,0.007795779427147541,0.010241817846469088,0.010642116318051285,0.010642699365682882,0.0032903030399337864,0.011808738996012251,0.007914076603858877,0.013820833806493512,0.005221276802213727,0.00010927497679453496,0.001961282043100431,0.008715733978600917,0.0008154594922816816,0.004911153728279758,0.009298061535116536,0.003983198687182445,0.003589151858759585,0.0045006574614949255,0.004816091941386807,0.0032865727197987802,0.002680666499390062,0.0035335718640682866,0.01303097036744011,0.002222121966107154,0.004944105976983973,0.004962482099116764,0.007384929076648759,0.0036906158003325463,0.0013044777669120448,0.010297186706088923,0.004513225674524334,0.009553151128926969,0.0010446522268998742,0.00358102837703837,0.002597777090864206,0.0057794691127984734,0.0052222244882008705,0.0035904075429260317,0.0041811065131290405,0.0027307299530995427,0.009729080234057972,0.0016859709823650595,0.00434773535037879,0.0004888338107273285,0.0011237410330932017,0.004877937706121105,0.0025740181776672715,0.005279097480435789,0.006059021788189519,0.002516380336603151,0.0051153830778803075,0.004193224529664015,0.004137970165953144,0.0007972725506368194,0.0002857087834871772,0.0006477230798092015,0.004534897779815828,0.013337708104412784,0.001172845073744809,0.005523253814809919
G16,0.0056217848278168605,0.003087907090943334,0.0016732061174964162,0.004881919213557772,0.007305171844843573,0.003816082488976334,0.0058843618442880295,,0.00689296450944984,0.018313626142183227,0.005138720669832536,0.0045788409762541815,0.004751021850088409,0.0049687317125373855,0.01610304474238332,0.007151850238920373,0.01654733530771009,0.009175240087510908,0.007418276251088886,0.004911292125630422,0.0031298705381025836,0.016598109158365543,0.0010615462136266867,0.003499261472348933,0.005698052344240665,0.017291334075147807,0.018815981566284556,0.007512842481590111,0.005388815816193799,0.006007649929639027,0.002724528896229436,0.01113416946838431,0.012925421143068817,0.0008337602184592455,0.0013792324506985635,0.01371143140661972,0.00487817371601941,0.007643451187500725,0.004334238313605912,0.02075861214427868,0.012291035381686216,0.008927820236390509,0.001919482380876092,0.014064555640595224,0.017067491539797575,0.01706669970770579,0.01839189045460108,0.009407922498795553,0.010610020209539528,0.012485163868189675,0.0021633523767613694,0.016138434849933984,0.01420575110918227,0.002514770493367275,0.0024336638357293637,0.009572873932118156,0.015435153794145826,0.00951243554626185,0.011792602775297138,0.0025806368922408067,0.01647065280241237,0.006737954708971337,0.008765557908490226,0.004366814182367417,0.016136144664781738,0.01614899055831454,0.011289755135471365,0.0017678620047793397,0.01336828471701285,0.004527793930496076,0.005364855911187279,0.01716750736456299,0.008368967593714482,0.013192943020468343,0.013098972779337833,0.01207964647564204,0.00368747536397365,0.004801991319966829,0.000685504075922076,0.011721080923029826,0.0011522694160494241,0.0026741427242167,0.029043210944089022,0.0018136005798911289,0.009697478115281575,0.009918574306297966,0.0046042319463984365,0.003091318699117231,0.027748386899523574,0.00596502559522527,0.012357660978522459,0.02910421773371129,0.003782072527501844,1.6531555697200896e-05,0.006526647606914888,0.0059937222667588415,0.01468889058335265,0.021308882776727753,0.01181750814057342,0.0109959258458177
G17,0.016228043372851445,0.016090157142380608,0.007222037508942373,0.0073602624194198845,0.011887223580736165,0.0051647203888363115,0.008355036251555068,0.006467037151109353,,0.012199762415593295,0.0064812051339655265,0.002535242009042839,0.005287294004245102,0.013055715354396195,0.020338364463127118,0.010547310439620722,0.0018359425709836505,0.014116483980940508,0.0038350884844303755,0.011152427278002613,0.006089823239867489,0.004248709264437603,0.010234421243529279,0.009735168597643378,0.006672098860873289,0.00344393151697186,0.013879174316841788,0.010894927445143534,0.0413730132695265,0.0006129037731591878,0.01896216134549547,0.008062523976917592,0.032409388832309344,0.0005339581216422982,0.0055670874768084565,0.014684393876059576,0.0015908144518190772,0.01036628956929212,0.025507548448649397,0.0024151679774640725,0.0018984046723295222,0.008261972147384847,0.005798901748432502,0.005836396029095191,0.011611310602324046,0.005775550521456016,0.006347517117497909,0.0023773038405477914,0.005179201526093058,0.0006053602837825225,0.00911999019289415,0.0063595566536022415,0.006344863800658042,0.007336819267277159,0.010351493990756912,0.005437709370303708,0.010344681577045661,0.013315535907291853,0.010149871954112419,0.012216644073503749,0.007909568283379296,0.0004642073130194411,0.0033725850432077616,0.007261970974504339,0.0009365871831346205,0.0033972952599612186,0.003316713022348657,0.004532323934078375,0.00212209280247608,0.01148159962782618,0.013476705073902008,0.011266684002151004,0.009152037026030492,0.0026956962303946582,0.007620627072431261,0.0023081284632913003,0.0028652616674318373,0.0025442151158109974,0.013897095701410048,0.017325050084735335,0.0006635816013487041,0.015237926368982732,0.0023426187111185316,0.010543672097939645,0.0001981795262618535,0.008046978994927217,0.016244035395473023,0.009013114511368986,0.0018080959732780428,0.0027872524642784174,0.0016160175469137074,0.001719335663507416,0.0011205575106420027,0.014867084966367735,0.00581724880934602,0.0006897894789972022,0.004912843311459316,0.012743377827713266,0.006865092672815609,0.016246803833812485
