,G10,G100,G11,G12,G13,G14,G15,G16,G17,G18,G19,G2,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G3,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G4,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G5,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G6,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G7,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G8,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G9,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G1
G1,0.009559367044411323,0.00828647774042733,0.0051930926848606455,0.005473242686726095,0.014217863121215417,0.01192539365276258,0.009543873154126024,0.03488366590586392,0.011781520763756664,0.00904350478459562,0.007803500405381137,0.014423219165540268,0.009071491765613851,0.006551520018321745,0.01236940864050639,0.006473553844325455,0.010083733182244236,0.008991327138782394,0.013006743675673971,0.009059840850210938,0.008439638294914571,0.007689213694292086,0.0076614483758851324,0.00789141756627078,0.0076754916528576755,0.009776360284264768,0.006177900757417805,0.008868228359260492,0.00429222710254225,0.0049029489013883544,0.0055011820610221815,0.0192068496879168,0.0033862328699116456,0.005710992994789511,0.021707107636118734,0.016396500499926307,0.004241720464892581,0.012471541760557127,0.007196077598688849,0.021601515570766817,0.013311702234939642,0.016225369622605873,0.005427648148421305,0.01595671121376394,0.012670715924806451,0.005954820365289396,0.004947993552004066,0.005398490001431935,0.005069487584923701,0.0053803929921249225,0.008412034829389145,0.007985325666090224,0.01536691799593291,0.010230865632718373,0.021985312754003446,0.00980963361185958,0.0054655202823278215,0.008644027402688798,0.006534554537722146,0.015089317943321235,0.007260110756672358,0.005339141782744584,0.0072393700767399176,0.024460276533048594,0.0078419865910459,0.0028647130211915317,0.0176118671536491,0.013919225949459803,0.006609983580116849,0.007465528879985584,0.011725059717742865,0.009755008297863106,0.02231185514051094,0.00848817640575455,0.0077454826494188726,0.016337781123231768,0.006064025882547444,0.00456875428712689,0.005488194276949387,0.015905893947533254,0.011598081830853611,0.006819399496871805,0.0025651135997489744,0.0035896190163684795,0.0118689013881376,0.014508415653448426,0.007087137225698842,0.00634493330855624,0.014194901406155133,0.018890369801438493,0.019209730399632908,0.0035497817120388364,0.008452124539267965,0.005133524967529718,0.021105384389468365,0.0059525112032503555,0.004158582786355569,0.011732874129543098,0.005832398436906917,
G10,,0.011453182753116135,0.005775161874363309,0.017426515557651925,0.005352946823252931,0.002919494584348311,0.01249783025685006,0.006095832084531696,0.00712897650661706,0.004057473550117508,0.009220998044570458,0.011303620957141167,0.005685971844230668,0.011713105312078817,0.013627616057066212,0.011585889304086041,0.006178305554517845,0.010286686744771173,0.013448715696504378,0.0726669862983211,0.006316873919095134,0.006934700336545052,0.0066162923562333555,0.006689059569328967,0.0075660750930009995,0.009219273050100982,0.00460624770393496,0.007343147206909244,0.010710913179550682,0.010729029875082492,0.00785847111802386,0.007486701985175469,0.013204656770076364,0.0038232010532920223,0.0074665688427135,0.007063207215146016,0.03446079661412934,0.0066140647732507015,0.005558124342853592,0.01523541563275322,0.013695930541846793,0.009324232936678388,0.009747059118330662,0.005988138565899504,0.006343229030564185,0.0064805735094386205,0.0029718119791782966,0.0093781470318136,0.01608023134167763,0.006905393908523245,0.010148214908613944,0.003923044558292193,0.029491459821237263,0.006070307568519504,0.0031311231005438215,0.019083863915086385,0.010272603459426807,0.033740562000327746,0.0072540192896150945,0.022608136317925846,0.004848101369228016,0.004521224609899584,0.007169585037722837,0.008858069091749389,0.008912122097812602,0.010464760198189621,0.00578647714340184,0.01353135904494491,0.00947594051773405,0.005680664768855687,0.0034116939251399017,0.0051039739557095076,0.006720561485216213,0.002588720406119031,0.009470950112142029,0.003099672708852237,0.00772325310658272,0.004772774204543832,0.01011788648968529,0.006463347427555576,0.006805036874663604,0.00956986261095311,0.002341175769286044,0.0021862994988951804,0.004531379469727775,0.004140251646734705,0.007401645656741068,0.014191450586588843,0.007576717721520454,0.08556894916728637,0.0025492976622606815,0.006842671683181161,0.004094497691728902,0.0031202161162284902,0.015291316836928116,0.006641799960188431,0.005505601348429626,0.00674407694821137,0.004681544570465487,0.004928857134023655
G100,0.01527475673256238,,0.012879958445611442,0.0069198404177032834,0.015764663939413375,0.008476658142476293,0.005622439910389902,0.005600408121561128,0.004985468252252488,0.007311250738856385,0.010085991186966412,0.006150930734181929,0.00939574209690243,0.009091078032889681,0.01847517460628849,0.0057062401670252925,0.0059815962747997685,0.024619551370741063,0.010920238589104929,0.018784684215010176,0.011603346488421422,0.013833326759547248,0.005452445462199479,0.008743607908906114,0.012482700633165223,0.0013382804177596848,0.01602432722610861,0.01177430741174203,0.008439406296862116,0.01609493804153931,0.009075989783368746,0.023704356400616456,0.02409010037624661,0.006587957314121685,0.012690522748099632,0.007852457802696923,0.00968278980530924,0.009730133539557009,0.0077973945455306875,0.011418811244689117,0.010688857298519061,0.0064913290633535955,0.00834359195171817,0.007348181357833222,0.008287699968289024,0.003767071228519142,0.0055531875173228185,0.006947698576941541,0.006086348717791412,0.005480128534404213,0.009162203794358214,0.020961711584423854,0.005563335158597548,0.0080868868889549,0.010504356549117248,0.00842970687693557,0.003406138153095526,0.01947889400066128,0.007183005085985386,0.013945656164052356,0.006614095568618622,0.008288569376142339,0.005693055171189597,0.007056430279328806,0.012401819880096563,0.007726844521169143,0.004696233704375772,0.01672583901962065,0.014677480599658177,0.00762402155820099,0.018425942281933966,0.004129053339101276,0.0077572971352231875,0.03754826821190563,0.011661548828079182,0.008140115342840818,0.008840076210733105,0.0053114978202462365,0.003397818211568857,0.006670493039046972,0.009637165315908565,0.006423573565971404,0.009303022670672534,0.004189921095120251,0.008596187478993931,0.005155802774333692,0.012277465055779395,0.007302862964638866,0.009195527076050848,0.0173049563334948,0.00793815677697661,0.010764712668564222,0.011896294130997295,0.005078818410836805,0.022206237261419903,0.00675187032426892,0.008057881827156273,0.010000967889452745,0.012059223263147158,0.006292992365037749
G11,0.008013435672099192,0.022916132537564138,,0.012072707088494831,0.009213505064136776,0.024533471319966704,0.004856892126104828,0.009955058178666864,0.025860505093619264,0.018306755079315985,0.005285962566427299,0.0027808214985943435,0.005371902242705903,0.006668230578681934,0.006702328664640149,0.012533739966677736,0.0049295317628865005,0.00866127597894703,0.012641798663165844,0.021970652888835474,0.006160069455771409,0.01167590647387543,0.008161105412585277,0.008308793905164267,0.006947142378497584,0.008311954451782585,0.007331047506455278,0.00700956016812971,0.004607058476136089,0.00776204384834581,0.0056599853515202445,0.006143839669288419,0.009623588304805725,0.008873523002392561,0.00953110180923932,0.004900197369959139,0.010715701673691687,0.009730347601547042,0.0053296512347625075,0.008215637000169584,0.014917092979486004,0.006677968529572198,0.0030611536854390606,0.008121258788833553,0.009648308665126079,0.005716020960021768,0.008656393814267452,0.0071274291777464645,0.004851979807063393,0.01679895702718623,0.008212141009224383,0.00581756606209795,0.0055848818810517184,0.004364368978676462,0.005131489958962194,0.01067396961669643,0.02853169532514471,0.0050749311118901165,0.009239436660028003,0.012346194320852282,0.005609119638055604,0.006897747808841111,0.005728855902962702,0.01016912444187889,0.004662465895785929,0.0040299848562897365,0.01852576366929181,0.01691733640786958,0.014751411693907758,0.010676905204246353,0.011407551316402817,0.011578652805090645,0.005463529502154053,0.010776764897985744,0.008522133055245101,0.015070065234945607,0.013897713296544097,0.036453198881198745,0.003787048858584929,0.021642250610484227,0.014244884713536476,0.00564416444057917,0.005459921837690397,0.0035696800698535483,0.007051360883272644,0.0064667520454340394,0.009248684253489415,0.007886883267385826,0.0071835402263660765,0.009372291675961604,0.003740045617248014,0.0065926369657541535,0.006586660093574476,0.008960198008866523,0.013685410416111442,0.005725420100654238,0.007019284766699339,0.06424278819597107,0.007351276617842695,0.00457429140092658
G12,0.00724536279433688,0.0037239095606737636,0.004983664598113586,,0.005871148796812467,0.0033850816287583885,0.003413786001045721,0.007312722401947181,0.0020520458749519158,0.0013172176201212886,0.004347230597750215,0.0029069634228718394,0.0038281383251123867,0.005261675706724036,0.002346878542900244,0.004421875081505246,0.0030807954542178798,0.004196034243891259,0.0015307323422399607,0.014386676604710704,0.0044634808558037435,0.006633914521594131,0.003367010203821061,0.0032869248935941306,0.004216574374626957,0.002569519385301853,0.0030760751240027024,0.0009219035317751868,0.004363318307349422,0.007044283964622019,0.004158941119304115,0.003250181223196587,0.002739808438751271,0.005826724997583081,0.003464411156907931,0.0038674362646855484,0.0017586843582316815,0.003972562203578004,0.003732098190604179,0.005677978846132507,0.003402694033538975,0.003523671483455561,0.00499878344534461,0.0036218941403425844,0.008085654216432156,0.005400930698995136,0.0032798758630648616,0.005807115298329423,0.0014143910040124274,0.007395478426410565,0.0022124649868009707,0.001696535760401293,0.0028820565515616896,0.0030961017724258234,0.005266453068782595,0.0031078693251445203,0.004547887582256817,0.0023112895200887726,0.0011013748774394594,0.006228761842664828,0.003248933698216437,0.005207517991181416,0.0025408758917922956,0.003716094951892622,0.005881573508586507,0.0052174270279356704,0.009991035225482106,0.003310055731818148,0.0037465714843097184,0.0070854233248987,0.007097169929164797,0.004223011645803001,0.0030062771435523097,0.0027981203250150963,0.0022320248324613394,0.004974781760287725,0.009077929481147945,0.6046588885208272,0.006979448222958608,0.0049767587345624625,0.003373700922705658,0.004591452151247432,0.0008031997160905153,0.001540772281061977,0.004308911529062968,0.006169341329136476,0.0017663217020854266,0.002822791493138,0.006701630677170212,0.0042701878125447484,0.002545272811007123,0.0019714273355917367,0.00250491217491698,0.0013855196627959865,0.003041687011134436,0.002313143926156399,0.002057436714442828,0.0012287666796711896,0.001989851458086094,0.0012586977224157468
G13,0.005547605383650081,0.010088366262927919,0.009212879970938047,0.007310316909017428,,0.004113470829141613,0.029670372248275248,0.00534837297547974,0.007958885704724004,0.005883327750110676,0.008108909635543813,0.034927544886646546,0.00979729349842578,0.00904040130869113,0.042566784489687634,0.006544509570012022,0.007896359672556152,0.013827201694440693,0.007447751997976458,0.00745060273953878,0.010703135223076286,0.004649046708886935,0.006405961036170722,0.005880556334504078,0.006541700904138379,0.0027488917706919524,0.010679353661160837,0.01503311577273725,0.010310683133810483,0.008259180008701189,0.011041006489488202,0.010721663503948035,0.008973734329695086,0.008122359831687916,0.008762130400852065,0.0038428607304482163,0.005638674567480855,0.02940125499139923,0.04731107904348687,0.005779521331061998,0.005696970737806039,0.053991182773880125,0.009788360507943824,0.0071874452972160805,0.01909162178743392,0.0056067138217131204,0.00801432846195077,0.010887904704003533,0.003614626238872615,0.015762192495410585,0.004112208333324525,0.00449149876468766,0.004504015325860872,0.004439165740890693,0.00835858096538244,0.006374244066876249,0.006244740664993616,0.007873032946784767,0.005341394949176838,0.006612755728809451,0.01244745498227217,0.013901006383432342,0.008413194332645218,0.017881000498375675,0.017944097566997916,0.0030898573113209518,0.007977537371898939,0.007886811701760156,0.007044811128248955,0.013546631758451258,0.01407261529714152,0.003090813683871725,0.0040240789068602895,0.0046405026881796325,0.009205393313056075,0.011385210441897057,0.0059592748132796325,0.008237269626091764,0.005830011605513005,0.005340194494204036,0.007188071530883954,0.005552598730131207,0.003753135594105024,0.00444808414161409,0.00764361990258419,0.02183698040113138,0.004538413111664748,0.006408965392336767,0.00748880737168193,0.0043254721695758286,0.005578131343608145,0.006081024730255847,0.008025213564895701,0.0042776562963777855,0.0068051008311393055,0.005050630539329399,0.02556709118694342,0.007384868812741944,0.014144730757036168,0.010443784072236931
G14,0.00831951546925392,0.004257006457981576,0.008647553986101265,0.007149598898772171,0.004964468698380259,,0.017427445172585078,0.0031730526329035126,0.003765972166147416,0.007549949758267057,0.007990088992412395,0.0028341853576478483,0.0030020319827124557,0.009084182147543883,0.01578196710149855,0.004629396683696267,0.003717224764231869,0.0031449153220077858,0.004959263902114673,0.009159381225609869,0.0024653327683547203,0.002536821917904877,0.0019508338522405825,0.0021754012331255674,0.004680548863938925,0.0044811787084829075,0.006115877802550442,0.0019452514175885588,0.006840019345121879,0.007912742197344134,0.010169902141862341,0.000992453046473768,0.004963325028373625,0.0046653526530175135,0.03483518704972457,0.00434821434354749,0.0030041422395184463,0.011194067872110896,0.012040136951952291,0.0074823781758763365,0.005528538513024036,0.007713642802116012,0.0029563720321743965,0.002275833107647354,0.0044347019108097055,0.002411343776400338,0.0042270618348880145,0.14928494183927998,0.0062368599134577625,0.10125536517856629,0.0035747966828584003,0.046382907592963145,0.042285522356085375,0.004341148389600955,0.0026515045951609802,0.010029949469606511,0.0035753540603430745,0.004770362430857573,0.0024875896335607274,0.002380945180224381,0.0033182741667567624,0.0036854664517852144,0.003474365572940643,0.0047323423684772934,0.004949163506061943,0.0020884413883912743,0.002714904080420609,0.0029049399496346457,0.0017098765982424251,0.0020870224011432,0.011236895204552875,0.0026505461167107176,0.003813970794465172,0.08776267561913413,0.004546255070486928,0.011301531482652219,0.0032328833586173764,0.012754597012690478,0.006766596858112495,0.0018274732850583418,0.003566840489518764,0.013349041234475683,0.002356367016119491,0.002277334816406909,0.0014674692881470883,0.0035310105541249827,0.0014201605926456905,0.005800501006472027,0.0060347250679800455,0.0023205305345218308,0.008693221317592963,0.0026786536588346644,0.0010079489369525273,0.004732101164389905,0.0030203408853867754,0.07124517935810389,0.0059196519584297416,0.0036795557394316623,0.001961642658085294,0.004218392807442626
G15,0.004382881645492081,0.004730674305050577,0.007607868994778337,0.007523562253945572,0.01306691089781711,0.047147307505627546,,0.005612115840810313,0.003414228218361134,0.0058575068840134034,0.003334860247681102,0.07112391555611258,0.004112948668065144,0.005947240621535635,0.1897441042096903,0.009629095526296724,0.010496984422904837,0.006343580076408266,0.005055422449601705,0.009370641066072459,0.004843165583767188,0.005448126906634478,0.011533097214478562,0.0038859201255226775,0.006325035102221097,0.0019801919870472647,0.0036367379590541214,0.008751421346941424,0.011954890254879454,0.0354276779695765,0.0035079985415075498,0.05023426977006081,0.005388729639641321,0.004319483260616524,0.00727678602120471,0.00866099322308698,0.0042009948925487185,0.006944667744324013,0.0034503037503622923,0.0035526197425241523,0.001878685351821009,0.0037308677499488982,0.0022338215207769454,0.008865086083402427,0.008115236855240578,0.002241843699304454,0.006234850063482959,0.010247033892126623,0.0029664142950968264,0.018253231009438813,0.015514325650837787,0.010356853158568635,0.006255640082939423,0.008113907333246668,0.005873678255360184,0.0040562143176650816,0.0024342752920209483,0.002139064973350174,0.005417086319300039,0.0021126202870317998,0.0026208223117632277,0.003699495286138648,0.0058007453213499115,0.006375254330325159,0.006927030830533671,0.003558490502219401,0.008715319668305714,0.0037968824874905502,0.01066471041825765,0.003526901800674804,0.003433738294752292,0.00685054468545611,0.0047758796108657185,0.011955596286259777,0.0017630800193880985,0.006466880970592401,0.005544222374628745,0.003941719426124966,0.010462720582234646,0.016202723978569925,0.005300602270465406,0.014563572497179668,0.002384204271268758,0.0028703683199113586,0.004170649500124696,0.0024020971242479133,0.003215550312202694,0.009591685196333867,0.01644941365019029,0.008082325434463867,0.010878075022878258,0.004994558629773654,0.0036495001372662283,0.008019078132636807,0.00914569884657759,0.004340475834060194,0.006859188497157662,0.008126616373002268,0.009100979144782348,0.005906905002320295
G16,0.003850394927856743,0.0043787885008086365,0.004714276098570847,0.007018023402692851,0.01042421301901987,0.003677353600677995,0.009436790786415891,,0.010583261277401657,0.007915850715003165,0.004636229300254252,0.005380641724867754,0.0053473774730824816,0.004927259039288447,0.003881052718332491,0.007917075099074213,0.005956680000860049,0.006762822165569923,0.005174006049495447,0.007759579112452515,0.006161944438039258,0.008284448785419223,0.005535346125567776,0.012918831324754316,0.0051439522761160825,0.005537594020228175,0.005917458064930795,0.004594154601097256,0.004467103868978284,0.003427445099762723,0.008940129827007696,0.020263870405218317,0.0074481973166197375,0.008755711892743387,0.006861326019279048,0.006355143957642202,0.01191160710885645,0.06549440176241766,0.0033862185280265017,0.0031570646784327776,0.007188522178933565,0.0023141256611394325,0.01007776756448856,0.0065068739012401275,0.002960864224762254,0.009345197223981618,0.015093383878004027,0.003980847463474575,0.012981034768878599,0.005073978424891681,0.005255250702088905,0.006968992577628231,0.005291295069831594,0.004917903535901051,0.007979576152156144,0.07269780937809772,0.006696289004922625,0.012517323096992496,0.020763436643405485,0.005543550437689901,0.006513249599674536,0.0037155340962315214,0.005052442110743317,0.02946684275680784,0.005364622499080805,0.006624980227316839,0.0033872821202016535,0.003400649178832088,0.012347481695225144,0.006961824955334867,0.013957121049780544,0.03131577519383105,0.005466840887283031,0.005539570259804498,0.014469254457774052,0.0031007853826407234,0.004617368482839982,0.006277482679683145,0.009452275311427876,0.02141191306548231,0.04617148392842421,0.004396589969091983,0.011080015019089789,0.002973893075375501,0.0077158407195273525,0.011311335555200976,0.015908796717129046,0.004991696676974541,0.006395119226302906,0.05248819668499265,0.010215946283268686,0.006328406745513822,0.010345074663615943,0.00452134919649366,0.007559486039066721,0.017711234288402582,0.006663731669604303,0.003690246965874896,0.005283335976482794,0.01734727758820028
G17,0.01534874222379707,0.0067267441945166205,0.01486763788681502,0.002854490707201683,0.0066765404213526445,0.005506355951273986,0.019752551435510895,0.015511186953419962,,0.01461007119464151,0.003873225152399778,0.02585464846102957,0.00988051416053182,0.011835262354828648,0.01792178714543673,0.004397220862188137,0.003960987925868483,0.04480617195040606,0.015742947527011594,0.031618957220240135,0.0037094059627652658,0.005154930081008889,0.006537519810397495,0.012032345180134416,0.005477044024762758,0.001981467023344048,0.01083911091783263,0.015045157564751437,0.004646329385657581,0.005504671393463379,0.003428223532707085,0.008657876176078652,0.005693342032405358,0.017404158288749697,0.007220900381839739,0.004551397333623553,0.004986211418764039,0.0038451098405130413,0.0031269238208277554,0.0073674828045810405,0.01491069694557679,0.006077196312172069,0.011897599484495926,0.007951138827765332,0.007267760679441776,0.006222687496964281,0.00940415312472651,0.026382853234354096,0.008853502993897233,0.014080789538528626,0.006030963505780417,0.008408865766952362,0.0052332930113183195,0.014549859096810168,0.002476488489609195,0.0033106278970223895,0.007345275313091875,0.019297985957208257,0.01189910961466496,0.01032582401577863,0.0031732365140270634,0.0051067650294800955,0.005892219779928587,0.003645665933622158,0.0034352677286864112,0.00745431303909866,0.008712338591690823,0.005840607869642125,0.005618703459296575,0.0029082672968766808,0.009708416157539573,0.018118039636535063,0.02225039077707327,0.003666835662263309,0.0043572271650723455,0.010120430739751518,0.009035712057196131,0.004534086546068805,0.01148764475707557,0.022935851307733287,0.045179860700444247,0.00847310704210401,0.006553614959626619,0.0049985992667960465,0.0056967770240924165,0.00737226889281303,0.020769207362347594,0.008689252451774786,0.01162802223267943,0.022210089948876233,0.004536359981231074,0.0045862425931410865,0.004956526339916328,0.004946628481203412,0.013549762990758815,0.003943418108696809,0.009992845969881654,0.011277865606319064,0.012272054177924716,0.009483153811877162
