,G10,G100,G11,G12,G13,G14,G15,G16,G17,G18,G19,G2,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G3,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G4,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G5,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G6,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G7,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G8,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G9,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G1
G1,0.02683455208862501,0.04138597120837684,0.003353901603116736,0.014744627745945996,0.010807195562307479,0.008206249571220587,0.00017354171428502431,0.016410251048254037,0.008262163046485776,0.0,0.006661566160428785,0.00168659448355865,0.019343054321795818,0.0011033437939365882,0.03472143067719797,0.006707184953919513,0.0048785722343544415,0.007037582609585856,0.0,0.0008210172345442316,0.003170158885524781,0.002611795990153325,0.003986595121131771,0.010797490820463117,0.0,0.01045977872835167,0.01388598183225005,0.03017517489020957,0.0020356349276287418,0.0,0.004541362084233969,0.001251462900963087,0.007313916273802233,0.0,0.0005580475389500183,0.005217537766423273,0.0,5.7782393310636125e-05,0.01525885057508697,0.008626408962792827,6.265233455754028e-05,0.005388754501461684,0.0,0.0006939132801058857,0.0028668986776291087,0.003422555259802374,0.0,0.0019432003887810605,0.003783006307183671,0.1004000941507111,0.014235747842252617,0.003936590637503933,0.004393528227065468,0.005825593547999978,0.0008509174700615991,0.003696279201806411,0.0021199406638412327,0.006130761680948304,0.0008303758380042887,0.01425656477683806,0.004684980480735075,0.0007115935193848863,0.011896274809069315,0.0018742475119735503,0.00378957777521286,0.0032504768612871817,0.035382111256405356,0.004372646571926991,0.03682539672529139,0.008476373363213338,0.003193707613080322,8.127589632129439e-05,0.0027217984645940916,0.004798036671048415,0.0059643610774767625,0.0,0.003764081345453552,0.028993123088133666,0.013953336922037393,0.000666707607895574,0.005266007819713676,0.03722868080582628,0.004960723655024175,0.005266750193295553,0.0,0.003908726837902455,0.007302860047784792,0.0,0.00031924900701587884,0.16378222781628285,0.025471963712590293,0.0009795336598747376,0.0030113665226359034,0.010340723132094023,0.005736901822635095,0.003439703033348846,0.0,0.036247685799770654,0.0034126340378938737,
G10,,0.00041130481681694945,0.005145436522682338,0.0583292178323565,0.0,0.020876157920830193,0.00300322379155547,0.011384211851346084,0.010176935920390191,0.0,0.0038829453184293893,0.01028206153693635,0.00035079874722936116,0.015375799472554139,0.0027736430568575817,0.02304596699777031,0.021999759758247365,0.004452838194873495,0.0007001891340728141,0.0071118696304292,0.008419998468789545,0.0034021995081579405,0.003077924717422477,0.011858325947929751,0.026263051849311336,0.0037363924860654707,0.005746773567393888,0.0003602370496824849,0.004359758349210436,0.020293378059757988,0.05779160414758308,0.0025286070501138696,0.012952049939280626,0.033514520815216074,0.002142630808868579,0.014763385918544205,0.007981675554211871,0.0,0.00022943052455635918,0.00505442611026959,0.041476341471576264,0.008417113023637573,0.023904041511345057,0.003812581532063222,0.010859287189688292,0.008674976694860524,0.003264753129038926,0.018296178945918378,0.00030775853103580153,0.006727490620959377,0.006860732486734306,0.01224329370730221,0.002921145844479729,0.02394828149162829,0.011745529375646878,0.0011304349804843314,0.02521931214180634,0.007717999310238684,0.006671272315205201,0.003204043396078366,0.009037901099851826,0.005891063795100663,0.0011379785669231644,0.02106487047848345,0.03768841862467472,0.011468697024846626,0.006263273757400762,0.006749975303748295,0.0036055345367780258,0.006360339143422036,0.004612379285473845,0.0017520094326174112,0.004671827937399646,0.0024139253079024925,0.002538501118213272,0.012554262902035236,0.0,0.011541664940039305,0.003729519291746354,0.03495888207956449,0.015832089496065255,0.007626795316449067,0.006241950244479556,0.0017116214818335195,0.0,0.004759034318240003,0.0,0.0,0.0034689109443182945,0.016303271311755612,0.009895902818505624,0.009598329076691225,0.013352077248018632,0.01389630654975356,0.0009082177244406053,0.0,0.006287469273573437,0.0012990731563036952,0.001971978852302411,0.04762464848557681
G100,0.0002384731249182597,,0.0008240679786151061,0.0861828231429606,0.0,0.00014818960272136716,0.0,0.002902558075063055,0.0,0.0,0.0,0.00041423065720276966,0.0,0.0,0.0008270774695627482,0.0,0.0017277040435258481,0.00033429336415155135,0.007462368817916598,0.0,0.0,0.014247905987758698,0.041044631848442606,0.00012103763143885697,0.0013994956869793228,0.0013022743153572117,0.0038257847689321125,0.039733538160194155,0.00012336095924586596,0.0,0.006912100844032237,0.03806156444055985,0.00018175012261531246,0.0019398273878062017,0.0008334968505836337,0.00012953691144146424,0.0019006111472892673,0.0014033084123134282,0.00011902111955703482,0.0,0.002831580276744727,0.25334647486101136,0.004061859522889713,0.0,0.0075406447363648155,0.0,0.0,0.0,0.009126651125004406,0.00024250354376019923,0.0012496424145284836,0.0,0.0,0.0,0.0017971748073626233,0.055770130918623255,0.0,2.3326387071890267e-05,0.023472645326060363,0.0,0.042413586385932844,0.005355806951289087,0.004457410700124281,0.02121902420370456,0.0016101542658543278,0.0001085604561340419,0.0012493700731478615,0.0018805408366599301,0.0021848982084388393,0.03268724409920495,0.02865763356605986,0.000137694585485993,0.0011846391534864747,0.0,0.0007930447828206418,0.0005598886391885683,0.003477381651110484,0.003382226813590598,9.701841447251391e-05,0.0,1.494265097673288e-06,0.11476308178289424,0.03178804624510533,0.00030576068233743306,0.004490522278191651,0.0002517014949496072,0.006159385905410627,0.0,0.0,0.00312568160562704,0.0058855526745082275,7.082857230673799e-05,0.03629028654865385,0.0019922903429516825,0.0,0.0,0.010672302248321731,0.0,0.001057899911386132,0.017885374864945135
G11,0.005161095348063007,0.0045263802720955666,,0.0034256271550125966,0.005198365603674863,0.008084607927234658,0.0014875689283875063,0.011368856521140697,0.00092180426040464,0.005172461890380632,0.02399416025311909,0.0006086838181437018,1.6480345199303334e-05,0.0,0.0,0.03256777240459393,0.00261151026724315,0.0054037477344329125,0.0380354046041619,0.00423477075869394,0.012019580152702535,0.0024667526558091474,0.002831521075098951,0.0,0.0021047052523411307,0.012391008416044033,0.012012748310732447,0.0019156827392371534,0.018574220996097193,0.008015403872320042,0.016593873515707302,0.0026531232398131423,0.012163763187101308,0.0028329008158919917,0.005753042166619289,0.004992072473386624,0.014011950477368963,0.002071687889178751,0.004864995593249215,0.007732387522440911,0.06316335010752455,0.028864075029378027,0.004324346504094727,0.010449317548151503,0.00690943446808021,0.0004545195668004645,0.014948712679693122,0.0035236547359923944,0.0015403789782888872,0.007686883431345308,0.023629479356068624,0.010487787122719841,0.004414193339842468,0.0,0.001944253077138912,0.010989235803175151,0.0012333189197492778,0.01797265865331032,0.006064630274906235,0.0005531487136146639,0.0,0.012064098941695979,0.006795747505057635,0.00223449797782733,0.00507505746464267,0.0051964405029108094,0.004799605985712082,0.009958218996671191,0.01639811090992979,0.031289646420920116,0.06062607671979345,0.011204634865311015,0.0031339765571806446,1.8185510269002883e-05,0.017596254991734808,0.013439964893243492,0.028507052450367918,0.0006094889959251123,0.015919732108597463,0.02794518622511878,0.0073857338251889105,0.005359796571794404,0.0012445192114146765,0.005488151808711732,0.016410337084093316,0.009765292717494748,0.01053223930166771,0.009732189604250133,0.0042821245437344915,0.03369573758232635,0.005843019797997415,0.0,0.0368988091547358,0.0018463059292380193,0.0029015348631339978,0.026434501073612993,0.004927982433977103,0.0017516157970484537,0.014511283177557753,0.010202750746115862
G12,0.006603628319574654,0.0023338206657869814,0.006410557843582398,,0.000440273679479957,0.004367679541790696,0.0,0.0004549414434975374,0.0020256713858112204,0.006448334240662916,1.644267052042318e-05,0.010876405808393627,0.004606997228972143,0.0023192249781673105,0.0008067532948295455,0.0032735798144818986,0.0010407154244777923,0.003418779226099722,0.0,0.00011693866989229368,0.020644778471529963,0.0064678890235078945,0.007903636557074094,0.004826624733294904,0.005556552406243098,0.0,0.011376446509841329,0.4903645814229345,0.02295192678159057,0.004920336535849944,0.00019197386596343658,0.002561863072376858,0.01241155653170958,0.003929439541450662,0.0,0.006723685753036568,0.0026588047195595906,0.0004237983358807835,0.0002873569481096627,0.0029013364339369034,0.0010114681651828324,0.0,0.0,0.006982057358685186,0.0,0.0,0.005639472019095744,0.0018058151381704925,0.003225632202691842,0.0018960116623972121,0.0013762457917916356,0.0033511719717516284,0.0031251548608167493,0.002736852717888655,0.018463060758521787,0.002680308672884501,0.0006931339772424547,0.0018247886791505675,0.006502481918865479,0.002893635373987568,0.0,0.000908752584791461,0.005115251624510226,0.003450547910155297,0.006585687251439338,0.004696563789491082,0.002144460202389737,0.006813561108880452,0.0,0.007050940092578672,0.01058122084521524,0.0004347384795281108,2.302196812597333e-05,0.00738768565843529,0.0023520613421837747,0.0,3.7413176092187546e-06,0.10739120315489087,0.001111441333096032,0.0022246647056445626,0.0017942867660260898,0.003908590952741583,0.0,0.0001385504888186553,0.00316531245851615,0.007001801327903003,0.0,0.0010135479533640265,0.03595542845558031,0.00023248509700391103,0.011428763733569264,0.00130801023482162,0.0019474241988969832,0.008859277333162262,0.004402333723399913,0.003966649398955521,0.0061153437360878735,0.0021076672342135107,0.006672975790067459,0.004835384598870839
G13,0.0010492788450289089,0.0018282729809684121,0.011812586484781982,0.0009789203483560774,,0.64993249659643,0.0018068078241266473,0.0020600349688992266,0.014619003734385076,0.001804885841228386,0.012031879104543657,0.002658641895637904,0.0,0.0021474353233056354,0.008625197496189932,0.0008310217495892199,0.009135136043154411,0.0011202358712779012,0.0011114387835405107,0.00018038994306475548,0.0,0.001828167152881614,0.00223811941136061,0.0005329139668675102,0.001182000063839079,0.009187402826340214,0.0,0.006493336166351229,0.0,0.016841382139832432,0.0,0.0,0.0015541126533118307,0.001631601510641909,0.0016766558121475749,0.012743092649930959,0.003928673001726292,0.001111604066731238,0.003298262605954842,0.002610984523388606,0.007409180490481293,0.002813682358940193,0.009848826400612335,0.00019791278897582487,0.001387596099314863,0.007484261849099052,0.0033844787649313,0.001844594701375904,0.0,0.004051169701936299,0.0029251878490178626,0.0004353693772177864,0.0013198977683708372,0.0020833243731565574,0.0018956158905042292,0.0015436357176751682,0.0022261725328007725,0.009238553282613193,0.0045667813183586075,0.0015373479022648166,0.006355948225265898,0.005589974254383048,0.00054162460162008,0.0005246791887760339,0.0003926168486763483,0.02372183043825834,0.006163285762509442,0.0010626211520173255,0.002767449565671888,0.00011480690952796467,0.0007101070349859982,0.006052275818464638,0.0009909615030091092,0.012284523268365306,0.011458305731701594,0.0007012006817269103,0.0008350543964795532,0.0,0.0015575090319536462,0.012221387926982439,0.00415384447968249,0.0006337543554423017,0.008898908425931645,0.0035209479116644475,0.0014823663903853932,0.0008083495445287422,0.0006321537163094249,0.004150118684595255,0.0,0.002759398862307994,0.008086917772258385,0.0015819615112359936,0.0004792510657064994,0.0004715327783084411,0.00017399480425635074,0.0021868610660371927,0.001027095794691695,0.004127662117828679,0.003867167529334102,0.00012598929565777513
G14,0.0005965555196143081,0.001228993485606126,0.000696469267408466,0.0023696459885989563,0.6743959387613815,,0.002574210265218049,0.0011216777893362552,0.0006574063113092242,0.0002760263653825532,0.0008047086737098847,0.0,9.978525606138695e-05,0.00371569172327333,0.006273243842697279,0.0008813515013887927,0.001353517416431536,0.0018474534106308412,0.0016652709239719805,0.0007512436316598398,0.006104310374920253,0.0013430289452716292,7.651816902522164e-05,0.001753419232581232,0.0,0.0,0.006823113776848918,0.0005517283005457354,0.010182111793345314,0.011540376137743488,0.0,0.005464406160293283,0.0,0.0008418738402693863,0.0,0.031057748315909073,0.0,0.0002771852454024864,0.002013868804652627,0.0029206601446348517,0.0018502229885505336,0.0,0.012611086463566373,0.00630459581235006,0.00829535435363134,0.0016540853833377344,0.0003638655486691522,0.0025632717062351092,0.0,0.0033333868612751764,0.002701743020881752,0.0004156770630936592,9.592573283692644e-05,0.0,0.0018061922137972348,0.0007162602347010732,0.0012082210596278972,0.001997079187574934,0.0006508394907214929,0.005033260406132816,0.0007059072348256401,0.0,0.0006460005612519566,0.017454893299821004,0.0028744432585187767,0.0026240183680541324,0.00323363107048416,0.006334654143135441,0.001908645807355675,0.0047527758580695025,0.0029502220018382897,0.0007324259002870794,0.003062231205871232,0.0018467966529434137,0.015217969312789034,0.002251225553632224,0.0037166500666120593,0.0009528678988676209,0.00028491440136713646,0.004290264106975121,0.025421818665845215,0.0026790250831206937,0.008645578379172441,0.0,0.005188240300987138,0.0,0.00136789396690628,0.00169039080611415,0.0003555214715291865,0.00014827428424260973,0.011231954499306555,0.005421678921035837,0.0,1.4542213669307112e-05,0.004538202206828951,0.0,0.007774572580715756,0.0,0.006768739715555886,0.009052423300163587
G15,0.05993721495669039,0.022756778556624703,0.0,0.006320912045801548,0.01206987142859158,0.006242308212669395,,0.002426705393318664,0.0009439040818165897,0.001910540664400864,0.004416205800456943,0.02459090540282865,0.026887061107353418,0.04102201491917507,0.0041179722176817295,2.4573499813183757e-05,0.0066971169810278505,0.0014899292518002379,0.002814458079130381,0.0010584131957078935,0.0,0.00017302749075957696,0.008678577928644335,0.004365744716880482,0.1771368397953735,0.00038667474751778714,0.012974556452808905,0.002482981090588531,0.0,0.003909986116314965,0.0024019187814679063,0.0015839829369498197,0.00589486399538618,0.012139320298748531,0.0014950282286131746,0.0,0.03326564306933748,0.0016341926113979026,0.028196684943667595,0.0,0.022006456071068856,0.015641118805559854,0.0003785804424792394,0.0008901305920811538,0.0024153587528338723,0.01050967240771423,0.0008019303200439799,0.02194920241716048,0.002700207871617128,0.0015922678925669386,0.0013883809137680719,0.004285440219262307,0.003930913741433711,0.014523545888362575,0.006653288176938551,0.0,0.008225663444005616,0.005611885191528663,0.008024198392364722,0.0,3.342021438965955e-05,0.0,0.05244762572868119,0.00539552656048581,0.00273770427010137,0.018882385685263868,0.02244339453834238,0.010849423378469572,0.003909423637385872,0.013146633331753808,0.002819551781483763,0.037809835033455114,0.0,0.005284544991796922,0.00015945952732937315,0.0010843165678813525,0.006888985573228884,0.0,0.012713992192053445,0.008961033972950337,0.012319554710662753,0.004568232573600411,0.008996857686678156,0.0002357232152232899,0.001450123655311244,0.0004950256253340995,0.012823855021927387,0.0006965898069558544,0.004352215663064137,0.001598415902366112,0.009771637980920395,0.012366087170558695,0.00794832941483819,0.006332108550745991,0.012850522534663176,0.0014311694286512921,0.003820599443080336,0.02804700054127922,0.006422128427172802,0.003931415121777929
G16,0.009194818483410128,0.0015585750841382129,0.003413344476482229,0.0012483544269513882,0.00030993581066563646,0.0010700149403992,0.01305019731791048,,0.0037816325483025293,0.008799443477313504,0.006336997600260809,0.0031908769656734774,0.0010191057708271688,0.001714293981059095,0.0011690369723680925,0.0034526012012709665,0.016555157270699786,0.003569135638080894,0.0013532096844951313,0.01987655509079178,0.005172370818927669,0.018141366683469492,0.004320748797589843,0.007147141448954739,0.0038331075134512118,0.00825639237121705,0.010159184465735896,3.7379697043116537e-06,0.011136668250074892,0.0005377503079495507,0.0013931344818593344,0.01827671015485744,0.019348536515819047,0.003619385301192897,0.0,0.01573364343287319,0.005213015168644728,0.0011468796080145404,0.0010137813994480452,0.05859485173075291,0.002526764387245628,0.005459303509082389,0.0008624914111284945,0.008697192006683507,0.002670376547585616,0.008160602037609134,0.016117908224470682,0.027457008640591054,0.003408905736356627,0.002758431582717195,0.005020962895581893,0.009332378872213318,0.036484008733209526,0.009090257744921327,0.005411508135078036,0.006647192575511167,0.004254739153620363,0.01857910005571208,0.01145230398380681,0.036300038024122065,0.03513150511948954,0.0064653141189696586,0.009535325877437786,0.009923054211752776,0.010958879681123228,0.001938765661630127,0.00013735089977627349,0.00038674316867103926,0.01292108285903382,0.00207053984358358,0.0032052106726309306,0.028739132223418184,0.004427011638961319,0.012171319103265599,0.0,0.01437777686185876,0.0006727996306452386,0.01081075736108041,0.0077531792315992725,0.012116727342783455,0.004350625791331537,0.0017080470951752527,0.08235096169117243,0.009024210482495994,0.004956745925731004,0.009150721217612899,0.0,0.002857845197691631,0.025194827592134195,0.03294734603557052,0.00043704106478737495,0.04552314143618635,0.0027611368437241647,0.011299234988167288,0.0020867831962882995,0.0028571038036441687,0.02937274412965922,0.027674100962549106,0.0,0.0073017396194835086
G17,0.01721971057367682,0.026937484079198794,0.002002444249613609,0.0,0.017427670519384725,0.0,0.02065739597927576,0.005510680864899151,,0.007248286705739197,0.006155163350765621,0.010048475933197404,0.0,0.005319806604434441,0.0280884001953847,0.008841343933667074,0.0,0.03451012714019505,0.01122315036504885,0.01332420850621503,0.007386320653069051,4.29879439444064e-06,0.008135077456786339,0.0,0.0013157835156977788,0.0031660343702954066,0.0020176834264369037,0.005013052254570928,0.07896490702224473,0.0005518785973108798,0.004182514872905919,0.0029116259685642142,0.02476157283446653,0.003674358485495674,0.013733150402584094,0.01875333637325605,0.01754873772208605,0.01798905754936257,0.019201033776158005,0.00035696357760614533,0.006109559091298571,0.005697093104164759,0.015407306324212442,0.012172906419575311,0.0058068514755722014,0.005198405553689742,0.0022852454991793354,0.00040720667751561036,0.003180837647452877,0.005178767225018704,0.016616743888270443,0.010226336106759513,0.005618886020021276,0.01666699022945408,0.015117993019844598,0.0075090030874696255,0.006756280748171294,0.01319001771112309,0.007569235474121092,0.010004387713117974,0.003122527195864985,0.0,0.001731378069610274,0.007759861657334908,0.008996126730656166,0.0037337113272664668,0.011117479226033572,0.021747215798012417,0.005104397837609606,0.01580787824557652,0.02769451814809931,0.01534465501882889,0.0023885899282603206,0.008377804187732431,0.0030235585246517994,0.006402302015444024,0.010714995088261592,0.006292541512189987,0.0330859802875941,0.009873503698325294,0.0002979034651698364,0.0004555085098839227,0.007877932641308804,0.007164370448884469,0.0058215062180482936,0.01035246027895692,0.033820756226863674,0.007518940628090017,0.006372574735908255,0.0031915197224518014,0.00752349222246184,0.006267170626149801,0.002515216518535412,0.0009761707066326578,0.0034369323562859957,0.017667111377687724,0.04722344061183649,0.014296178537470911,0.0,0.0
