,G10,G100,G11,G12,G13,G14,G15,G16,G17,G18,G19,G2,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G3,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G4,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G5,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G6,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G7,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G8,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G9,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G1
G1,0.002069211447729229,0.04178230804632976,0.029950537160940264,0.0048386131644479755,0.0624276982421834,0.02157991068256832,0.018386569351611204,0.003166745236072533,0.012333748143310114,0.0024689992795593097,0.019329816018583797,0.01696093585875903,0.002854376571256613,0.02994702271722413,0.042321826083895,0.005548297729644946,0.021964302722188266,0.012294219142878152,0.013228001583043507,0.02422841919088213,0.014305129115417689,0.012151761343399098,0.022934068747125332,0.04695582453140374,0.019136076920494113,0.02336474762812812,0.023731686622296834,0.00012003802625576107,0.011044179679831994,0.016050296668055755,0.00012606953823321115,0.00032694300145611377,0.033909619714133775,0.024559041470362294,0.006121911790997269,0.0167202046958824,0.0051483148378784725,0.0028883170613159125,0.008369164309476068,0.026621734810681523,0.023488324586073677,0.007555396981356939,0.02300268973596217,0.020727241716638492,0.021047523420548515,0.04720498541002631,0.0057561737647590545,0.010194658795203048,0.001510886552360923,0.04128145569595504,0.006432293533559485,0.010761467618348891,0.037475707650584646,0.013778059192077322,0.017504241906276273,0.007926161367444496,0.019532277224837948,0.02751811479683197,0.001729419119208202,0.01204963667649421,0.010001032644160204,0.023213451907990734,0.02117182511517928,0.023336494955577068,0.041080344255337096,0.03010031936060484,0.019113722391597216,0.0008067677831711717,0.010892004512838,0.03944193019247358,0.017530726225133672,0.001698617603036097,0.007050278123210518,0.004009768695325457,0.022092878182791615,0.03596075609260568,0.0253711100330417,0.02930879865782384,0.0059945701962526785,0.015790251357670027,0.015414490944126946,0.028641497803895875,0.019390749286598036,0.04388712909936248,0.01223088014308795,0.023891163543370838,0.024361667879480672,0.001866578677838337,0.019601926205708164,0.00056771604196102,0.004849607754076143,0.00933054447410243,0.04460130188853246,0.05586326862551082,0.031793840126645795,0.06896815164429872,0.03431767307829284,0.02324279601534506,0.011442981971849666,
G10,,0.029221957538144893,0.044616980099560465,0.06789596387388705,0.01473107361185027,0.03811701650610731,0.014100743830398173,0.01135345683513226,0.022133828903944254,0.006530449546985543,0.06807854842807212,0.06171475388860225,0.0184544491769248,0.020182434060294983,0.026106473728993336,0.018713273092606335,0.008852953797491937,0.010472514399775416,0.03901117428361889,0.0163914975907183,0.005455506592906807,0.005486611659831168,0.024353415880735377,0.03157731671722205,0.06550679079749555,0.017724030675927527,0.025607864301180006,8.437418136911755e-05,0.03405602990816224,0.08470711956833024,0.10450295894866247,0.15213660768332848,0.004964196570009947,0.036403540663974894,0.046839574793559643,0.023748153042023226,0.04936547577728614,0.02364950081273806,0.0371104380985203,0.03561779357420977,0.014896674307713093,0.18894775357622653,0.017570852717631827,0.04350940436207288,0.028348749997201897,0.015908601752831774,0.0561036417339908,0.04860092963924185,0.009392437153438632,0.049931912208167784,0.007463419018743183,0.012230750958351449,0.021649618169715248,0.06639048248129324,0.0157708133539401,0.0005003226987910772,0.05382266178197784,0.001976069349669408,0.00449543266014144,0.040417156877283006,0.023054758845494062,0.011486719986681895,0.011319235914316897,0.029468127632111867,0.03395884287356008,0.018714297968644857,0.07553899523083307,0.04077477193662194,0.03301712555314825,0.017832231590669972,0.03604306323178603,0.0685194963063743,0.007588842130488927,0.0035328672822162403,0.10376370435488255,0.012925882246384541,0.0043323526153260725,0.00772459547898246,0.07115205847678158,0.0036242372319796445,0.008176371904007825,0.012413955898629342,0.06498658265844562,0.02421325555978298,0.06783947209888007,0.02628893500195645,0.02075113889506169,0.009563549607942857,0.042377790106597965,0.06775731360702095,0.046306064793191506,0.002203341510892628,0.09257169333153834,0.006929873224544393,0.014307453089756204,0.008245089877842874,0.015992776953630702,0.052074060137259945,0.006110065817885507,0.010927795725606697
G100,0.02449302585906942,,0.03923641631891605,0.010776182251567457,0.033132070793687435,0.012279506496227811,0.03336351314009729,0.0651022333620013,0.018161553340841338,0.010927507365552728,0.003311242898565709,0.034691453854567504,0.02716404800550647,0.04393575755608743,0.01386273376786449,0.030352291034594216,0.039625894928059666,0.028421881341904705,0.014038470667259228,0.03736614656478048,0.005134608207968427,0.0055538656425103295,0.01464126025115097,0.03652060115864476,0.0028607477517906365,0.014557467014315463,0.05949884729979095,0.00896312797552052,0.025733921066663924,0.008722890991073118,0.0024592589888510112,0.016683478379939904,0.03359558539722432,0.037227744067887994,0.017956169296045193,0.05969842664168569,0.06309777325876428,0.024168677755930533,0.04116767160277585,0.013507986307947991,0.06850582115271636,0.06676530009537143,0.009049925039728337,0.03138467915793655,0.020187618899911455,0.0031954477269354664,0.044926189976121224,0.017496539431976786,0.015205616669431293,0.011617618175084561,0.009673750523962764,0.007988018002926029,0.04126836724062635,0.020048874138153105,0.05916899933809357,0.05202650118533671,0.03603608360448523,0.042293855927757924,0.005976699302274381,0.022540977032565697,0.06133255412375785,0.023898873376353793,0.002651929103784799,0.08115576875667378,0.006835996392354047,0.0008979965746954686,0.0064761072520735895,0.01953349341413193,0.04257313753942772,0.003676598999093388,0.012252612560658542,0.018034046932134968,0.014404537981386887,0.02322656221533982,0.00252156151185171,0.07746718731061691,0.014602507178892265,0.015803688014496185,0.0057202086088877155,0.03067816125273417,0.030713211421207042,0.026629755781703,0.016053176500843792,0.02081942799782188,0.04766681147985913,0.027255720639738117,0.0019259956559912143,0.027086305833423197,0.06051781981472684,0.04213050548264269,0.009764312763733117,0.04546739200735473,0.008266858820742082,0.08321029143425665,0.11350722647281966,0.12465077874433368,0.020884269795277147,0.01984685881825051,0.003300114758764932,0.04574532856965909
G11,0.01451218426349633,0.01619509801294649,,0.020996886898998014,0.008338507425556963,0.0003213976577796621,0.0432178206454227,0.025406400240784617,0.01372689075724519,0.0074446759528331505,0.05012240260746219,0.003147568125009395,0.03012879175587526,0.01774627208236333,0.011805915979453734,0.013119725592650526,0.0077685882832747,0.007454301463334829,0.002417163786920615,0.07614241670676405,0.047755402028023475,0.019136411118780124,0.009209415906851273,0.011033871030566052,0.024158131328458236,0.00789738048144766,0.0034627648773512196,0.02941222475303357,0.008552457745261897,0.0013555100052191804,0.009357190174819816,0.012724035282670838,0.027309740390874672,0.033405361730614314,0.011569536346167576,0.016181019554615192,0.029269497669546528,0.01577308894462614,0.0200478399086011,0.03600559056620714,0.004886749098948128,0.010087446091807274,0.019011519421053703,0.0004484463533388132,0.007221315138194208,0.003324577231719095,0.004873266204140271,0.0005530749572079485,0.027413531330458228,0.01754829662593275,0.032236647478018764,0.003643219056622346,0.03065630177834916,0.01648095379032956,0.009212317823767715,0.010341469689374041,0.008666103385364606,0.017398058218421972,0.007466828157534448,0.05169204618317219,0.030958549050950506,0.018270786339301195,0.005071889612160055,0.005246960998000424,0.03592889962386111,0.010407182767320017,0.010777216979778398,0.0017764111696471126,0.004882737909511363,0.025599518240113948,0.012981421806947393,0.020252607711595507,0.013900069092935998,0.017780936741893218,0.0009503679583610619,0.023703837770348044,0.021152053720694945,0.0160858252398464,0.012815476497083745,0.008487654222473223,0.014185564670369421,0.03091787567384251,0.014256978120489027,0.022922558509558343,0.010887552211763777,0.005631869600072565,0.004026547934754496,0.014737099752456961,0.02348174480749137,0.00100391649268601,0.0320053145731038,0.006836362244158788,0.016433131601062082,0.012961430692871794,0.01185849697035121,0.0114147967534697,0.010509612732358512,0.02244119386379402,0.004167504847404038,0.026790278941826756
G12,0.06731687677530901,0.011622229281571646,0.026020521352780365,,0.013145470779491577,0.01061779587502255,0.004139909512968188,0.005754640590489337,0.0033429737535129954,0.01699466693027392,0.0034113119221043705,0.01032676621562512,0.01541782722792194,0.06062348897138559,0.025736002152802605,0.0122206234009836,0.05358649148361741,0.0007168693038570788,0.02548716685938391,0.015198093077446042,0.006435021032008012,0.03138438648234706,0.004848109013693543,0.007460726478054051,0.008090122514101227,0.006544396671681781,0.00453157876074793,0.00970110865258023,0.005987531617741387,0.0011022113550697215,0.08644355426325744,0.06043047438965038,0.00739805796098887,0.012908359991979299,0.0027310348077577043,0.04124389171006728,0.04885085271023636,0.0424990505452386,0.006311400300370905,0.005492204661518621,0.01450969061779336,0.08705189665027896,0.02649498877809002,0.059056485284076886,0.021073942970879087,0.016704607176858535,0.032802313464072606,0.007223505085371704,0.006854826452408592,0.002969980673420842,0.010989393998680028,0.03354499735377757,0.009040157468050406,0.011684731070797389,0.025986866518358877,0.0026777448984852156,0.0032606520565682134,0.02760159028287966,0.036197112980739264,0.03130047207922386,0.03114361589678957,0.027570573515385867,0.017428999343085706,0.013906940929494346,0.016686417282970142,0.014001680796050157,0.03532330867147335,0.00340650777923753,0.059426543872164395,0.028225847357104983,0.014085627116930729,0.007460603685028874,0.011625861301612011,0.01874076120072115,0.026857898558673737,0.010893769469604358,0.0049544827931893975,0.019990495616190616,0.0013211847701856284,0.032149687767221886,0.029987602457056402,0.00046542082215616305,0.021591232557715754,0.004674813354011694,0.00787000069331334,0.01886196776587204,0.006255507374487402,0.029256381410315942,0.03456575168084825,0.018921567810566305,0.02167124471895505,0.0033391138685077105,0.020103049121420975,0.02857498078789343,0.009010509278237532,0.011534138601377539,0.0028951667666239737,0.05691941046081095,0.007591827041001392,0.004329268211650525
G13,0.012114440494972754,0.031523316663132656,0.009799068984847677,0.01248240872756267,,0.013708046533829994,0.009276661357410907,0.015224591078312037,0.028646859578549396,0.01682079929428727,0.007480230298825211,0.0016291133736840847,0.009950083144686164,0.009032599140590038,0.05390428859460367,0.04576907595792977,0.022921243712965073,0.002821399938793937,0.0060000342649052,0.01736844390394847,0.016521101348396877,0.01696314703485136,0.006199429138124049,0.012622595381772544,0.029566747261272227,0.03853705377767893,0.009957952390701765,0.03244798625006977,0.009210953016308462,0.01469783501597007,0.002096666830028358,0.005990278849346279,0.003366587387781535,0.005238361084882346,0.00473026978002456,0.002735298540768204,0.038393921579174345,0.013650245032303054,0.028208983258076355,0.004312796544884938,0.0056091793277401325,0.017511334000358293,0.016102848352290332,0.03181056920542019,0.01640865157013749,0.031149131559055555,0.03431707362143442,0.02985142924493542,0.007808031907300554,0.011980422486515324,0.018536456654103084,0.010533535062006062,0.0060567189355492474,0.038700314096232584,0.03605496521946727,0.0065742981061244175,0.0027584281418755207,0.025545190965914833,0.007226250602322456,0.03339763622559424,0.012968655741202522,0.02231017384067381,0.036349946058747515,0.04448851334407637,0.032508349834256024,0.018581087292948474,0.022824178548657235,0.00595672906833134,0.01129595379629171,0.05049778492605948,0.030993384644400004,0.011248959696969379,0.0043843174608860416,0.04087222012244902,0.0037527511703624892,0.0037165731858830016,0.007203154471137291,0.03951410974347086,0.014310075675388938,0.008469896553278072,0.04303642594205028,0.026822623598076214,0.02340673217390962,0.0038581890614309434,0.002103950969386507,0.010609793764465969,0.04783050989610735,0.003424113940319353,0.0037466408468090923,0.011136863485073065,0.047008802850540224,0.014041431269273572,0.014606190190292644,0.09222826105048385,0.009110344583691006,0.036586444190489203,0.03235242525356992,0.007642934814772314,0.03403176897106759,0.06549459446489321
G14,0.01014784814729612,0.01333509819396875,0.0005494538756052607,0.010626225473857363,0.014599149829449919,,0.013643770144631227,0.0021421615706760455,0.004219824837182718,0.009105093845853167,0.03621372605368098,0.03775079637751416,0.012512257399476149,0.030071727979075997,0.02789730112354254,0.02376546494206933,0.01035730047389909,0.06128082905668995,0.008077738352073682,0.016062456894935566,0.009443255059786375,0.012117638905458196,0.01716013736897365,0.020434163470972877,0.010444047214819169,0.030573507089343966,0.008725107814227044,0.01585242190961379,0.01630108904193241,0.040847068133707344,0.012858496242168414,0.007049313354861162,0.006053937085499013,0.02839167625332982,0.010199927593177876,0.07575704405209761,0.0353987892405164,0.002180522802133154,0.018079463042374268,0.02822403129027671,0.05695553538729132,0.026914841073443007,0.011237021338618092,0.03013921506058296,0.009801746784702674,0.009749882605318363,0.01831730828673104,0.0011879562599095232,0.0016099436518030755,0.026391823738562345,0.0011202463599070396,0.018822633909453088,0.04738659498605394,0.044002998814625625,0.043051352312391725,0.04513686019069466,0.007880134227175472,0.03681161684153621,0.02609188630608928,0.01964089992099691,0.0217657171712779,0.024707309247269306,0.03111272174458466,0.015032424575483212,0.012147774892017894,0.0005343885778581071,0.009564343325049195,0.004278931525320532,0.03527683392248146,0.03397501469289288,0.03743440770652113,0.0003752205546016106,0.0007463395606644094,0.008386885556461825,0.0018203655923134388,0.009863381274513769,0.034008886635258466,0.010628896627124757,0.028568971366325205,0.05847241421979767,0.004486967110438225,0.04165323678572068,0.0018923836549989345,0.017274259156690838,0.04080112047046727,0.05050401457461523,0.014281086608416024,0.03897798625135443,0.014419880044954482,0.03760612619208412,0.010600727838323273,0.02779838117520432,0.03547635726901628,0.022715740576444144,0.02038004329596469,0.009268737242189223,0.03779193590301143,0.07754986273406607,0.015073491634396637,0.023626249925375594
G15,0.00044751629203898665,0.0005552602546197193,0.002451612085690077,0.0003369737647043316,0.0005369144950727951,0.00048759528508530677,,0.00046453697390598254,0.0002332783410760167,0.0005247998309675254,0.00017698591647042776,0.0014828873165889573,0.001164047774158207,0.0010762393791046575,0.000187845049900817,0.00022923691371723467,9.564353700739753e-05,0.0002591393835084249,0.0013235444041704188,0.0001263676035832624,3.133092518314177e-05,0.00023961063659004822,0.0001744728113170689,0.0008136277244305361,0.0009770163124553622,0.0008101215371719258,0.00047166852585696134,0.0003360042382024292,0.0002829568006559867,0.0006455867550167649,0.0007995843444544554,0.0014557686778616204,0.0003221882637518179,0.0006634647988525133,0.00012578719281516892,0.00031900606245594644,0.0003714160363573332,0.0012848000009101316,0.00022313295790227404,0.0004724244721429805,0.0002857611447610191,0.0016751502835769616,3.870436065177665e-05,0.00045825875858263975,0.0003895779541664251,0.0005168052521482239,0.001873752956063669,0.00016516762819620472,0.0022625073120556196,0.00017882451843922916,0.002001628071948486,0.0007978924072531584,0.0008680942380768293,0.0007776659722579016,0.001110381388627489,0.0005496484483977789,0.0010730819060478201,0.001432808347338956,0.0013258443280733869,0.0010503056111148175,0.0015997290853884316,0.00017466719533401623,0.001595925409827903,0.0009187702068423223,0.0014313943152359176,0.0010631564367680044,0.0012962707108137047,0.0009847484251409816,6.74001233842452e-05,0.0005285759757917484,0.0003786036981438069,0.0013438285707867198,0.0003653620009257371,0.000211834990155228,0.0011379887547727442,0.001404668095777489,0.002778043097807918,0.0002041802739236181,0.0008463186216404368,0.0008687290937979204,0.0012278998678273874,0.0016758586882487576,0.0023690985872993186,0.0007874376087354302,0.00022096147110623572,0.0008271720356023286,0.0007613473399170365,0.0007825745454413471,0.0006637805457760466,0.0008543745853672344,0.0003229017081970003,0.0005104094086597182,0.000789748829124678,0.0007975711896059558,0.0009506179122616863,0.0013212021097022456,0.0007079500615111351,0.00018742574048646505,8.920541958021463e-05,0.0009541694411053747
G16,0.0001117988498002141,0.0009127621567842102,0.000520787474583406,0.00015853623491767646,0.0002726094173124689,5.589974488981143e-05,0.0002467578442155201,,0.0007117657350925477,0.00014399869826022457,0.0008265896815209554,0.0001214004445931603,0.0004449569461555798,0.000581416982389483,0.000248174058292104,0.0009353024729736177,0.00021313320563795649,0.0002921812577008939,0.000311952456531348,0.0001605056941969502,0.00021405087228737582,0.0003038243137886105,0.0005740215200338125,0.0010735473619626278,0.00036713294025949786,5.183930902889207e-05,0.0010527750508727432,0.00037322315471070594,0.0003705887895965165,0.0006184176231690867,0.00026981875605600666,0.00048000869809736494,0.0004074224351676157,0.0011023453315007147,0.0006182613574801598,0.0001991832007396833,0.00027041328403013454,0.0005294736949157428,8.766677276425197e-05,0.0005834675762009756,7.15343239143799e-05,0.00014567442021546726,0.0006221467609907826,0.0003193293792624358,0.0001350449134805893,0.0008682645476093432,0.0002926211274649421,0.00026709742527763607,0.0004096711009152576,0.00020536124209870804,0.0005898996598632955,0.0013713845428534328,0.00018506039884681738,0.00010879294418570354,0.0004064435400655464,0.0002544297368460191,9.472125476995665e-05,0.0001483501145464137,5.075197890707042e-05,0.0004852763846886764,0.00010301314196189795,0.00018730702650657726,0.0003025198241924278,0.00035551582239846534,0.00036218172660026286,0.0007677059429210267,0.0013883134783206023,0.0003955507601560755,0.0008699436195773076,0.0004458794458229873,9.437764113230317e-05,0.0004513736972475159,0.0003070151164265615,0.0003284572898218935,0.0002011219162766505,4.510856829689257e-05,0.0002720243586924741,0.00010280224321150434,0.0002359539986456697,0.00019727344695702917,0.0002952422627384368,0.00032817953874435555,0.00029032895535806367,0.0002597160542229556,0.0001754574860949995,0.00044435321003507124,0.000608826002076924,0.0007981884174947335,0.0008872844198654483,0.001198820932204549,7.22423196530493e-05,0.0002931454056693468,0.0001804531785534256,0.0004951489748546213,0.0004090147794699534,0.00011604334586597543,0.0007912146858204325,0.00021977799370886622,0.0010658691003139615,0.0002845106103608276
G17,0.0007871774756629784,0.006932926674686547,0.012493350172986906,0.002813396744288715,0.021897858031993792,0.0005344018356935824,5.796280160789546e-05,0.018954993012825397,,0.0071369435474337925,0.02488888756196337,0.001192087850830286,0.02045414924815434,0.024484005173787397,0.0026908656011082454,0.0003481986902115164,0.009864783735725694,0.004362747326274553,0.008152728737706937,0.0017385849225184196,0.013578187599600468,0.004848397270618896,0.024249658890638275,0.015977904106012273,0.01772265338872359,0.0010892752155805927,0.020602384378720348,0.0078002467689852325,0.018501231016019946,0.007538398427134517,0.000534010822843748,0.0025430181151077564,0.002052103742065837,0.019125468888142594,0.04703108271637638,0.0018894934182682554,0.013946491363163617,0.02365566634159754,0.004235446319465484,0.0276947197831584,0.015346899480622287,0.0001402812761755049,0.0027446957713230685,0.01252617545799441,0.009769381100396235,0.008347764502254487,0.014561259404291049,0.004079427471489692,0.009144014106175031,0.022812123425841532,0.0017936316695132775,0.004182479414561416,0.02041480380220659,0.024013671491176246,0.004928822355071687,0.03172004660001117,0.02999502703335513,0.02932289490476326,0.04907065649734225,0.02979805538068496,0.0009488865311226367,0.009147624335466209,0.0068919368868882,0.0020197493250113966,0.02300033107418717,0.0505338144797936,0.005646405027030711,0.0313824692019281,0.022056186972105835,0.004469147237616239,0.019292782394036166,0.022269987934729344,0.015585543132288382,0.029859460778869768,0.033190204800926215,0.017133198843355433,0.0015992789502343567,0.00866256923421321,0.002070412528330613,0.009610536493515292,0.004276159118270704,0.0010679776682651681,0.003052763683647974,0.06560345982102847,0.03612845658290242,0.022059355464848836,0.027283221571147247,0.014893676594191026,0.0285226987971889,0.023679355071742503,0.0009628322963311053,0.005955804225494864,0.014306493524130822,0.017409485991879064,0.003405209316038529,0.010095224049255455,0.006699646503143812,0.03826350215180124,0.0013556662137604722,0.009581638486090348
