,G10,G100,G11,G12,G13,G14,G15,G16,G17,G18,G19,G2,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G3,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G4,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G5,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G6,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G7,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G8,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G9,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G1
G1,0.006,0.076,0.026000000000000002,0.0,0.033999999999999996,0.11600000000000002,0.008,0.10800000000000001,0.054000000000000006,0.0,0.018000000000000002,0.05,0.006,0.048,0.134,0.0,0.044000000000000004,0.030000000000000006,0.046,0.062,0.012,0.0,0.086,0.004,0.006,0.0,0.01,0.006,0.01,0.008,0.0,0.10200000000000001,0.004,0.046,0.136,0.0,0.014000000000000002,0.0,0.0,0.10600000000000001,0.0,0.028000000000000004,0.004,0.05,0.066,0.02,0.006,0.026000000000000002,0.006,0.01,0.01,0.012,0.004,0.008,0.11000000000000001,0.004,0.0,0.002,0.008,0.002,0.02,0.016,0.008,0.11600000000000002,0.026000000000000002,0.0,0.012,0.034,0.0,0.0,0.024,0.036,0.05600000000000001,0.032,0.0,0.05600000000000001,0.014000000000000002,0.0,0.002,0.008,0.038,0.038,0.028000000000000004,0.0,0.0,0.09,0.016,0.012,0.033999999999999996,0.22800000000000004,0.098,0.014000000000000002,0.0,0.052000000000000005,0.074,0.012,0.004,0.004,0.006,
G10,,0.024,0.024,0.012,0.0,0.002,0.04,0.002,0.0,0.012,0.05,0.04,0.002,0.01,0.042,0.004,0.0,0.032,0.052000000000000005,0.508,0.012,0.008,0.0,0.046,0.033999999999999996,0.01,0.01,0.016,0.006,0.002,0.048,0.008,0.028000000000000004,0.0,0.012,0.008,0.042,0.016,0.008,0.008,0.076,0.012,0.01,0.01,0.028000000000000004,0.0,0.0,0.0,0.036,0.006,0.052000000000000005,0.0,0.188,0.016,0.0,0.088,0.026000000000000002,0.094,0.048,0.186,0.002,0.004,0.02,0.002,0.044,0.022000000000000002,0.0,0.057999999999999996,0.012,0.046,0.0,0.0,0.008,0.024,0.0,0.0,0.01,0.004,0.008,0.0,0.036,0.06599999999999999,0.0,0.0,0.024,0.01,0.024,0.004,0.004,0.378,0.006,0.008,0.0,0.014000000000000002,0.016,0.012,0.0,0.014000000000000002,0.066,0.0
G100,0.05600000000000001,,0.12400000000000003,0.014000000000000002,0.11400000000000002,0.0,0.006,0.01,0.0,0.0,0.016,0.016,0.008,0.012,0.030000000000000006,0.0,0.016,0.132,0.004,0.072,0.026000000000000002,0.06799999999999999,0.002,0.014000000000000002,0.032,0.0,0.002,0.002,0.0,0.11400000000000002,0.076,0.033999999999999996,0.26799999999999996,0.016,0.02,0.008,0.008,0.048,0.0,0.006,0.026000000000000002,0.008,0.022000000000000002,0.030000000000000006,0.002,0.0,0.0,0.032,0.026000000000000002,0.014000000000000002,0.024,0.008,0.0,0.046000000000000006,0.018,0.006,0.0,0.05800000000000001,0.052000000000000005,0.006,0.006,0.01,0.018,0.006,0.034,0.0,0.012,0.006,0.036000000000000004,0.004,0.008,0.006,0.0,0.1,0.032,0.03,0.038,0.01,0.012,0.044,0.01,0.0,0.0,0.0,0.032,0.034,0.0,0.006,0.004,0.094,0.042,0.05800000000000001,0.098,0.0,0.06999999999999999,0.044,0.014000000000000002,0.0,0.202,0.12600000000000003
G11,0.026000000000000002,0.11400000000000002,,0.136,0.008,0.0,0.004,0.006,0.22200000000000003,0.030000000000000006,0.004,0.0,0.0,0.004,0.01,0.004,0.018000000000000002,0.04,0.022,0.016,0.016,0.022,0.018,0.012,0.0,0.033999999999999996,0.02,0.012,0.04,0.01,0.004,0.008,0.022000000000000002,0.06000000000000001,0.012,0.004,0.014000000000000002,0.036,0.01,0.0,0.016,0.0,0.004,0.018,0.018000000000000002,0.0,0.008,0.006,0.006,0.046,0.0,0.008,0.004,0.004,0.0,0.014000000000000002,0.064,0.0,0.006,0.014000000000000002,0.002,0.008,0.042,0.016,0.018,0.0,0.1,0.122,0.05,0.018,0.026000000000000002,0.002,0.004,0.0,0.0,0.124,0.02,0.158,0.0,0.096,0.004,0.002,0.142,0.01,0.006,0.02,0.02,0.006,0.012,0.038,0.022,0.01,0.006,0.018,0.06400000000000002,0.014000000000000002,0.004,0.438,0.07,0.034
G12,0.024,0.016,0.032,,0.002,0.004,0.002,0.08800000000000001,0.008,0.006,0.006,0.012,0.0,0.072,0.024,0.004,0.002,0.024,0.01,0.296,0.05600000000000001,0.016,0.018,0.006,0.048,0.002,0.012,0.018,0.01,0.11599999999999999,0.044,0.022,0.0,0.0,0.02,0.018,0.002,0.006,0.0,0.008,0.0,0.0,0.022,0.004,0.0,0.0,0.024,0.018,0.012,0.004,0.0,0.062,0.026000000000000002,0.042,0.014000000000000002,0.01,0.09000000000000001,0.002,0.002,0.004,0.008,0.014000000000000002,0.046000000000000006,0.0,0.01,0.004,0.052000000000000005,0.034,0.0,0.11599999999999999,0.026000000000000002,0.0,0.012,0.0,0.01,0.008,0.046,0.9880000000000001,0.006,0.0,0.076,0.008,0.0,0.0,0.016,0.01,0.01,0.014000000000000002,0.012,0.018,0.0,0.004,0.008,0.0,0.0,0.0,0.008,0.01,0.018,0.014000000000000002
G13,0.01,0.04,0.002,0.012,,0.05800000000000001,0.078,0.0,0.012,0.01,0.01,0.21200000000000002,0.032,0.024,0.154,0.044000000000000004,0.0,0.05600000000000001,0.04,0.004,0.02,0.004,0.0,0.018,0.006,0.02,0.0,0.028000000000000004,0.01,0.044000000000000004,0.0,0.036,0.078,0.036,0.014000000000000002,0.0,0.012,0.026000000000000002,0.26,0.026000000000000002,0.0,0.306,0.034,0.002,0.066,0.0,0.034,0.06000000000000001,0.014000000000000002,0.06599999999999999,0.0,0.0,0.016,0.0,0.006,0.0,0.012,0.0,0.004,0.004,0.038,0.054000000000000006,0.002,0.076,0.026000000000000002,0.002,0.006,0.0,0.024,0.0,0.048,0.0,0.0,0.0,0.006,0.0,0.004,0.0,0.01,0.0,0.006,0.0,0.0,0.0,0.0,0.21600000000000003,0.016,0.004,0.022,0.004,0.014000000000000002,0.002,0.02,0.0,0.0,0.01,0.12200000000000003,0.082,0.05800000000000001,0.068
G14,0.0,0.002,0.018,0.01,0.008,,0.136,0.042,0.01,0.018,0.052000000000000005,0.096,0.0,0.044000000000000004,0.08,0.0,0.0,0.004,0.01,0.042,0.008,0.006,0.014000000000000002,0.0,0.01,0.0,0.01,0.0,0.008,0.08600000000000001,0.068,0.0,0.05,0.032,0.08,0.0,0.002,0.046,0.024,0.016,0.0,0.02,0.006,0.0,0.0,0.0,0.03,0.544,0.0,0.23399999999999999,0.0,0.198,0.054000000000000006,0.006,0.0,0.016,0.01,0.014000000000000002,0.016,0.006,0.004,0.008,0.012,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.006,0.008,0.0,0.362,0.0,0.064,0.0,0.026000000000000002,0.01,0.0,0.0,0.028000000000000004,0.004,0.0,0.026000000000000002,0.0,0.002,0.022000000000000002,0.018,0.0,0.006,0.01,0.002,0.008,0.05800000000000001,0.074,0.0,0.0,0.0,0.024
G15,0.026000000000000002,0.0,0.0,0.0,0.012,0.25,,0.008,0.008,0.008,0.004,0.304,0.004,0.008,0.504,0.012,0.02,0.0,0.0,0.006,0.006,0.022,0.0,0.0,0.0,0.004,0.006,0.0,0.019999999999999997,0.144,0.02,0.268,0.0,0.0,0.064,0.012,0.006,0.0,0.0,0.012,0.0,0.014000000000000002,0.0,0.06999999999999999,0.06799999999999999,0.002,0.0,0.154,0.0,0.246,0.004,0.05,0.05,0.012,0.012,0.0,0.012,0.0,0.022,0.0,0.006,0.0,0.0,0.0,0.026000000000000002,0.004,0.008,0.012,0.034,0.0,0.002,0.026000000000000002,0.004,0.0,0.004,0.002,0.034,0.0,0.0,0.002,0.0,0.096,0.0,0.0,0.004,0.0,0.004,0.012,0.09,0.012,0.05600000000000001,0.0,0.0,0.002,0.0,0.0,0.01,0.064,0.0,0.012
G16,0.012,0.004,0.008,0.018,0.008,0.02,0.02,,0.09,0.036,0.024,0.004,0.076,0.016,0.016,0.006,0.0,0.036,0.012,0.018,0.006,0.052000000000000005,0.026000000000000002,0.008,0.0,0.012,0.0,0.01,0.008,0.0,0.02,0.024,0.006,0.018,0.006,0.008,0.038,0.414,0.0,0.008,0.0,0.004,0.05600000000000001,0.002,0.008,0.0,0.144,0.0,0.05800000000000001,0.002,0.006,0.01,0.0,0.02,0.0,0.05600000000000001,0.004,0.026000000000000002,0.11200000000000002,0.08,0.06000000000000001,0.004,0.11199999999999999,0.016,0.016,0.008,0.008,0.0,0.026000000000000002,0.01,0.006,0.024,0.0,0.0,0.016,0.014000000000000002,0.0,0.01,0.0,0.088,0.192,0.0,0.0,0.0,0.0,0.018,0.022000000000000002,0.038,0.008,0.20400000000000001,0.002,0.0,0.022000000000000002,0.0,0.046,0.134,0.03,0.006,0.004,0.18
G17,0.01,0.008,0.136,0.0,0.0,0.088,0.032,0.088,,0.012,0.004,0.158,0.04,0.048,0.168,0.0,0.0,0.022,0.006,0.044000000000000004,0.018,0.0,0.0,0.16399999999999998,0.012,0.034,0.038,0.064,0.0,0.064,0.0,0.022,0.0,0.144,0.002,0.0,0.0,0.018,0.0,0.016,0.028000000000000004,0.0,0.006,0.016,0.022,0.0,0.01,0.06599999999999999,0.0,0.202,0.006,0.014000000000000002,0.0,0.0,0.0,0.002,0.004,0.046,0.05,0.076,0.0,0.01,0.006,0.0,0.028000000000000004,0.012,0.01,0.004,0.0,0.0,0.0,0.046,0.002,0.03200000000000001,0.008,0.018,0.022000000000000002,0.04,0.054000000000000006,0.192,0.004,0.006,0.096,0.0,0.0,0.002,0.0,0.06,0.008,0.038,0.05,0.026000000000000002,0.0,0.0,0.038,0.0,0.01,0.022,0.078,0.06999999999999999
