,G10,G100,G11,G12,G13,G14,G15,G16,G17,G18,G19,G2,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G3,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G4,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G5,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G6,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G7,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G8,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G9,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G1
G1,0.0055121754114772735,0.008321488402308267,0.004010317501911808,0.005416880760226359,0.005987701089533849,0.00440887215414049,0.006647518165828291,0.02127419783770777,0.0040938533421962355,0.006114136652301387,0.0039100873249201295,0.005493670211327021,0.006974261434696272,0.011079514957136261,0.16677911920585436,0.005542633583562459,0.0033405321401577164,0.014929669535335728,0.004023725436115494,0.0024564702038346155,0.035466213846771406,0.0038254234629997667,0.00859592825802929,0.003713335253135521,0.003569509005274581,0.004714847406324011,0.02011572029113756,0.004941364225409384,0.013864374858328537,0.008764745527408715,0.005053043493077835,0.06784716150115352,0.014859907747961537,0.006368141160051308,0.0042264053593211665,0.003011765962232973,0.023025112654076304,0.003324480361975965,0.007985741933238893,0.0028521344673711497,0.0019583593017214198,0.0025574725727185873,0.014470321771328606,0.0020656490866060037,0.005518185289929124,0.01434074031943176,0.02064067167950903,0.0058859201458161935,0.00830541259817024,0.012218890955811109,0.0030662685911872272,0.007645761324203871,0.006604894213368626,0.0037974258813713874,0.008729741395350758,0.00632005285703731,0.0076404116163642085,0.010138512974233843,0.007172433549989084,0.003714171631898879,0.008424382212291397,0.007635925562874841,0.006303205882139031,0.059297542106900976,0.006483005883815876,0.011104657127329231,0.006375087666407138,0.004478288415055219,0.0056716291291721435,0.0025821547576204114,0.0034407011561414565,0.004777560344835292,0.005668338765982859,0.010622183969212376,0.007036473632416754,0.004938471576828966,0.006095761678175739,0.007075030351622337,0.007670198674467627,0.0068807254494936765,0.004423135276081094,0.007309552878367432,0.005317945231044861,0.0022178297431066397,0.006810336066614562,0.009715351256120993,0.005817650805686085,0.010961400151990344,0.003230749538645968,0.008173750611732984,0.004553448614934756,0.013869656870046276,0.004859954267489408,0.0032405200528627214,0.011683995118818197,0.0060856375885824385,0.005833561953264834,0.0030321902439254794,0.005068529506003073,
G10,,0.1875297398559362,0.16917412064456888,0.004633956648812523,0.009496952983365855,0.005697812589272035,0.00969897683470897,0.005124288279112729,0.00393512784830605,0.004671030513897298,0.008880704597871051,0.0026756403169658632,0.00527796392465193,0.00666840096982818,0.012771135819880776,0.00686506583561105,0.00521462568668717,0.002651865825332106,0.006835238448279722,0.0034470684479696047,0.0041141408380681865,0.005178572600639766,0.010082015686188151,0.004001286552644537,0.004308775085615414,0.0036344897569608615,0.0031084934410913834,0.00293452083952876,0.0031961118159957082,0.006613385295153348,0.006640619482961734,0.014941012444378175,0.0037745149497820313,0.0043682696414967265,0.007227787475886395,0.00981472593526781,0.006056620111402554,0.006363090218777505,0.006937812290867617,0.0147531554719977,0.020619121712428412,0.008156468061088116,0.006865297560176892,0.004382055266061556,0.011824737142741945,0.01136589264440854,0.006692244513017114,0.003996724218511227,0.00221383711009056,0.008489220042738653,0.005197793120450763,0.00498760712472658,0.005701573995532155,0.005255866774606816,0.005409546128294606,0.004688243313139416,0.008603279238097604,0.005378959987091381,0.002953232626768159,0.0026429414092936465,0.006268664643116164,0.00663431405172353,0.0031521323519655784,0.003429748926284528,0.012183175827466185,0.0036561345691337372,0.00820557745358806,0.007808768549898858,0.00424885591805302,0.006059064939035398,0.006030595716291269,0.006120975097716676,0.009184624171786223,0.006921416257540493,0.003673507736742557,0.006074190366856023,0.007160023391399574,0.0044954915695975565,0.03338921331756468,0.0033963678591236958,0.008253833101704027,0.006828764446027371,0.004756765587489578,0.0024921497323327152,0.006836419780500185,0.0073729015170567545,0.0016891920175503808,0.0025044962276970268,0.00274599120645783,0.007902623382594703,0.01028923107248046,0.0029374039130309845,0.00790958465315913,0.003862378867572332,0.005581432017654171,0.005838374878984712,0.00804073550324239,0.004948987771314754,0.020840034403432805,0.005552099209807231
G100,0.19533094359755232,,0.4933388048170137,0.0016457239356841525,0.002098958352599365,0.0020411442575372666,0.0018442516128766486,0.0031143111422718083,0.003739927395138489,0.004897014455649411,0.0013812902644230296,0.002025795909351239,0.002272219019429902,0.0015173576424744096,0.002660771133384615,0.00229851232411662,0.002149385744313137,0.00390997314496961,0.0016669221022626132,0.001954999506095687,0.0016644150872266402,0.0030806267435703884,0.012189907038320664,0.0034175596223685644,0.0019243514209487972,0.0018312885884223145,0.0050693603500061146,0.0018150320739865084,0.0035372714274687204,0.0023188293075039877,0.013654853840272242,0.003770873829486117,0.0019714301398464995,0.0017939049797270664,0.010662658336958375,0.0018480097105399123,0.003300595632861116,0.007969877507495641,0.0034006149086510985,0.00475253706311179,0.008473457137716595,0.0027204458960826284,0.0014224251806495823,0.004909074020544002,0.001966111005368717,0.007830936710989181,0.0015092228106250757,0.0032571596452544028,0.002604823625760447,0.0025740886755720904,0.003653646842106303,0.0014036008732817833,0.0010515027569609093,0.0016049559973121122,0.003437376221741881,0.0032515524941923507,0.0031531877888641723,0.004397315465982526,0.0020917014616053755,0.003901999675740586,0.0033322153226522074,0.002048130914062043,0.0036680249381304854,0.0025966145260058983,0.0013237674909673473,0.006703607407582472,0.0020031721513256782,0.0038016548267668106,0.0019385749986761648,0.0037157184973083744,0.0025384736321429472,0.0034053076038331282,0.003136910900922611,0.0025190129983226643,0.0018975159268781116,0.002301217632558621,0.002060206220053505,0.0036787132710846566,0.005964058170888086,0.0031912506633231135,0.0029528350116695174,0.00167085612559175,0.0028666606276945357,0.001358709173034879,0.0031041093285535584,0.0029770793380373382,0.0017486496828566555,0.001233668794203899,0.002056174396368128,0.0027027032659877326,0.0027077444543271096,0.002341036761026298,0.003314109549874066,0.005531763247829154,0.0006975803667139961,0.005210605104736743,0.0016668394509989145,0.0012127121092517159,0.003036881646163194,0.004708245219328616
G11,0.16357622231738306,0.4860001581622299,,0.004258628074066855,0.009070254645279637,0.002583861456766247,0.0004898059180886034,0.00385464663421539,0.0012462887870943974,0.007002665050034232,0.0029828812448312184,0.0011167428452731015,0.0015880607843050164,0.0029879351389219956,0.00552710124953938,0.0013254896594740637,0.004504088936391552,0.003814025629971253,0.0023355263850752643,0.003984914726338488,0.0033850231619796324,0.0009580728806189638,0.002534079760135523,0.004784552210956341,0.0019135748543915008,0.0012925015347977108,0.006426204170734681,0.0030995182990973505,0.003241570700869124,0.0035631410589664005,0.006771271856490115,0.0024946074875494004,0.003381460632792741,0.0014402599163455547,0.0051517912957963615,0.001967708673755874,0.0025902106583817644,0.003229403240621935,0.000983920684129822,0.0012166645678860885,0.04952238036586532,0.0024930569598641543,0.0011901015162903905,0.0018981058992059174,0.006012339316110243,0.0023848042104752188,0.003398819719220429,0.0021694866277894177,0.0008134045122225812,0.0018356431547777363,0.0009676635944861704,0.002185252005806948,0.0019651558125620998,0.0018577910723566544,0.001548391767892642,0.006058633146387977,0.002368326883155672,0.0021466628954082247,0.001610650674019688,0.002594394158208137,0.007843887272755883,0.003111633797784507,0.0024010583074595498,0.0011005706685009225,0.0015536020311381232,0.009937511679569924,0.002031383964090782,0.001078094644732182,0.0016644570754717968,0.003114441203368075,0.003831760877587691,0.007755581977260854,0.0022783258241016765,0.009989422421723123,0.0015555740780665342,0.003109143591072451,0.00297421179503041,0.0008255071327174414,0.0007674157975820458,0.001878820949315983,0.0052086003302783375,0.0029241727777753876,0.0070978433659954,0.0008726999472904373,0.004275833621959959,0.002209298751276027,0.0009037303041391509,0.005458301019914951,0.0036412012870540396,0.005205656294234021,0.0055646264770382705,0.0010923111280502797,0.0022056283535498954,0.0020552115545320842,0.005590691531163701,0.0009281487504820159,0.0027888419316943348,0.0044768772292049204,0.0039001418823308813,0.0011018787890238304
G12,0.005963677948638295,0.004599724420291717,0.006473381609548004,,0.012840218729957107,0.0042734145002611395,0.012524025731952186,0.019630112708069518,0.0039674644149518936,0.017797077469165923,0.004338260702017923,0.005547239631806072,0.004914103908836528,0.004873020359783001,0.010073218492481033,0.006132115757379868,0.005761182976769211,0.0035188419450080184,0.004356273563255399,0.006330935781938315,0.01197570811796091,0.007326952311276377,0.0048956976951053085,0.01775392337305982,0.02496412288364178,0.0025086245040916756,0.003626428939539883,0.00475839160532898,0.0035398409882715825,0.0037324476942552595,0.002460707755369684,0.019818751395353024,0.022661688455838252,0.00419159895934149,0.009925532703781445,0.006142225015876033,0.01698718895840417,0.011505005394050031,0.007184752072033446,0.006593454266482035,0.00297349867371377,0.0028561249178898846,0.0036078280701359517,0.00189128819965734,0.0037270514545244557,0.00249078455914944,0.01832490698626182,0.0037807093827056625,0.006823716435129478,0.008463403576176578,0.015240137567466451,0.006254971526488162,0.0034555399041899366,0.004436559787838538,0.054949338360519254,0.02018697638521319,0.005700311230772003,0.006678955795291828,0.003503199032448736,0.0066564360615961275,0.006075821947749462,0.0034134785381504176,0.009421488724565224,0.00413742378490922,0.005580364291206383,0.025352037820255278,0.0031851085903251562,0.006231975001365273,0.005051615388641674,0.0064284483399235995,0.011605423119116531,0.008369682653117822,0.006752110624139212,0.05491805319711022,0.007421099937817019,0.005308472140519115,0.00847547993306812,0.0990647276079828,0.0059293787909470205,0.0030122328811550726,0.050535685574055134,0.007118566850546218,0.00703505712742083,0.004313803581789621,0.012511179772111036,0.007334242091764001,0.00509634068288284,0.004618920646099916,0.006710871942291417,0.005171730419228541,0.0030071388156292364,0.03225360613889097,0.008063338897168468,0.006417825979247357,0.008608564244698769,0.003940473062768911,0.0044286541695718286,0.01450468202421092,0.0012275834562534076,0.0028982395629647806
G13,0.0097648655100257,0.003232230619509796,0.007045063950157671,0.002710976902331603,,0.006971415427078956,0.004397478629180638,0.0036023280152316173,0.003306882680904404,0.008023009929674814,0.0035773158775712762,0.010364236517443788,0.008765084052873596,0.004054312026910082,0.003017675098257331,0.006936423534490915,0.005080628710824792,0.006052969639817496,0.008382472095970813,0.006247548928016751,0.01258837717428435,0.003911092084091421,0.005511009829841359,0.010551510952562517,0.0060491789451752155,0.006039076326306454,0.006874548930438233,0.003169221215228663,0.007232256456418806,0.011126985651783109,0.008647313327634779,0.003473916824153769,0.005624163135020534,0.007536217004337778,0.2555719262961339,0.0024520813943192934,0.012977510551110431,0.0299334632533526,0.013719166831160205,0.003191809980938136,0.00961785360259872,0.006486096631735261,0.012504132973101637,0.007055061555267352,0.004630844084074004,0.0019078178481605514,0.004183129723706343,0.003628496395980542,0.0029297057452170355,0.003010383040801963,0.00517580193432139,0.008486674335691525,0.007456057455065209,0.0052822669580739135,0.00668703479770444,0.0058278579752376386,0.005527334113236392,0.0054475852350254535,0.007961117361420128,0.004912599770789939,0.004897561064832989,0.014640063146292352,0.005123423977661644,0.005116730761115452,0.004041147925571158,0.0055093595416756845,0.010615609753874797,0.010531793645180063,0.004934140603655121,0.0031957305659931004,0.012587229579988346,0.017962970910104948,0.01071591554517821,0.008028983523262794,0.004727182364426973,0.002955610539825637,0.0037719183294179564,0.002664948149818064,0.004833527278644165,0.028696541953947465,0.0077812319652289,0.011640032159490088,0.0032854851036575295,0.00700719795470478,0.010677499983105307,0.00787913458431159,0.003968833000652659,0.005082792858683177,0.008902932913015586,0.05204241533797223,0.005091670811419252,0.0104220676868314,0.0034432225473349895,0.0064590979773769385,0.003878667733002235,0.007717122109954364,0.005918734983554974,0.00916699491584621,0.013706404901137994,0.003946475464479967
G14,0.009198703278065108,0.007530572270227536,0.010649023682744556,0.005870264663381665,0.0036973034117254904,,0.02616194587722185,0.0045366675516063165,0.007013804972541964,0.007949072019706807,0.032572011432752956,0.009216523510385875,0.016060534827258166,0.014709721484913568,0.003307254265135027,0.007028342328228997,0.007134278022820949,0.010416786916153008,0.005535905798111569,0.008482376169482974,0.003316640954184799,0.01781533287320577,0.014135511815870846,0.004917189592952776,0.013157019991623579,0.003970470898754195,0.01136407744321153,0.01300132391304143,0.010004777887461715,0.00582065029476838,0.0028088890118361434,0.01150618973298923,0.010352731534711869,0.005729502885253927,0.018040371141511694,0.004431049291050529,0.005439097341030985,0.007841727571570025,0.006832283846857655,0.005624096797239663,0.034850539747632914,0.016290323455762146,0.0037029635287537488,0.005357622026337569,0.011804128106693304,0.0031255416302852484,0.005111701182507426,0.005652311929316427,0.006072680523466645,0.005938646441103633,0.02767470883463917,0.00557576894878977,0.010594487788519753,0.004027466897676736,0.004843780516120611,0.005806518527883406,0.008947263494990768,0.00396229439106621,0.015784430429896877,0.005913015705954985,0.004467697341894338,0.009655280993903767,0.03774334414119216,0.0042617563459506095,0.005226428525041813,0.004940004811695941,0.016180694125577516,0.005901292776686561,0.027045120647628172,0.005280367206064324,0.006828900826259048,0.027954865073408067,0.0421035516534441,0.003233860460254147,0.006639607083862053,0.047640138148112084,0.00781480423597877,0.0034666037566629827,0.0036687801841846263,0.005932584399627183,0.005821725559884111,0.01339452628071673,0.01985487025146161,0.006515324568367513,0.004109184279123015,0.003250074181869198,0.011063746864946324,0.003478675115468347,0.008649718019688528,0.0060166490916185675,0.0031389003563099096,0.004214244681037227,0.008551642457661286,0.02041543985624601,0.00913726460903188,0.007702736247488766,0.011687517223965365,0.004521216969813549,0.003812561147652009,0.004462078091233286
G15,0.0029204933819510317,0.0018133936321933358,0.0013935347471550413,0.0067624410324994885,0.0032489716650283707,0.009700991949910896,,0.046979201482174965,0.0025777382998070433,0.0028190855200130494,0.00324920170085763,0.004020254791212949,0.009694241558253526,0.014579651850939197,0.0025794078956401442,0.0041675686368954105,0.005527086679189421,0.00788179939726096,0.0019492383511574192,0.007248080434661087,0.00550326540890443,0.004767357567156317,0.0018025308158054938,0.004571548630930328,0.0035020739352603163,0.0029228137124379886,0.0037706580928485865,0.001817993801785433,0.004535946002009233,0.30425530489821356,0.002748060269268121,0.01747195680721527,0.00696347797486541,0.0026217825692571683,0.011757217261595584,0.0013467098176953218,0.0026746742008250182,0.051436928170166735,0.006950582385194773,0.003751626184149397,0.0029407480513229172,0.005985111732605035,0.007859077964646391,0.011277507456827726,0.0018373775379551518,0.006528968183951461,0.0014487555302314134,0.006650676589406809,0.0023346183895132126,0.0028322667956771973,0.0017834907542395703,0.0017956082974783668,0.0016214893208009614,0.0036915210914840097,0.0018368658225039836,0.002792058280675261,0.0036346479695609957,0.00265865908068485,0.0032014598336670475,0.003887364822166997,0.0028804187145109344,0.0029682722225753827,0.003734441622820876,0.004064451147070025,0.0031109273997592447,0.008452694241423706,0.003964487497145989,0.007042953094073581,0.0031533424405098226,0.005560473450456901,0.005144952862425093,0.018428023533923827,0.010465334533986946,0.0027453627335778455,0.00662947249278763,0.011212427469705548,0.004277456334035377,0.0016993410764850486,0.0113911399692591,0.002041877920892188,0.0014938827986688682,0.008168510556945634,0.006088697253160372,0.00370594622858205,0.008659302601103591,0.004002266277495251,0.0033468956608991717,0.003229581790875092,0.002758661042625795,0.1301530236079679,0.006803956457680307,0.0019421939397414481,0.007903162681542215,0.0030136599167900893,0.006072482495084896,0.006518466287185693,0.005014314454530969,0.002116217513884586,0.006868487739523228,0.0022892749205030943
G16,0.012545759361799868,0.0036807321322892025,0.0032945483240649624,0.0030394614720137634,0.002932338989572955,0.001428726009658776,0.014536831737145447,,0.0010095001735462433,0.004341447286547788,0.0019199920414180965,0.0010139789293618139,0.010115762585825316,0.003110617354276759,0.008329131006895267,0.0009824304838761415,0.0021706511460512956,0.0023478218693787907,0.004647413633397555,0.0011288570134143081,0.002582572989410284,0.0011000801434804285,0.0009441998014360523,0.0009987796316033477,0.0005748524122862559,0.0037999903837658356,0.002586088366451447,0.0025712591805267895,0.0006714825249614748,0.0014915446998064418,0.01504376539021777,0.23757615700104245,0.08062744636955967,0.010621353167214801,0.009595703020814682,0.0007044598464190787,0.0016549826955713591,0.002313903497102564,0.0027709867412205927,0.0028888717759794308,0.00559411977948884,0.00646649468483165,0.005897962760662116,0.004578539027333925,0.001018749094127774,0.003823689503448522,0.007934510565054793,0.0010779256106599423,0.001992891322125118,0.004283520899258534,0.002713891799614321,0.0035037157996461194,0.0012173328220656135,0.0011897430234753161,0.013280558632510842,0.00737555886798387,0.0010240530503645752,0.000922250940719721,0.003959486312117594,0.0017588610644320706,0.0024270159610965568,0.001365083311227777,0.0006920468190310179,0.002531645062964268,0.0009933881883830962,0.3367575965968225,0.0012082199802526162,0.006076224054173766,0.002340840103838968,0.002018080060697629,0.0017576513650976835,0.0007142897087617687,0.001348958594853573,0.010122010659853221,0.0011548743535415595,0.0016812636578827857,0.0006605415081188958,0.011710258416438302,0.002358384400359329,0.0009857018819936652,0.0034229599022100477,0.006727749477732,0.0032424806646513425,0.0005757009157410227,0.01388426780143958,0.0017043327678417325,0.005200236050054345,0.0007338897186225733,0.005013402057088094,0.0006576623325570727,0.003725279753396357,0.003040808324756567,0.0020002866981783693,0.001075259523566127,0.0009161262359541931,0.0014701977960839328,0.0033299752517322316,0.0056440041680421394,0.001470956660849368,0.003952012464787614
G17,0.002936046666268565,0.007398665169419352,0.002632167031049991,0.004916755840844526,0.0028399888391061378,0.008222465913171705,0.002661115336154428,0.011765368451914641,,0.003610082079630115,0.003365613869154746,0.003762936476606941,0.01315959054411011,0.005619425437409988,0.00854953189409458,0.00892541337001838,0.02138203972179296,0.002795776041844764,0.0034365597594001227,0.004276358020709165,0.0065416577476196695,0.003085684487664298,0.003267132217827463,0.0028878296751009636,0.0017881216148715466,0.08005701843160343,0.025466194955967664,0.057559899057510314,0.002909926068223037,0.014421933850767912,0.006916935814298092,0.04549369374757731,0.004774023852055823,0.0032003697494610225,0.002577843756352134,0.0021103063072827827,0.00597225458048391,0.006436986080920356,0.0038905106547493136,0.005538650194683519,0.002093479964462493,0.0022323808924373267,0.0030618892739051828,0.006586224648569691,0.0029931389199001775,0.003841219778611067,0.03478557561321954,0.005934174135765478,0.004102446990029273,0.0031270986674643074,0.0029805300580986803,0.002068354523087712,0.004103757260563796,0.0015568916474958292,0.0063448861402745265,0.0052897543586367755,0.0026274668012697903,0.005385816174417563,0.003938160860341342,0.060933947584640206,0.006760327568536185,0.006252649360753865,0.0014254598100036464,0.00415616406642665,0.007783049836066129,0.01813977441653681,0.007408651835320473,0.009987931432756435,0.007498553747224383,0.003993103656821435,0.003899218605511777,0.004500196791105589,0.0033266147417737417,0.006680975561516721,0.006624828716660483,0.012847075340096062,0.003843684343875701,0.0024584448258791972,0.0030128794405800113,0.0033267688798281933,0.004993077061458413,0.003864402184885345,0.005561818497278017,0.0024516090386816703,0.004918718296150573,0.0058265387564491134,0.1970247864246573,0.012049838898397551,0.004379805575613555,0.010410967656191221,0.003336564352099961,0.01564291325818244,0.002144460944724625,0.0010685632840946432,0.0033849982704093743,0.0037311380025536966,0.003143952177762415,0.011534097774545626,0.0034320974900745793,0.006033231477604022
